cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.3941917028,16.0055,13.3814,85.3197,336.8727,-1.2708980166152E-01
4.6871378164,13.5238,9.2406,85.3197,336.8727,-1.0436673325472E-01
4.9800839299,11.2795,6.6531,85.3197,336.8727,-8.8202961599496E-02
5.2730300434,9.1581,5.3256,85.3197,336.8727,-7.6290231593107E-02
5.5659761569,7.1735,4.6803,85.3197,336.8727,-6.6895610670870E-02
5.8589222704,5.4850,4.3507,85.3197,337.7952,-5.8768410701627E-02
6.1518683840,4.1297,4.1477,85.3197,346.3216,-5.1833886368747E-02
6.4448144975,3.0556,3.9640,85.3197,346.3610,-4.4894987278661E-02
6.7377606110,2.2395,3.7186,85.3201,346.3610,-3.8917395914597E-02
7.0307067245,1.6440,3.3470,85.3645,346.3610,-3.3801538373846E-02
7.3236528381,1.2025,2.8278,86.7832,346.3610,-2.9726089822770E-02
7.6165989516,0.8620,2.2141,107.4793,346.3610,-3.0103263019858E-02
7.9095450651,0.5998,1.6135,266.1165,346.3628,-5.3032965340168E-02
8.2024911786,0.4072,1.1153,647.8305,349.8685,-1.0048948810134E-01
8.4954372921,0.2734,0.7486,914.6021,389.3355,-1.2235321454765E-01
8.7883834057,0.1839,0.4978,1026.7304,391.1047,-1.1914269482785E-01
9.0813295192,0.1250,0.3323,1073.8946,391.1416,-1.0895849135871E-01
9.3742756327,0.0864,0.2245,1096.1526,391.1442,-9.7822105247161E-02
9.6672217462,0.0609,0.1542,1107.8984,391.1446,-8.7223722702902E-02
9.9601678597,0.0437,0.1076,1114.6660,391.1447,-7.7343819384049E-02
10.2531139733,0.0319,0.0766,1118.8364,391.1447,-6.8134818256194E-02
10.5460600868,0.0238,0.0555,1121.5169,391.1448,-5.9614258010176E-02
10.8390062003,0.0180,0.0408,1123.3379,391.1448,-5.1890598207424E-02
11.1319523138,0.0139,0.0305,1124.5878,391.1448,-4.5047004875419E-02
11.4248984274,0.0108,0.0232,1125.4739,391.1448,-3.9101189462077E-02
11.7178445409,0.0086,0.0179,1126.1214,391.1448,-3.3993302864771E-02
12.0107906544,0.0069,0.0139,1126.6069,391.1448,-2.9623751798553E-02
12.3037367679,0.0056,0.0110,1126.9780,391.1448,-2.5877311601434E-02
12.5966828814,0.0046,0.0088,1127.2539,391.1448,-2.2654185725093E-02
12.8896289950,0.0038,0.0071,1127.4726,391.1448,-1.9861353637188E-02
13.1825751085,0.0032,0.0058,1127.6449,391.1448,-1.7430519747795E-02
13.4755212220,0.0027,0.0048,1127.7786,391.1448,-1.5310882127556E-02
13.7684673355,0.0022,0.0039,1127.8952,391.1448,-1.3460455307262E-02
14.0614134491,0.0019,0.0033,1127.9817,391.1448,-1.1845674650313E-02
14.3543595626,0.0017,0.0028,1128.0532,391.1448,-1.0436095402499E-02
