cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.2966395750,15.8965,16.3282,85.3197,175.5616,-8.2534527208780E-02
2.4497488800,13.8921,14.1285,85.3197,175.5616,-6.5962279714043E-02
2.6028581850,12.6700,12.8513,85.3197,175.5616,-5.2645904559345E-02
2.7559674900,11.6234,11.8809,85.3197,175.5616,-4.2623027589543E-02
2.9090767950,10.1948,10.6677,85.3197,175.5616,-3.5454119566617E-02
3.0621861000,8.1384,8.8991,85.3197,175.5616,-3.0632885232860E-02
3.2152954050,5.7722,6.7012,85.3197,175.5616,-2.7595558862560E-02
3.3684047100,3.7048,4.5601,85.3197,175.5616,-2.5607744142298E-02
3.5215140150,2.2487,2.8851,85.3201,175.5641,-2.4054200720033E-02
3.6746233200,1.3442,1.7624,85.7974,192.2336,-2.3368533651248E-02
3.8277326250,0.8116,1.0717,118.6980,437.3902,-3.6209068775227E-02
3.9808419300,0.5012,0.6608,436.4958,493.1512,-8.6504671279557E-02
4.1339512350,0.3181,0.4168,837.4301,589.5749,-1.3150073153327E-01
4.2870605400,0.2077,0.2700,1002.1138,641.8079,-1.3425173687656E-01
4.4401698450,0.1394,0.1796,1063.9742,660.6316,-1.2247518720007E-01
4.5932791500,0.0960,0.1225,1091.1529,668.1939,-1.0833898922823E-01
4.7463884550,0.0677,0.0857,1104.9434,671.7598,-9.4989470918643E-02
4.8994977600,0.0489,0.0612,1112.7232,673.6703,-8.2904412782726E-02
5.0526070650,0.0359,0.0447,1117.4605,674.7880,-7.1976117289747E-02
5.2057163700,0.0269,0.0332,1120.5015,675.4899,-6.2103881610492E-02
5.3588256750,0.0206,0.0252,1122.5469,675.9506,-5.3284424857113E-02
5.5119349800,0.0159,0.0193,1123.9698,676.2657,-4.5525329636663E-02
5.6650442850,0.0125,0.0151,1124.9785,676.4863,-3.8802696109462E-02
5.8181535900,0.0100,0.0120,1125.7206,676.6467,-3.3049025750126E-02
5.9712628950,0.0081,0.0096,1126.2700,676.7643,-2.8171586603738E-02
6.1243722000,0.0065,0.0077,1126.7142,676.8580,-2.4050685742562E-02
6.2774815050,0.0053,0.0063,1127.0374,676.9260,-2.0581686050014E-02
6.4305908100,0.0045,0.0052,1127.2856,676.9781,-1.7663174900158E-02
6.5837001150,0.0037,0.0044,1127.4908,677.0197,-1.5200574292061E-02
6.7368094200,0.0031,0.0036,1127.6511,677.0536,-1.3122981754552E-02
6.8899187250,0.0027,0.0031,1127.7764,677.0795,-1.1365023901280E-02
7.0430280300,0.0023,0.0027,1127.8785,677.1004,-9.8733539906514E-03
7.1961373350,0.0020,0.0023,1127.9713,677.1191,-8.6043609778084E-03
7.3492466400,0.0017,0.0020,1128.0400,677.1331,-7.5201200387546E-03
7.5023559450,0.0015,0.0017,1128.0973,677.1447,-6.5906362420506E-03
