cell_length,CN_C,CN_A,C6_C,C6_A,Edis
6.4927926478,12.6542,13.5840,85.3197,420.9766,-2.5765027001350E-01
6.9256454910,11.0419,10.3008,85.3197,420.9766,-2.2206764737724E-01
7.3584983342,9.3673,8.1726,85.3197,420.9766,-1.9203571840404E-01
7.7913511774,7.9116,6.7586,85.3197,420.9766,-1.6178077653802E-01
8.2242040206,6.8733,5.8898,85.3197,420.9766,-1.3334007113005E-01
8.6570568638,6.0708,5.3289,85.3197,420.9766,-1.0985843506003E-01
9.0899097070,5.2273,4.8416,85.3197,420.9766,-9.1468945946399E-02
9.5227625502,4.2002,4.2690,85.3197,420.9766,-7.6890143479157E-02
9.9556153934,3.0783,3.5738,85.3197,420.9844,-6.5457982345994E-02
10.3884682365,2.0770,2.8488,85.3212,657.6731,-7.0538868691489E-02
10.8213210797,1.3304,2.2198,85.8522,780.3775,-6.8079971095169E-02
11.2541739229,0.8353,1.7398,112.8386,780.3907,-6.7004007970518E-02
11.6870267661,0.5258,1.3854,387.2340,781.2008,-1.1570890105332E-01
12.1198796093,0.3360,1.1087,802.5135,833.6866,-2.2986425120478E-01
12.5527324525,0.2194,0.8742,988.7107,1288.1988,-3.0463419097832E-01
12.9855852957,0.1466,0.6687,1058.6474,1432.9866,-3.0713699666153E-01
13.4184381389,0.1003,0.4945,1088.8239,1440.6689,-2.8336260341156E-01
13.8512909821,0.0702,0.3559,1103.8576,1441.1719,-2.5462686509762E-01
14.2841438253,0.0502,0.2520,1112.2035,1441.2258,-2.2674502357756E-01
14.7169966684,0.0366,0.1777,1117.2123,1441.2351,-2.0149958642735E-01
15.1498495116,0.0272,0.1256,1120.4320,1441.2375,-1.7902215998109E-01
15.5827023548,0.0205,0.0897,1122.5498,1441.2383,-1.5894253378937E-01
16.0155551980,0.0158,0.0648,1124.0131,1441.2386,-1.4083325785562E-01
16.4484080412,0.0123,0.0475,1125.0574,1441.2388,-1.2441021483297E-01
16.8812608844,0.0097,0.0353,1125.8049,1441.2389,-1.0950277802802E-01
17.3141137276,0.0077,0.0266,1126.3718,1441.2390,-9.6033349993947E-02
17.7469665708,0.0062,0.0203,1126.7867,1441.2390,-8.3954923866466E-02
18.1798194140,0.0051,0.0157,1127.1092,1441.2390,-7.3225471447589E-02
18.6126722571,0.0042,0.0123,1127.3632,1441.2391,-6.3794559316028E-02
19.0455251003,0.0035,0.0098,1127.5547,1441.2391,-5.5581461789675E-02
19.4783779435,0.0029,0.0078,1127.7111,1441.2391,-4.8467446959250E-02
19.9112307867,0.0025,0.0063,1127.8324,1441.2391,-4.2335961534334E-02
20.3440836299,0.0021,0.0052,1127.9305,1441.2391,-3.7055556090672E-02
20.7769364731,0.0018,0.0043,1128.0106,1441.2391,-3.2511378938957E-02
21.2097893163,0.0015,0.0036,1128.0856,1441.2391,-2.8588243167907E-02
