cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.3479681175,18.8954,16.7634,85.3197,180.2912,-3.5416155661246E-01
3.5711659920,16.2566,15.1247,85.3197,180.2912,-2.9729577725699E-01
3.7943638665,14.8276,14.0768,85.3197,180.2912,-2.4885574567376E-01
4.0175617410,13.7051,12.9291,85.3197,180.2912,-2.0683657816298E-01
4.2407596155,12.2476,11.3546,85.3197,180.2912,-1.7141834412780E-01
4.4639574900,10.1625,9.4071,85.3197,180.2912,-1.4267089301916E-01
4.6871553645,7.6635,7.3051,85.3197,180.2912,-1.1990642932265E-01
4.9103532390,5.2786,5.2628,85.3197,180.2912,-1.0239618396199E-01
5.1335511135,3.4004,3.5186,85.3197,194.1858,-9.0734676777728E-02
5.3567489880,2.1103,2.2304,85.3208,276.3890,-9.1597832748239E-02
5.5799468625,1.2957,1.3814,86.0202,305.2840,-8.9194908327491E-02
5.8031447370,0.8024,0.8565,121.2817,318.8988,-8.7589510689642E-02
6.0263426115,0.5065,0.5392,425.6721,333.9065,-1.0966785106340E-01
6.2495404860,0.3276,0.3472,819.1543,350.0339,-2.1070342837686E-01
6.4727383605,0.2174,0.2292,991.0654,356.8635,-3.3954147675594E-01
6.6959362350,0.1481,0.1552,1057.5380,359.4755,-3.8040106719780E-01
6.9191341095,0.1032,0.1076,1087.1872,360.6278,-3.6912331720487E-01
7.1423319840,0.0736,0.0763,1102.2992,361.2112,-3.4053126530960E-01
7.3655298585,0.0537,0.0553,1110.8340,361.5390,-3.0757223738447E-01
7.5887277330,0.0398,0.0408,1116.0989,361.7387,-2.7502956021026E-01
7.8119256075,0.0300,0.0307,1119.4811,361.8672,-2.4461024468474E-01
8.0351234820,0.0231,0.0235,1121.7554,361.9534,-2.1676555483003E-01
8.2583213565,0.0180,0.0182,1123.3344,362.0131,-1.9149700083818E-01
8.4815192310,0.0143,0.0144,1124.4671,362.0557,-1.6866527678594E-01
8.7047171055,0.0114,0.0114,1125.3228,362.0873,-1.4813931498379E-01
8.9279149800,0.0092,0.0092,1125.9429,362.1106,-1.2979880222186E-01
9.1511128545,0.0075,0.0075,1126.4244,362.1285,-1.1351056070505E-01
9.3743107290,0.0062,0.0062,1126.7967,362.1425,-9.9151414156126E-02
9.5975086035,0.0052,0.0051,1127.0810,362.1530,-8.6550221041384E-02
9.8207064780,0.0044,0.0043,1127.3062,362.1613,-7.5550854052674E-02
10.0439043525,0.0037,0.0036,1127.4958,362.1682,-6.5982043711555E-02
10.2671022270,0.0031,0.0031,1127.6618,362.1738,-5.7689282232070E-02
10.4903001015,0.0026,0.0026,1127.7836,362.1785,-5.0499141670511E-02
10.7134979760,0.0023,0.0023,1127.8798,362.1820,-4.4283769186684E-02
10.9366958505,0.0020,0.0020,1127.9596,362.1850,-3.8903594356152E-02
