cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.1977571152,31.1315,13.4201,85.3197,28.0315,-1.3907483162455E-01
3.4109409229,27.3543,11.2767,85.3197,28.0315,-1.1461207925607E-01
3.6241247305,23.3389,9.9552,85.3197,28.0315,-9.5169422087268E-02
3.8373085382,18.8773,9.0040,85.3197,28.0315,-7.9737234786009E-02
4.0504923459,14.6838,7.9760,85.3197,28.0315,-6.7805148648024E-02
4.2636761536,10.9432,6.6404,85.3197,28.0315,-5.8575643582634E-02
4.4768599612,7.6002,5.0673,85.3197,28.0315,-5.1173397494131E-02
4.6900437689,4.8898,3.5429,85.3197,31.2373,-4.9194070040738E-02
4.9032275766,2.9933,2.3133,85.3197,46.1120,-5.8240628846511E-02
5.1164113843,1.8044,1.4492,85.3323,64.0585,-6.9894054000772E-02
5.3295951920,1.0977,0.8945,88.6797,76.2200,-7.5680347889569E-02
5.5427789996,0.6825,0.5551,180.5145,86.3341,-8.2267106997857E-02
5.7559628073,0.4363,0.3506,580.8341,98.3140,-1.0181440360139E-01
5.9691466150,0.2869,0.2268,892.7529,103.0906,-1.0464189633850E-01
6.1823304227,0.1940,0.1505,1016.7416,104.7811,-9.7018216521761E-02
6.3955142304,0.1346,0.1024,1067.4069,105.4878,-8.7231304816631E-02
6.6086980380,0.0957,0.0715,1091.3470,105.8340,-7.8031668257298E-02
6.8218818457,0.0696,0.0510,1104.1192,106.0242,-7.0116799527121E-02
7.0350656534,0.0516,0.0372,1111.6500,106.1377,-6.3442991291206E-02
7.2482494611,0.0391,0.0277,1116.3557,106.2096,-5.7730814506615E-02
7.4614332687,0.0300,0.0210,1119.4749,106.2573,-5.2708903159090E-02
7.6746170764,0.0235,0.0162,1121.6255,106.2902,-4.8181488516162E-02
7.8878008841,0.0186,0.0126,1123.1595,106.3135,-4.4041175357977E-02
8.1009846918,0.0149,0.0100,1124.2780,106.3305,-4.0224306812681E-02
8.3141684995,0.0121,0.0080,1125.1113,106.3429,-3.6692799790721E-02
8.5273523071,0.0099,0.0065,1125.7354,106.3523,-3.3424525260980E-02
8.7405361148,0.0083,0.0054,1126.2121,106.3596,-3.0403622003210E-02
8.9537199225,0.0069,0.0045,1126.5955,106.3652,-2.7626627139565E-02
9.1669037302,0.0058,0.0037,1126.9058,106.3696,-2.5091633532097E-02
9.3800875379,0.0050,0.0032,1127.1429,106.3731,-2.2798325514080E-02
9.5932713455,0.0043,0.0027,1127.3336,106.3759,-2.0731114504699E-02
9.8064551532,0.0037,0.0023,1127.4990,106.3783,-1.8869984790959E-02
10.0196389609,0.0032,0.0020,1127.6371,106.3802,-1.7190450340014E-02
10.2328227686,0.0028,0.0017,1127.7530,106.3818,-1.5666572729993E-02
10.4460065762,0.0024,0.0015,1127.8463,106.3831,-1.4274061031097E-02
