cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.6887026450,12.4970,16.9326,85.3197,343.3343,-1.1037144609528E-01
6.0679494880,11.8721,14.5214,85.3197,343.3343,-8.9831969454255E-02
6.4471963310,10.9163,12.8425,85.3197,343.3343,-7.7227645610031E-02
6.8264431740,9.2014,11.4069,85.3197,343.3343,-6.9654542022056E-02
7.2056900170,6.7887,9.7863,85.3197,343.3343,-6.4400215250803E-02
7.5849368600,4.3797,7.8833,85.3197,343.3343,-5.9189398070527E-02
7.9641837030,2.5908,5.8466,85.3197,343.3343,-5.3311790570385E-02
8.3434305460,1.4857,3.9691,85.4760,343.3343,-4.7689929140169E-02
8.7226773890,0.8575,2.5160,108.3148,343.5393,-4.5102505101312E-02
9.1019242320,0.5072,1.5407,424.2009,633.4237,-8.8887991776326E-02
9.4811710750,0.3096,0.9389,853.1160,1514.3815,-1.7817497860258E-01
9.8604179180,0.1954,0.5800,1015.2920,1775.4508,-1.7738342614990E-01
10.2396647610,0.1271,0.3664,1072.4878,2106.5483,-1.7050547779022E-01
10.6189116040,0.0853,0.2377,1096.7105,2242.6427,-1.4907252199405E-01
10.9981584470,0.0588,0.1583,1108.7553,2289.9163,-1.2595513796294E-01
11.3774052900,0.0416,0.1083,1115.4317,2309.2900,-1.0554520672403E-01
11.7566521330,0.0301,0.0758,1119.4505,2318.6691,-8.8250846102053E-02
12.1358989760,0.0222,0.0542,1122.0374,2323.8068,-7.3711455932491E-02
12.5151458190,0.0167,0.0396,1123.7410,2326.8502,-6.1509458561172E-02
12.8943926620,0.0128,0.0294,1124.9127,2328.7684,-5.1328768038092E-02
13.2736395050,0.0099,0.0223,1125.7405,2330.0413,-4.2863653884690E-02
13.6528863480,0.0078,0.0171,1126.3504,2330.9219,-3.5866012982502E-02
14.0321331910,0.0062,0.0134,1126.7896,2331.5358,-3.0094148544221E-02
14.4113800340,0.0050,0.0105,1127.1341,2331.9921,-2.5336787909058E-02
14.7906268770,0.0041,0.0084,1127.3853,2332.3204,-2.1406939496511E-02
15.1698737200,0.0034,0.0069,1127.5798,2332.5677,-1.8152198148793E-02
15.5491205630,0.0028,0.0056,1127.7324,2332.7569,-1.5455831523404E-02
15.9283674060,0.0024,0.0046,1127.8582,2332.9101,-1.3211400930358E-02
16.3076142490,0.0020,0.0039,1127.9550,2333.0249,-1.1332637558084E-02
16.6868610920,0.0017,0.0032,1128.0476,2333.1269,-9.7560128927142E-03
17.0661079350,0.0014,0.0027,1128.1106,2333.1992,-8.4329783494986E-03
17.4453547780,0.0013,0.0023,1128.1625,2333.2578,-7.3134653502820E-03
17.8246016210,0.0011,0.0020,1128.2056,2333.3056,-6.3613776148720E-03
18.2038484640,0.0010,0.0017,1128.2416,2333.3451,-5.5522179037358E-03
18.5830953070,0.0008,0.0014,1128.2924,2333.3935,-4.8580382109174E-03
