cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.3693202600,15.9333,16.3053,85.3197,175.5616,-1.2658191781027E-01
2.5272749440,13.9036,14.1262,85.3197,175.5616,-1.0042611841418E-01
2.6852296280,12.6313,12.8518,85.3197,175.5616,-7.9631648799102E-02
2.8431843120,11.5092,11.8768,85.3197,175.5616,-6.3834261469436E-02
3.0011389960,10.0061,10.6367,85.3197,175.5616,-5.2878730288634E-02
3.1590936800,7.9530,8.7945,85.3197,175.5616,-4.6259902002456E-02
3.3170483640,5.6769,6.5000,85.3197,175.5616,-4.2939611035294E-02
3.4750030480,3.6921,4.3184,85.3197,175.5616,-4.1392740615978E-02
3.6329577320,2.2678,2.6775,85.3200,175.5744,-4.0007389468176E-02
3.7909124160,1.3652,1.6159,85.7244,222.9569,-4.4961039287095E-02
3.9488671000,0.8267,0.9776,114.8330,447.8555,-7.4757624014000E-02
4.1068217840,0.5108,0.6023,416.9423,511.3299,-1.0148073609847E-01
4.2647764680,0.3239,0.3807,826.3535,604.6823,-1.2254842715682E-01
4.4227311520,0.2112,0.2472,998.2373,647.4569,-1.1724284333118E-01
4.5806858360,0.1416,0.1651,1062.4079,662.8208,-1.0406475475506E-01
4.7386405200,0.0973,0.1131,1090.4458,669.1968,-9.0365409948140E-02
4.8965952040,0.0685,0.0793,1104.5924,672.2896,-7.7743159738997E-02
5.0545498880,0.0493,0.0569,1112.5352,673.9785,-6.6432991552019E-02
5.2125045720,0.0362,0.0416,1117.3544,674.9830,-5.6449774916238E-02
5.3704592560,0.0271,0.0310,1120.4405,675.6172,-4.7759827967461E-02
5.5284139400,0.0207,0.0236,1122.5010,676.0362,-4.0306634582887E-02
5.6863686240,0.0160,0.0182,1123.9406,676.3264,-3.3990623939607E-02
5.8443233080,0.0126,0.0143,1124.9595,676.5305,-2.8681827008005E-02
6.0022779920,0.0100,0.0113,1125.7132,676.6815,-2.4248797571817E-02
6.1602326760,0.0080,0.0090,1126.2806,676.7928,-2.0554890057350E-02
6.3181873600,0.0065,0.0073,1126.7082,676.8770,-1.7476241012811E-02
6.4761420440,0.0054,0.0060,1127.0288,676.9400,-1.4910413649302E-02
6.6340967280,0.0044,0.0050,1127.2879,676.9907,-1.2763362971365E-02
6.7920514120,0.0037,0.0041,1127.4943,677.0299,-1.0964087817834E-02
6.9500060960,0.0031,0.0035,1127.6504,677.0613,-9.4514156886389E-03
7.1079607800,0.0027,0.0029,1127.7762,677.0866,-8.1772205586178E-03
7.2659154640,0.0023,0.0025,1127.8879,677.1072,-7.0979495495693E-03
7.4238701480,0.0020,0.0022,1127.9712,677.1233,-6.1802790095824E-03
7.5818248320,0.0017,0.0019,1128.0401,677.1366,-5.3976552781439E-03
7.7397795160,0.0015,0.0016,1128.0975,677.1477,-4.7275190172381E-03
