cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.9104709807,25.2635,42.7441,85.3197,1007.8379,-2.9927416574479E-01
3.1045023794,19.2911,34.4099,85.3197,1007.8379,-2.4438099824646E-01
3.2985337781,16.5055,28.1862,85.3197,1007.8379,-2.0560617559249E-01
3.4925651768,15.2031,23.3396,85.3197,1007.8379,-1.7661722152189E-01
3.6865965755,14.4811,19.6319,85.3197,1007.8379,-1.5203428753553E-01
3.8806279742,13.8763,17.1485,85.3197,1007.8379,-1.3024469727032E-01
4.0746593730,13.1007,15.6142,85.3197,1007.8379,-1.1174784881461E-01
4.2686907717,11.9966,14.5657,85.3197,1007.8379,-9.5880251570955E-02
4.4627221704,10.5839,13.5972,85.3197,1007.8379,-8.1655292541828E-02
4.6567535691,8.9935,12.4200,85.3197,1007.8379,-6.9220336774552E-02
4.8507849678,7.3267,10.9136,85.3197,1007.8379,-5.9225941939509E-02
5.0448163665,5.6631,9.1649,85.3197,1007.8379,-5.1865591814646E-02
5.2388477652,4.1347,7.3862,85.3197,1007.8379,-4.6779240260102E-02
5.4328791639,2.8786,5.7574,85.3197,998.8018,-4.3152508037558E-02
5.6269105626,1.9457,4.3554,85.3238,682.4140,-3.1590956647408E-02
5.8209419614,1.3003,3.2000,85.9952,639.0511,-2.6236031888329E-02
6.0149733601,0.8707,2.2909,105.9746,1076.5063,-3.6727585994201E-02
6.2090047588,0.5893,1.6110,280.6826,1349.7773,-5.4054190196639E-02
6.4030361575,0.4049,1.1241,653.2261,1629.4310,-7.0275756908454E-02
6.5970675562,0.2827,0.7846,899.7485,1679.1625,-7.4647346305006E-02
6.7910989549,0.2010,0.5519,1009.3597,1765.5054,-7.3522155611303E-02
6.9851303536,0.1455,0.3925,1059.5107,1855.8781,-7.1010299734870E-02
7.1791617523,0.1071,0.2830,1084.9867,1902.4576,-6.6511636147053E-02
7.3731931511,0.0801,0.2069,1099.2732,1922.8935,-6.0696579871158E-02
7.5672245498,0.0607,0.1533,1107.9884,1932.5159,-5.4535508326251E-02
7.7612559485,0.0467,0.1154,1113.5467,1937.5135,-4.8570957796413E-02
7.9552873472,0.0364,0.0878,1117.3132,1940.3889,-4.3040961267671E-02
8.1493187459,0.0287,0.0678,1119.9234,1942.1458,-3.8046934387532E-02
8.3433501446,0.0229,0.0530,1121.7992,1943.2906,-3.3587587434014E-02
8.5373815433,0.0185,0.0420,1123.1797,1944.0703,-2.9632121515137E-02
8.7314129420,0.0150,0.0334,1124.2480,1944.6307,-2.6136307334433E-02
8.9254443408,0.0123,0.0269,1125.0471,1945.0311,-2.3051660781060E-02
9.1194757395,0.0101,0.0219,1125.6765,1945.3310,-2.0323100897269E-02
9.3135071382,0.0085,0.0180,1126.1539,1945.5537,-1.7918151652621E-02
9.5075385369,0.0071,0.0149,1126.5329,1945.7251,-1.5797310101646E-02
