cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.1597335113,21.7890,6.8987,85.3197,10.3708,-3.0990418325184E-02
2.3037157454,19.3104,5.6406,85.3197,10.3708,-2.5448922897329E-02
2.4476979795,17.0903,4.8376,85.3197,10.3708,-2.0527969279368E-02
2.5916802136,15.0498,4.3725,85.3197,10.3708,-1.6693187365136E-02
2.7356624477,13.0573,4.0454,85.3197,10.3708,-1.3850509040227E-02
2.8796446818,10.9002,3.6824,85.3197,10.3708,-1.1689726931647E-02
3.0236269158,8.6088,3.1694,85.3197,10.3708,-1.0022794644483E-02
3.1676091499,6.3636,2.5003,85.3197,10.3715,-8.7977109451757E-03
3.3115913840,4.3833,1.7919,85.3197,10.5599,-8.0664177531838E-03
3.4555736181,2.8482,1.1879,85.3197,12.6112,-8.3784501723661E-03
3.5995558522,1.7914,0.7530,85.3337,13.1015,-8.2117253761593E-03
3.7435380863,1.1185,0.4705,88.1667,14.2554,-8.3983813115477E-03
3.8875203204,0.7054,0.2959,164.5092,15.0268,-1.0651385874838E-02
4.0315025545,0.4535,0.1893,541.2820,15.2771,-1.8531594929172E-02
4.1754847885,0.2985,0.1239,872.9793,15.3650,-2.2475334307489E-02
4.3194670226,0.2014,0.0831,1009.0123,15.4025,-2.1814373037321E-02
4.4634492567,0.1391,0.0571,1064.1912,15.4212,-1.9800160197022E-02
4.6074314908,0.0983,0.0401,1089.9119,15.4316,-1.7584113368603E-02
4.7514137249,0.0710,0.0288,1103.5072,15.4378,-1.5479880670473E-02
4.8953959590,0.0522,0.0211,1111.4023,15.4417,-1.3558540471466E-02
5.0393781931,0.0392,0.0158,1116.3051,15.4443,-1.1823627809593E-02
5.1833604272,0.0299,0.0120,1119.5141,15.4461,-1.0266414358351E-02
5.3273426612,0.0231,0.0093,1121.7284,15.4474,-8.8798110481741E-03
5.4713248953,0.0182,0.0073,1123.2865,15.4483,-7.6580405269923E-03
5.6153071294,0.0145,0.0058,1124.4096,15.4489,-6.5927835182525E-03
5.7592893635,0.0116,0.0046,1125.2459,15.4494,-5.6729291232349E-03
5.9032715976,0.0095,0.0038,1125.8647,15.4498,-4.8838328081104E-03
6.0472538317,0.0078,0.0031,1126.3441,15.4501,-4.2098974949018E-03
6.1912360658,0.0065,0.0026,1126.7237,15.4503,-3.6356860116856E-03
6.3352182999,0.0054,0.0022,1127.0167,15.4505,-3.1472268371124E-03
6.4792005339,0.0046,0.0018,1127.2463,15.4506,-2.7312255702835E-03
6.6231827680,0.0039,0.0016,1127.4312,15.4508,-2.3767088469801E-03
6.7671650021,0.0034,0.0014,1127.5857,15.4509,-2.0735159537306E-03
6.9111472362,0.0029,0.0012,1127.7191,15.4509,-1.8141147813132E-03
7.0551294703,0.0025,0.0010,1127.8243,15.4510,-1.5913637964501E-03
