cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.7492065000,13.5900,20.9969,85.3197,581.7435,-1.0099373090630E-01
3.9991536000,12.6541,17.6923,85.3197,581.7435,-8.2260503041357E-02
4.2491007000,12.0578,15.2504,85.3197,581.7435,-6.7542340181982E-02
4.4990478000,11.3016,13.4777,85.3197,581.7435,-5.5872476301316E-02
4.7489949000,9.9903,12.0969,85.3197,581.7435,-4.7831168762495E-02
4.9989420000,7.9772,10.7214,85.3197,581.7435,-4.2732041437360E-02
5.2488891000,5.6401,9.1557,85.3197,581.7435,-3.9106849231195E-02
5.4988362000,3.6073,7.4009,85.3197,581.7435,-3.5801426448830E-02
5.7487833000,2.1839,5.5720,85.3203,581.7435,-3.2335350779726E-02
5.9987304000,1.3032,3.8900,85.9802,581.7435,-2.8946899347047E-02
6.2486775000,0.7857,2.5604,126.5436,581.7435,-2.8135287229467E-02
6.4986246000,0.4847,1.6336,471.6098,613.1483,-3.5842416474436E-02
6.7485717000,0.3074,1.0354,857.0707,3710.7659,-1.5524053215764E-01
6.9985188000,0.2005,0.6623,1009.9057,3710.9375,-1.4689206963865E-01
7.2484659000,0.1344,0.4311,1067.5124,3710.9375,-1.3336941029063E-01
7.4984130000,0.0924,0.2866,1093.0930,3710.9375,-1.1757178462626E-01
7.7483601000,0.0651,0.1951,1106.0910,3710.9375,-1.0141713866735E-01
7.9983072000,0.0469,0.1357,1113.4599,3710.9375,-8.6373336371102E-02
8.2482543000,0.0345,0.0965,1117.9525,3710.9375,-7.3212177459272E-02
8.4982014000,0.0257,0.0696,1120.9210,3710.9375,-6.2075631533503E-02
8.7481485000,0.0195,0.0514,1122.8600,3710.9375,-5.2749749578103E-02
8.9980956000,0.0151,0.0386,1124.2079,3710.9375,-4.4919348809743E-02
9.2480427000,0.0119,0.0294,1125.1771,3710.9375,-3.8311972708442E-02
9.4979898000,0.0094,0.0228,1125.8800,3710.9375,-3.2690786114960E-02
9.7479369000,0.0076,0.0179,1126.4035,3710.9375,-2.7906425918441E-02
9.9978840000,0.0062,0.0143,1126.8002,3710.9375,-2.3833864878402E-02
10.2478311000,0.0050,0.0113,1127.1338,3710.9375,-2.0379296444353E-02
10.4977782000,0.0042,0.0092,1127.3692,3710.9375,-1.7447742677656E-02
10.7477253000,0.0035,0.0076,1127.5548,3710.9375,-1.4972003662904E-02
10.9976724000,0.0029,0.0063,1127.7027,3710.9375,-1.2876149550782E-02
11.2476195000,0.0025,0.0052,1127.8310,3710.9375,-1.1106557102974E-02
11.4975666000,0.0021,0.0043,1127.9272,3710.9375,-9.6086355470966E-03
11.7475137000,0.0018,0.0037,1128.0061,3710.9375,-8.3311823017461E-03
11.9974608000,0.0016,0.0032,1128.0712,3710.9375,-7.2495239589351E-03
12.2474079000,0.0014,0.0027,1128.1254,3710.9375,-6.3266218734184E-03
