cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.8042502579,21.6241,20.7180,85.3197,332.1448,-1.5449430872224E-01
2.9912002750,17.7995,17.2305,85.3197,332.1448,-1.3092113987085E-01
3.1781502922,15.7112,15.3943,85.3197,332.1448,-1.1228254541240E-01
3.3651003094,14.4521,14.2355,85.3197,332.1448,-9.4977608108207E-02
3.5520503266,13.3049,13.0850,85.3197,332.1448,-7.9846252040301E-02
3.7390003438,11.8939,11.6357,85.3197,332.1448,-6.7249312673368E-02
3.9259503610,10.1967,9.9236,85.3197,332.1448,-5.6315996754437E-02
4.1129003782,8.3575,8.0973,85.3197,332.1448,-4.6857181657441E-02
4.2998503954,6.4767,6.2397,85.3197,332.1448,-3.9310609568118E-02
4.4868004126,4.6872,4.4851,85.3197,561.4338,-5.4406962357080E-02
4.6737504298,3.1821,3.0265,85.3197,561.4338,-4.8462055730805E-02
4.8607004470,2.0714,1.9621,85.3212,561.4339,-4.4709247387240E-02
5.0476504641,1.3260,1.2534,85.8713,563.0142,-4.2504086465727E-02
5.2346004813,0.8504,0.8034,109.6637,780.7977,-5.6188788167656E-02
5.4215504985,0.5530,0.5226,337.6232,835.1466,-6.6805355174566E-02
5.6085005157,0.3666,0.3466,738.9003,836.2380,-7.4705753751016E-02
5.7954505329,0.2483,0.2350,951.6012,836.3125,-7.5399193725285E-02
5.9824005501,0.1718,0.1628,1037.9084,836.3245,-7.2284300335137E-02
6.1693505673,0.1214,0.1152,1076.2166,836.3277,-6.7306926464900E-02
6.3563005845,0.0876,0.0832,1095.5401,836.3289,-6.1342153990613E-02
6.5432506017,0.0644,0.0612,1106.4123,836.3295,-5.5030224450400E-02
6.7302006189,0.0481,0.0457,1113.0263,836.3298,-4.8859849334751E-02
6.9171506361,0.0365,0.0348,1117.2546,836.3300,-4.3140761612204E-02
7.1041006532,0.0282,0.0269,1120.0892,836.3301,-3.8004530310597E-02
7.2910506704,0.0221,0.0211,1122.0641,836.3302,-3.3454117268987E-02
7.4780006876,0.0175,0.0168,1123.4797,836.3302,-2.9440463995838E-02
7.6649507048,0.0140,0.0134,1124.5428,836.3303,-2.5884487227137E-02
7.8519007220,0.0114,0.0109,1125.3182,836.3303,-2.2735412622184E-02
8.0388507392,0.0093,0.0089,1125.9272,836.3303,-1.9946461937467E-02
8.2258007564,0.0077,0.0074,1126.3819,836.3303,-1.7478528315900E-02
8.4127507736,0.0064,0.0062,1126.7379,836.3303,-1.5304345567179E-02
8.5997007908,0.0054,0.0052,1127.0200,836.3303,-1.3393349806820E-02
8.7866508080,0.0045,0.0044,1127.2636,836.3303,-1.1726665874380E-02
8.9736008251,0.0038,0.0037,1127.4631,836.3304,-1.0274962190062E-02
9.1605508423,0.0033,0.0032,1127.6101,836.3304,-9.0124479286238E-03
