cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.3482270787,14.3409,20.6041,85.3197,524.9195,-1.2602398677519E-01
3.5714422173,13.0825,17.3764,85.3197,524.9195,-1.0468749637553E-01
3.7946573559,12.2973,15.0177,85.3197,524.9195,-8.6534309480088E-02
4.0178724945,11.4901,13.3525,85.3197,524.9195,-7.2939963523455E-02
4.2410876331,10.2195,12.0581,85.3197,524.9195,-6.4483730972973E-02
4.4643027717,8.2714,10.7155,85.3197,524.9195,-5.9055526762660E-02
4.6875179102,5.9439,9.1036,85.3197,524.9195,-5.4211274244524E-02
4.9107330488,3.8522,7.2483,85.3197,524.9195,-4.8733641722550E-02
5.1339481874,2.3506,5.3409,85.3199,524.9195,-4.2990850131045E-02
5.3571633260,1.4075,3.6521,85.6094,524.9195,-3.8029964073104E-02
5.5803784646,0.8495,2.3684,109.8452,524.9195,-3.6006595647469E-02
5.8035936031,0.5235,1.4982,391.5967,893.8142,-6.2380827239828E-02
6.0268087417,0.3315,0.9462,811.6244,2851.6413,-1.7717482712113E-01
6.2500238803,0.2158,0.6050,992.9356,2851.6677,-1.6483984828976E-01
6.4732390189,0.1444,0.3945,1060.2888,2851.6677,-1.4529074692574E-01
6.6964541575,0.0992,0.2631,1089.4435,2851.6677,-1.2445410069231E-01
6.9196692961,0.0697,0.1794,1104.1000,2851.6677,-1.0500809227298E-01
7.1428844346,0.0501,0.1252,1112.2383,2851.6677,-8.8120136627486E-02
7.3660995732,0.0368,0.0892,1117.1628,2851.6677,-7.3967801560603E-02
7.5893147118,0.0275,0.0649,1120.3115,2851.6677,-6.2251059955379E-02
7.8125298504,0.0208,0.0478,1122.4742,2851.6677,-5.2520420727121E-02
8.0357449890,0.0161,0.0360,1123.9262,2851.6677,-4.4383915519605E-02
8.2589601276,0.0126,0.0276,1124.9599,2851.6677,-3.7548505612582E-02
8.4821752661,0.0100,0.0214,1125.7227,2851.6677,-3.1802218461013E-02
8.7053904047,0.0080,0.0168,1126.2816,2851.6677,-2.6964989919087E-02
8.9286055433,0.0065,0.0134,1126.7043,2851.6677,-2.2903780070031E-02
9.1518206819,0.0053,0.0108,1127.0384,2851.6677,-1.9493163566054E-02
9.3750358205,0.0044,0.0087,1127.3080,2851.6677,-1.6636106931186E-02
9.5982509591,0.0037,0.0072,1127.5048,2851.6677,-1.4233067381380E-02
9.8214660976,0.0031,0.0060,1127.6615,2851.6677,-1.2217208317216E-02
10.0446812362,0.0026,0.0050,1127.7875,2851.6677,-1.0517782747363E-02
10.2678963748,0.0022,0.0042,1127.8929,2851.6677,-9.0872608293201E-03
10.4911115134,0.0019,0.0035,1127.9853,2851.6677,-7.8758717061275E-03
10.7143266520,0.0017,0.0030,1128.0537,2851.6677,-6.8432369114941E-03
10.9375417905,0.0014,0.0026,1128.1106,2851.6677,-5.9682646147637E-03
