cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.0986175325,18.7813,16.4434,85.3197,153.4528,-1.3033311094335E-01
2.2385253680,15.7259,14.1620,85.3197,153.4528,-1.0486796602326E-01
2.3784332035,13.8687,12.8281,85.3197,153.4528,-8.4542631696267E-02
2.5183410390,12.7886,11.7719,85.3197,153.4528,-6.8683404473272E-02
2.6582488745,11.9690,10.4063,85.3197,153.4528,-5.5969920302245E-02
2.7981567100,10.9587,8.4374,85.3197,153.4528,-4.6159436595979E-02
2.9380645455,9.4435,6.1039,85.3197,153.4528,-3.9418886884226E-02
3.0779723810,7.4234,3.9874,85.3197,153.4528,-3.5512281288603E-02
3.2178802165,5.2839,2.4480,85.3197,153.4528,-3.3741686923829E-02
3.3577880520,3.4788,1.4714,85.3197,153.5118,-3.3090025654484E-02
3.4976958875,2.1937,0.8898,85.3203,291.1986,-4.0999008777429E-02
3.6376037230,1.3664,0.5492,85.7206,340.1880,-6.0665230785381E-02
3.7775115585,0.8573,0.3480,108.3416,340.5066,-5.7798486725326E-02
3.9174193940,0.5477,0.2268,346.8725,340.5191,-6.2405054678818E-02
4.0573272295,0.3579,0.1519,757.4630,340.5206,-6.6319989088435E-02
4.1972350650,0.2396,0.1044,963.4440,340.5210,-6.2189766351949E-02
4.3371429005,0.1642,0.0736,1044.5143,340.5211,-5.5502207726522E-02
4.4770507360,0.1151,0.0530,1080.1892,340.5212,-4.8758277450354E-02
4.6169585715,0.0824,0.0390,1098.1260,340.5212,-4.2552388073483E-02
4.7568664070,0.0602,0.0292,1108.1637,340.5212,-3.6963223879789E-02
4.8967742425,0.0448,0.0222,1114.2629,340.5212,-3.1971210097063E-02
5.0366820780,0.0339,0.0172,1118.1813,340.5212,-2.7543395756669E-02
5.1765899135,0.0260,0.0135,1120.8144,340.5212,-2.3654973458623E-02
5.3164977490,0.0202,0.0107,1122.6406,340.5212,-2.0274071868909E-02
5.4564055845,0.0160,0.0087,1123.9393,340.5212,-1.7361542369080E-02
5.5963134200,0.0128,0.0071,1124.8905,340.5212,-1.4870872980360E-02
5.7362212555,0.0104,0.0058,1125.6091,340.5212,-1.2750267617788E-02
5.8761290910,0.0085,0.0049,1126.1486,340.5212,-1.0952366291824E-02
6.0160369265,0.0070,0.0041,1126.5743,340.5212,-9.4295744960089E-03
6.1559447620,0.0058,0.0034,1126.9106,340.5212,-8.1400298836353E-03
6.2958525975,0.0049,0.0029,1127.1746,340.5212,-7.0459180965455E-03
6.4357604330,0.0041,0.0025,1127.3789,340.5212,-6.1166973320327E-03
6.5756682685,0.0035,0.0021,1127.5517,340.5212,-5.3253690717700E-03
6.7155761040,0.0030,0.0019,1127.6857,340.5212,-4.6495785668909E-03
6.8554839395,0.0026,0.0016,1127.8035,340.5212,-4.0706192918255E-03
