cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.9093762500,16.8773,11.6328,476.2591,85.3197,-3.1070331871150E-02
5.2366680000,14.2070,10.4100,476.2591,85.3197,-2.5049970687960E-02
5.5639597500,12.0608,8.2252,476.2591,85.3197,-2.0810487982479E-02
5.8912515000,10.2806,5.5115,476.2591,85.3197,-1.8192149968743E-02
6.2185432500,8.7486,3.2311,476.2591,85.3197,-1.6841653731829E-02
6.5458350000,7.2459,1.7800,476.2591,85.3350,-1.6041982557771E-02
6.8731267500,5.5978,0.9762,476.2591,94.1620,-1.5509516722919E-02
7.2004185000,3.9342,0.5489,476.2591,344.7448,-1.8030786603770E-02
7.5277102500,2.5486,0.3199,476.2593,834.0586,-1.9216140089716E-02
7.8550020000,1.5775,0.1938,476.6600,1016.8676,-1.7042308907696E-02
8.1822937500,0.9648,0.1219,524.6390,1075.8961,-1.5471370413353E-02
8.5095855000,0.5951,0.0791,1401.7825,1099.7397,-2.7705705020322E-02
8.8368772500,0.3751,0.0531,3698.5128,1111.0512,-5.0344166781459E-02
9.1641690000,0.2425,0.0367,4987.4115,1117.1774,-5.3286937121526E-02
9.4914607500,0.1608,0.0261,5474.5870,1120.7923,-4.7329666877052E-02
9.8187525000,0.1094,0.0189,5678.2824,1123.0491,-3.9993865435685E-02
10.1460442500,0.0760,0.0139,5778.1630,1124.5761,-3.3225537806232E-02
10.4733360000,0.0542,0.0105,5831.9526,1125.5727,-2.7416956892307E-02
10.8006277500,0.0394,0.0081,5863.8717,1126.2689,-2.2596490011833E-02
11.1279195000,0.0293,0.0063,5884.0168,1126.7676,-1.8644019696230E-02
11.4552112500,0.0219,0.0050,5897.6919,1127.1413,-1.5432063472302E-02
11.7825030000,0.0168,0.0040,5906.7682,1127.4124,-1.2814291277935E-02
12.1097947500,0.0131,0.0033,5913.1737,1127.6177,-1.0692513005270E-02
12.4370865000,0.0103,0.0027,5917.8052,1127.7756,-8.9619240431290E-03
12.7643782500,0.0082,0.0022,5921.2237,1127.8987,-7.5334411532724E-03
13.0916700000,0.0063,0.0017,5924.3268,1128.0406,-6.3659240483707E-03
13.4189617500,0.0052,0.0014,5926.2235,1128.1137,-5.4069663351584E-03
13.7462535000,0.0042,0.0012,5927.6881,1128.1724,-4.6075518890848E-03
14.0735452500,0.0035,0.0010,5928.8333,1128.2200,-3.9458143142247E-03
14.4008370000,0.0029,0.0009,5929.7390,1128.2589,-3.3876056624354E-03
14.7281287500,0.0025,0.0008,5930.4628,1128.2910,-2.9232496339327E-03
15.0554205000,0.0021,0.0007,5931.0469,1128.3177,-2.5249915632327E-03
15.3827122500,0.0018,0.0006,5931.5223,1128.3400,-2.1941122008783E-03
15.7100040000,0.0016,0.0005,5931.9126,1128.3589,-1.9128421223219E-03
16.0372957500,0.0013,0.0005,5932.3961,1128.3793,-1.6716560728600E-03
