-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  56 Ba       2.3467     2.5907     5.3747
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  56 Ba     1  0.0000 5726.9887   2  0.9797 4171.7842   3  1.8467  716.5475
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   56 Ba         0.0060    5688.1975 1760391.6767
     2   12 Mg         0.0022     677.1199   60623.7549
     3   12 Mg         0.0022     677.1202   60623.7808
     4   12 Mg         0.0022     677.1202   60623.7808
     5   12 Mg         0.0024     677.1113   60622.9794
     6   12 Mg         0.0024     677.1113   60622.9795
     7   12 Mg         0.0022     677.1199   60623.7550
     8   12 Mg         0.0022     677.1199   60623.7550
     9   12 Mg         0.0023     677.1179   60623.5716
    10   12 Mg         0.0023     677.1179   60623.5716
    11   12 Mg         0.0023     677.1179   60623.5717
    12   12 Mg         0.0023     677.1179   60623.5715
    13   12 Mg         0.0023     677.1179   60623.5716
    14   12 Mg         0.0022     677.1202   60623.7808
    15   12 Mg         0.0023     677.1184   60623.6223
    16   12 Mg         0.0023     677.1184   60623.6224
    17   12 Mg         0.0024     677.1113   60622.9794
    18   12 Mg         0.0024     677.1113   60622.9794
    19   12 Mg         0.0023     677.1179   60623.5716
    20   12 Mg         0.0023     677.1179   60623.5716
    21   12 Mg         0.0023     677.1184   60623.6223
    22   12 Mg         0.0024     677.1113   60622.9794
    23   12 Mg         0.0024     677.1113   60622.9794
    24   12 Mg         0.0023     677.1179   60623.5715
    25   12 Mg         0.0023     677.1179   60623.5715
    26   12 Mg         0.0022     677.1227   60624.0050
    27   12 Mg         0.0022     677.1227   60624.0049
    28   12 Mg         0.0022     677.1227   60624.0050
    29   12 Mg         0.0022     677.1220   60623.9420
    30   12 Mg         0.0022     677.1221   60623.9515
    31   12 Mg         0.0022     677.1221   60623.9516
    32   12 Mg         0.0022     677.1221   60623.9516
    33   12 Mg         0.0022     677.1221   60623.9516
    34   12 Mg         0.0022     677.1221   60623.9515
    35   12 Mg         0.0022     677.1221   60623.9516
    36   12 Mg         0.0023     677.1188   60623.6567
    37   12 Mg         0.0023     677.1188   60623.6567
    38   12 Mg         0.0023     677.1188   60623.6567
    39   12 Mg         0.0022     677.1194   60623.7106
    40   12 Mg         0.0022     677.1194   60623.7106
    41   12 Mg         0.0022     677.1194   60623.7106
    42   12 Mg         0.0023     677.1189   60623.6677
    43   12 Mg         0.0023     677.1189   60623.6677
    44   12 Mg         0.0023     677.1189   60623.6677
    45   12 Mg         0.0023     677.1189   60623.6677
    46   12 Mg         0.0023     677.1189   60623.6677
    47   12 Mg         0.0023     677.1189   60623.6677
    48   12 Mg         0.0024     677.1101   60622.8728
    49   12 Mg         0.0024     677.1101   60622.8728
    50   12 Mg         0.0024     677.1101   60622.8728
    51   12 Mg         0.0022     677.1215   60623.8939
    52   12 Mg         0.0022     677.1215   60623.8939
    53   12 Mg         0.0022     677.1215   60623.8939
    54   12 Mg         0.0022     677.1216   60623.9084
    55   12 Mg         0.0022     677.1216   60623.9084
