cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.2654661275,19.8171,14.4247,343.3343,175.5616,-2.0092289712394E-01
4.5498305360,16.9079,12.7601,343.3343,175.5616,-1.5909834728542E-01
4.8341949445,15.1516,11.3901,343.3343,175.5616,-1.2776401337095E-01
5.1185593530,13.8157,10.0032,343.3343,175.5616,-1.0432871104880E-01
5.4029237615,12.2085,8.3958,343.3343,175.5616,-8.7994850804754E-02
5.6872881700,9.9915,6.5239,343.3343,175.5616,-7.7592445113399E-02
5.9716525785,7.3753,4.6076,343.3343,175.5616,-7.1482797546777E-02
6.2560169870,4.9317,2.9839,343.3343,175.5627,-6.8177110358264E-02
6.5403813955,3.0818,1.8300,343.3371,185.5540,-6.6687040754350E-02
6.8247458040,1.8701,1.1018,371.1438,432.9252,-8.7199384919537E-02
7.1091102125,1.1344,0.6679,1399.1151,491.2542,-1.7723293705889E-01
7.3934746210,0.6997,0.4133,1640.7206,591.0904,-2.0117720141370E-01
7.6778390295,0.4420,0.2625,1992.9125,643.7305,-2.0502297817225E-01
7.9622034380,0.2868,0.1714,2200.2615,661.8869,-1.9328167575868E-01
8.2465678465,0.1912,0.1151,2273.1475,668.9847,-1.7039528359338E-01
8.5309322550,0.1308,0.0793,2301.3756,672.2870,-1.4714536053410E-01
8.8152966635,0.0916,0.0560,2314.3726,674.0412,-1.2618721738518E-01
9.0996610720,0.0656,0.0404,2321.1892,675.0610,-1.0769939242205E-01
9.3840254805,0.0480,0.0297,2325.1418,675.6936,-9.1505975371120E-02
9.6683898890,0.0357,0.0223,2327.5934,676.1075,-7.7449663065268E-02
9.9527542975,0.0271,0.0170,2329.1929,676.3893,-6.5375302995623E-02
10.2371187060,0.0208,0.0132,2330.2955,676.5863,-5.5132875483505E-02
10.5214831145,0.0161,0.0103,2331.0890,676.7319,-4.6512609189747E-02
10.8058475230,0.0128,0.0082,2331.6367,676.8357,-3.9303921831340E-02
11.0902119315,0.0102,0.0066,2332.0406,676.9133,-3.3292877456543E-02
11.3745763400,0.0083,0.0054,2332.3454,676.9716,-2.8286395176252E-02
11.6589407485,0.0068,0.0044,2332.5783,677.0169,-2.4114025107663E-02
11.9433051570,0.0056,0.0037,2332.7595,677.0523,-2.0620978467948E-02
12.2276695655,0.0047,0.0031,2332.8999,677.0800,-1.7695064480086E-02
12.5120339740,0.0040,0.0026,2333.0114,677.1021,-1.5240119324239E-02
12.7963983825,0.0034,0.0022,2333.1008,677.1203,-1.3167680228196E-02
13.0807627910,0.0029,0.0019,2333.1774,677.1357,-1.1418087997646E-02
13.3651271995,0.0024,0.0016,2333.2444,677.1490,-9.9339290455121E-03
13.6494916080,0.0020,0.0014,2333.3004,677.1592,-8.6701986107836E-03
13.9338560165,0.0017,0.0012,2333.3422,677.1683,-7.5878888156674E-03
