cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.3139511675,20.4405,14.9602,688.0353,175.5616,-3.2168267338494E-01
4.6015479120,16.7530,13.2403,688.0353,175.5616,-2.6761748864185E-01
4.8891446565,14.4036,12.2017,688.0353,175.5616,-2.2121807339113E-01
5.1767414010,12.9209,11.1585,688.0353,175.5616,-1.8165611771911E-01
5.4643381455,11.7172,9.7301,688.0353,175.5616,-1.5027038649440E-01
5.7519348900,10.3339,7.8260,688.0353,175.5616,-1.2644763298654E-01
6.0395316345,8.6647,5.6822,688.0353,175.5616,-1.0858088694407E-01
6.3271283790,6.9467,3.7470,688.0353,175.5616,-9.5405862740573E-02
6.6147251235,5.4311,2.3194,688.0353,175.7779,-8.6204535895469E-02
6.9023218680,4.1699,1.4008,688.0353,324.5300,-9.2525453356378E-02
7.1899186125,3.1174,0.8486,688.0353,460.0194,-1.1823373933579E-01
7.4775153570,2.2480,0.5238,688.0353,542.1431,-1.2064883988733E-01
7.7651121015,1.5624,0.3316,688.0353,623.0415,-1.2199529438500E-01
8.0527088460,1.0562,0.2158,688.0353,654.2210,-1.1424157338018E-01
8.3403055905,0.7047,0.1443,688.0353,665.6300,-1.0242229669324E-01
8.6279023350,0.4702,0.0990,688.0353,670.5689,-9.0347596893624E-02
8.9154990795,0.3166,0.0696,688.0353,673.0554,-7.9394612768928E-02
9.2030958240,0.2165,0.0500,688.0353,674.4456,-6.9793584070950E-02
9.4906925685,0.1507,0.0367,688.0353,675.2864,-6.1323366153599E-02
9.7782893130,0.1068,0.0274,688.0353,675.8248,-5.3721197979970E-02
10.0658860575,0.0772,0.0209,688.0353,676.1842,-4.6824427228768E-02
10.3534828020,0.0567,0.0161,688.0353,676.4345,-4.0594188465841E-02
10.6410795465,0.0424,0.0126,688.0353,676.6147,-3.5031745015467E-02
10.9286762910,0.0321,0.0100,688.0353,676.7475,-3.0144918205379E-02
11.2162730355,0.0248,0.0080,688.0353,676.8435,-2.5908276356425E-02
11.5038697800,0.0193,0.0065,688.0353,676.9187,-2.2274100922207E-02
11.7914665245,0.0153,0.0053,688.0353,676.9740,-1.9177584368913E-02
12.0790632690,0.0122,0.0044,688.0353,677.0169,-1.6542148845205E-02
12.3666600135,0.0099,0.0037,688.0353,677.0508,-1.4301014194564E-02
12.6542567580,0.0081,0.0031,688.0353,677.0795,-1.2390636371135E-02
12.9418535025,0.0067,0.0026,688.0353,677.1011,-1.0759007285892E-02
13.2294502470,0.0055,0.0023,688.0353,677.1187,-9.3620028624161E-03
13.5170469915,0.0047,0.0020,688.0353,677.1331,-8.1639016171997E-03
13.8046437360,0.0039,0.0017,688.0353,677.1465,-7.1332398329321E-03
14.0922404805,0.0033,0.0014,688.0353,677.1568,-6.2450874441212E-03
