cell_length,CN_C,CN_A,C6_C,C6_A,Edis
12.0088030800,20.4327,15.7335,544.4356,175.5616,-3.0498412613161E+00
12.8093899520,17.1840,13.7829,544.4356,175.5616,-2.4197857834794E+00
13.6099768240,14.8848,12.6110,544.4356,175.5616,-1.9486443536510E+00
14.4105636960,13.3585,11.5896,544.4356,175.5616,-1.5814247558801E+00
15.2111505680,12.2432,10.1695,544.4356,175.5616,-1.2976317624245E+00
16.0117374400,11.0451,8.1142,544.4356,175.5616,-1.1060615526170E+00
16.8123243120,9.3933,5.7500,544.4356,175.5616,-1.0025072263335E+00
17.6129111840,7.2789,3.6877,544.4356,175.5616,-9.6377587955221E-01
18.4134980560,5.1070,2.2372,544.4356,175.9752,-9.5573026705367E-01
19.2140849280,3.3243,1.3370,544.4356,358.3078,-1.8583426378255E+00
20.0146718000,2.0819,0.8072,544.4360,464.8950,-2.2888630646279E+00
20.8152586720,1.2927,0.4984,2535.2121,553.2713,-2.4609415933115E+00
21.6158455440,0.8109,0.3163,2617.3298,628.1663,-2.4292164503184E+00
22.4164324160,0.5186,0.2066,2617.3310,655.9857,-2.1794488253442E+00
23.2170192880,0.3396,0.1387,2617.3310,666.3297,-1.9010959239278E+00
24.0176061600,0.2278,0.0955,2617.3310,670.8989,-1.6480148012898E+00
24.8181930320,0.1565,0.0673,2617.3310,673.2224,-1.4235047387745E+00
25.6187799040,0.1099,0.0485,2617.3310,674.5422,-1.2231751896516E+00
26.4193667760,0.0789,0.0357,2617.3310,675.3417,-1.0445273096095E+00
27.2199536480,0.0578,0.0268,2617.3310,675.8593,-8.8721558234343E-01
28.0205405200,0.0430,0.0204,2617.3310,676.2080,-7.5079803457070E-01
28.8211273920,0.0327,0.0158,2617.3310,676.4489,-6.3425762061150E-01
29.6217142640,0.0251,0.0125,2617.3310,676.6222,-5.3590945507655E-01
30.4223011360,0.0196,0.0099,2617.3310,676.7519,-4.5343305746160E-01
31.2228880080,0.0154,0.0079,2617.3310,676.8473,-3.8448629407392E-01
32.0234748800,0.0123,0.0065,2617.3310,676.9190,-3.2699979058892E-01
32.8240617520,0.0100,0.0053,2617.3310,676.9744,-2.7898434606882E-01
33.6246486240,0.0081,0.0044,2617.3310,677.0186,-2.3881723475701E-01
34.4252354960,0.0067,0.0037,2617.3310,677.0519,-2.0514822072849E-01
35.2258223680,0.0056,0.0031,2617.3310,677.0785,-1.7683398989083E-01
36.0264092400,0.0047,0.0026,2617.3310,677.1017,-1.5296145665970E-01
36.8269961120,0.0040,0.0023,2617.3310,677.1191,-1.3273241619664E-01
37.6275829840,0.0034,0.0020,2617.3310,677.1333,-1.1554918374435E-01
38.4281698560,0.0029,0.0017,2617.3310,677.1451,-1.0090633749546E-01
39.2287567280,0.0025,0.0015,2617.3310,677.1549,-8.8382391773025E-02
