cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.0300410466,21.0135,17.6689,420.9766,175.5616,-1.2783494513141E-01
3.2320437831,17.3118,14.9738,420.9766,175.5616,-1.0722982627137E-01
3.4340465195,14.9128,13.4273,420.9766,175.5616,-9.0421790341755E-02
3.6360492559,13.4136,12.5053,420.9766,175.5616,-7.5227054381309E-02
3.8380519924,12.3901,11.6872,420.9766,175.5616,-6.1658057961994E-02
4.0400547288,11.3706,10.5407,420.9766,175.5616,-5.0721353152501E-02
4.2420574653,9.9786,8.8150,420.9766,175.5616,-4.2432199787486E-02
4.4440602017,8.0959,6.6527,420.9766,175.5616,-3.6129926794549E-02
4.6460629381,5.9781,4.5474,420.9766,175.5616,-3.1411317534397E-02
4.8480656746,4.0610,2.9045,420.9766,175.5637,-2.8203410154224E-02
5.0500684110,2.6139,1.7998,775.8056,188.1371,-4.3602710365297E-02
5.2520711475,1.6450,1.1127,780.4022,431.1149,-5.0559663574466E-02
5.4540738839,1.0356,0.6975,921.7035,483.9672,-5.6996970267163E-02
5.6560766203,0.6610,0.4467,1433.8957,576.4018,-8.2542169298433E-02
5.8580793568,0.4305,0.2931,1441.0263,635.3581,-8.1149647117485E-02
6.0600820932,0.2869,0.1972,1441.2161,657.6878,-7.6454171890345E-02
6.2620848297,0.1957,0.1359,1441.2337,666.6693,-6.9946086353637E-02
6.4640875661,0.1365,0.0958,1441.2371,670.8693,-6.2555348769332E-02
6.6660903026,0.0972,0.0689,1441.2381,673.1022,-5.5065061140941E-02
6.8680930390,0.0706,0.0505,1441.2386,674.4096,-4.8026452276086E-02
7.0700957754,0.0523,0.0378,1441.2388,675.2184,-4.1715171582004E-02
7.2720985119,0.0394,0.0287,1441.2389,675.7506,-3.6183578123177E-02
7.4741012483,0.0301,0.0222,1441.2390,676.1132,-3.1372965007951E-02
7.6761039848,0.0234,0.0174,1441.2390,676.3688,-2.7193301544591E-02
7.8781067212,0.0183,0.0136,1441.2390,676.5619,-2.3548032266297E-02
8.0801094576,0.0145,0.0110,1441.2390,676.6976,-2.0370236071413E-02
8.2821121941,0.0117,0.0089,1441.2391,676.7997,-1.7604423310060E-02
8.4841149305,0.0095,0.0073,1441.2391,676.8792,-1.5209131033917E-02
8.6861176670,0.0078,0.0060,1441.2391,676.9396,-1.3140365313118E-02
8.8881204034,0.0065,0.0050,1441.2391,676.9870,-1.1361387901551E-02
9.0901231398,0.0054,0.0042,1441.2391,677.0261,-9.8353233754345E-03
9.2921258763,0.0045,0.0035,1441.2391,677.0589,-8.5298574829472E-03
9.4941286127,0.0039,0.0030,1441.2391,677.0831,-7.4099715809001E-03
9.6961313492,0.0033,0.0026,1441.2391,677.1029,-6.4533816196870E-03
9.8981340856,0.0028,0.0023,1441.2391,677.1192,-5.6344636616909E-03
