cell_length,CN_C,CN_A,C6_C,C6_A,Edis
12.0070951575,19.6160,15.7338,411.5665,175.5616,-3.0471161538516E+00
12.8075681680,16.5486,13.7829,411.5665,175.5616,-2.4166290929677E+00
13.6080411785,14.4297,12.6091,411.5665,175.5616,-1.9461041984524E+00
14.4085141890,13.0592,11.5840,411.5665,175.5616,-1.5795351546823E+00
15.2089871995,11.9999,10.1578,411.5665,175.5616,-1.2959746354165E+00
16.0094602100,10.7535,8.0966,411.5665,175.5616,-1.1046998271299E+00
16.8099332205,8.9973,5.7310,411.5665,175.5616,-1.0017708553485E+00
17.6104062310,6.8179,3.6721,411.5665,175.5616,-9.6382067518730E-01
18.4108792415,4.6819,2.2266,411.5665,176.0115,-9.5647062399858E-01
19.2113522520,3.0010,1.3303,411.5665,361.5850,-1.8697228001997E+00
20.0118252625,1.8636,0.8032,411.6221,465.4232,-2.2908837044903E+00
20.8122982730,1.1532,0.4959,1596.2088,554.3626,-2.4603539212819E+00
21.6127712835,0.7233,0.3148,1597.4795,628.6582,-2.4240589657491E+00
22.4132442940,0.4633,0.2056,1597.4796,656.1640,-2.1726339608363E+00
23.2137173045,0.3041,0.1380,1597.4796,666.4051,-1.8943614601655E+00
24.0141903150,0.2045,0.0950,1597.4796,670.9363,-1.6420044187144E+00
24.8146633255,0.1409,0.0671,1597.4796,673.2433,-1.4182806348130E+00
25.6151363360,0.0992,0.0483,1597.4796,674.5549,-1.2185925948910E+00
26.4156093465,0.0715,0.0356,1597.4796,675.3499,-1.0404465008593E+00
27.2160823570,0.0525,0.0267,1597.4796,675.8649,-8.8355889540841E-01
28.0165553675,0.0392,0.0204,1597.4796,676.2119,-7.4753507249000E-01
28.8170283780,0.0298,0.0158,1597.4796,676.4518,-6.3137538352535E-01
29.6175013885,0.0230,0.0124,1597.4796,676.6243,-5.3338837107745E-01
30.4179743990,0.0179,0.0098,1597.4796,676.7535,-4.5124662990353E-01
31.2184474095,0.0142,0.0079,1597.4796,676.8485,-3.8260102970599E-01
32.0189204200,0.0114,0.0064,1597.4796,676.9200,-3.2538017995701E-01
32.8193934305,0.0092,0.0053,1597.4796,676.9751,-2.7759463057038E-01
33.6198664410,0.0075,0.0044,1597.4796,677.0192,-2.3762452491001E-01
34.4203394515,0.0062,0.0037,1597.4796,677.0524,-2.0412319538079E-01
35.2208124620,0.0052,0.0031,1597.4796,677.0789,-1.7595221572842E-01
36.0212854725,0.0043,0.0026,1597.4796,677.1021,-1.5219975290575E-01
36.8217584830,0.0037,0.0023,1597.4796,677.1193,-1.3207335336754E-01
37.6222314935,0.0032,0.0019,1597.4796,677.1335,-1.1497741629679E-01
38.4227045040,0.0027,0.0017,1597.4796,677.1453,-1.0040959785272E-01
39.2231775145,0.0024,0.0015,1597.4796,677.1551,-8.7948998965127E-02
