cell_length,CN_C,CN_A,C6_C,C6_A,Edis
11.9242072125,16.1116,14.2372,175.5616,172.3153,-3.1062645168113E+00
12.7191543600,14.0173,12.8937,175.5616,172.3153,-2.4644230283637E+00
13.5141015075,12.7470,11.9337,175.5616,172.3153,-1.9844891019558E+00
14.3090486550,11.6981,10.7114,175.5616,172.3153,-1.6120303504048E+00
15.1039958025,10.3147,8.8198,175.5616,172.3153,-1.3211986588403E+00
15.8989429500,8.3312,6.4131,175.5616,172.3153,-1.1210484253043E+00
16.6938900975,6.0058,4.1470,175.5616,172.3154,-1.0099613397359E+00
17.4888372450,3.9133,2.4944,175.5616,201.4000,-9.6819278373714E-01
18.2837843925,2.3989,1.4642,175.6771,327.8801,-9.6374389529703E-01
19.0787315400,1.4407,0.8656,302.3745,422.6003,-1.6270191341678E+00
19.8736786875,0.8709,0.5236,457.7086,446.8260,-2.3059641118607E+00
20.6686258350,0.5374,0.3260,536.3896,468.7121,-2.4297885454650E+00
21.4635729825,0.3405,0.2093,619.9374,476.5935,-2.4418875916349E+00
22.2585201300,0.2218,0.1384,653.0135,479.3896,-2.2086697363395E+00
23.0534672775,0.1486,0.0941,665.0866,480.5834,-1.9312249249339E+00
23.8484144250,0.1020,0.0656,670.2852,481.1801,-1.6763834981230E+00
24.6433615725,0.0718,0.0469,672.8804,481.5125,-1.4504244121611E+00
25.4383087200,0.0517,0.0342,674.3318,481.7135,-1.2488102972207E+00
26.2332558675,0.0379,0.0254,675.2092,481.8422,-1.0684443148761E+00
27.0282030150,0.0284,0.0193,675.7696,481.9279,-9.0899474050104E-01
27.8231501625,0.0216,0.0148,676.1449,481.9871,-7.7021222361400E-01
28.6180973100,0.0167,0.0116,676.4033,482.0289,-6.5127409528119E-01
29.4130444575,0.0131,0.0092,676.5880,482.0596,-5.5063168906899E-01
30.2079916050,0.0104,0.0074,676.7263,482.0829,-4.6609241522057E-01
31.0029387525,0.0083,0.0060,676.8276,482.1003,-3.9535944942278E-01
31.7978859000,0.0068,0.0049,676.9036,482.1135,-3.3631120451869E-01
32.5928330475,0.0056,0.0040,676.9621,482.1238,-2.8700544690348E-01
33.3877801950,0.0046,0.0034,677.0078,482.1318,-2.4567545773874E-01
34.1827273425,0.0038,0.0028,677.0440,482.1384,-2.1103732974604E-01
34.9776744900,0.0033,0.0024,677.0720,482.1434,-1.8191979853236E-01
35.7726216375,0.0027,0.0021,677.0964,482.1479,-1.5737228701972E-01
36.5675687850,0.0024,0.0018,677.1146,482.1512,-1.3656156581481E-01
37.3625159325,0.0020,0.0015,677.1295,482.1540,-1.1889100852341E-01
38.1574630800,0.0018,0.0014,677.1419,482.1563,-1.0380833669648E-01
38.9524102275,0.0015,0.0012,677.1522,482.1582,-9.0922962367134E-02
