cell_length,CN_C,CN_A,C6_C,C6_A,Edis
11.9379336375,15.9934,17.0690,175.5616,298.8616,-3.0908609504430E+00
12.7337958800,13.9508,14.6253,175.5616,298.8616,-2.4518589249898E+00
13.5296581225,12.7331,13.1911,175.5616,298.8616,-1.9744136357079E+00
14.3255203650,11.7398,12.2428,175.5616,298.8616,-1.6034873405873E+00
15.1213826075,10.4190,11.2305,175.5616,298.8616,-1.3143876224274E+00
15.9172448500,8.4822,9.7307,175.5616,298.8616,-1.1164812805200E+00
16.7131070925,6.1616,7.6531,175.5616,298.8616,-1.0076146699426E+00
17.5089693350,4.0391,5.3919,175.5616,298.8616,-9.6590438769645E-01
18.3048315775,2.4855,3.4822,175.6199,298.8616,-9.5678117940479E-01
19.1006938200,1.4954,2.1466,273.1400,298.8616,-1.6847990171498E+00
19.8965560625,0.9043,1.3082,454.5228,299.2544,-2.2890011192751E+00
20.6924183050,0.5577,0.8053,528.0653,358.8891,-2.4202486104175E+00
21.4882805475,0.3530,0.5062,615.3854,362.0468,-2.4200532055304E+00
22.2841427900,0.2297,0.3264,651.3675,362.0739,-2.1834977239216E+00
23.0800050325,0.1537,0.2160,664.4130,362.0752,-1.9079409882840E+00
23.8758672750,0.1054,0.1467,669.9612,362.0754,-1.6557995202194E+00
24.6717295175,0.0741,0.1020,672.7041,362.0755,-1.4321795328124E+00
25.4675917600,0.0533,0.0726,674.2258,362.0755,-1.2325162438205E+00
26.2634540025,0.0390,0.0527,675.1415,362.0755,-1.0539695470205E+00
27.0593162450,0.0292,0.0390,675.7243,362.0755,-8.9623334722699E-01
27.8551784875,0.0222,0.0294,676.1134,362.0755,-7.5908342456473E-01
28.6510407300,0.0172,0.0225,676.3807,362.0755,-6.4166006149166E-01
29.4469029725,0.0135,0.0175,676.5718,362.0755,-5.4238230920048E-01
30.2427652150,0.0106,0.0137,676.7138,362.0755,-4.5903976163246E-01
31.0386274575,0.0085,0.0109,676.8181,362.0755,-3.8934087796684E-01
31.8344897000,0.0069,0.0088,676.8962,362.0755,-3.3115546894963E-01
32.6303519425,0.0057,0.0072,676.9564,362.0755,-2.8258978069880E-01
33.4262141850,0.0047,0.0059,677.0039,362.0755,-2.4190811407016E-01
34.2220764275,0.0039,0.0049,677.0403,362.0755,-2.0780606509366E-01
35.0179386700,0.0033,0.0041,677.0690,362.0755,-1.7913734031974E-01
35.8138009125,0.0028,0.0035,677.0939,362.0755,-1.5495736686463E-01
36.6096631550,0.0024,0.0030,677.1126,362.0755,-1.3447873279777E-01
37.4055253975,0.0021,0.0025,677.1278,362.0755,-1.1707789344987E-01
38.2013876400,0.0018,0.0022,677.1405,362.0755,-1.0223074461270E-01
38.9972498825,0.0016,0.0019,677.1510,362.0755,-8.9543688569068E-02
