cell_length,CN_C,CN_A,C6_C,C6_A,Edis
11.9502791325,15.8963,14.1416,175.5616,336.8727,-3.0975810359920E+00
12.7469644080,13.8784,12.9228,175.5616,336.8727,-2.4562713967248E+00
13.5436496835,12.6479,12.1765,175.5616,336.8727,-1.9763339467564E+00
14.3403349590,11.5812,11.3481,175.5616,336.8727,-1.6044779121120E+00
15.1370202345,10.1255,9.9966,175.5616,336.8727,-1.3178422952617E+00
15.9337055100,8.0562,7.9598,175.5616,336.8727,-1.1243594390381E+00
16.7303907855,5.7032,5.6146,175.5616,336.8727,-1.0200254564273E+00
17.5270760610,3.6593,3.5851,175.5616,346.3610,-9.8186074443297E-01
18.3237613365,2.2219,2.1685,176.0284,346.3610,-9.7303021837707E-01
19.1204466120,1.3287,1.2937,362.3936,346.6057,-1.7901339226999E+00
19.9171318875,0.8025,0.7803,465.5078,388.2740,-2.3093795859140E+00
20.7138171630,0.4956,0.4815,554.4886,391.1136,-2.4406201728200E+00
21.5105024385,0.3147,0.3055,628.7127,391.1427,-2.4223787941502E+00
22.3071877140,0.2055,0.1994,656.1837,391.1444,-2.1797856824339E+00
23.1038729895,0.1380,0.1338,666.4136,391.1446,-1.9030577021301E+00
23.9005582650,0.0950,0.0921,670.9383,391.1447,-1.6502862784432E+00
24.6972435405,0.0670,0.0649,673.2448,391.1447,-1.4259992935712E+00
25.4939288160,0.0484,0.0468,674.5526,391.1448,-1.2258920350609E+00
26.2906140915,0.0356,0.0344,675.3509,391.1448,-1.0473353372072E+00
27.0872993670,0.0267,0.0258,675.8655,391.1448,-8.8996536370376E-01
27.8839846425,0.0203,0.0196,676.2123,391.1448,-7.5340192058647E-01
28.6806699180,0.0158,0.0152,676.4520,391.1448,-6.3663351015728E-01
29.4773551935,0.0124,0.0120,676.6244,391.1448,-5.3802271371377E-01
30.2740404690,0.0098,0.0095,676.7529,391.1448,-4.5529594882921E-01
31.0707257445,0.0079,0.0076,676.8485,391.1448,-3.8612814468089E-01
31.8674110200,0.0064,0.0062,676.9200,391.1448,-3.2840899929391E-01
32.6640962955,0.0053,0.0051,676.9751,391.1448,-2.8021286436959E-01
33.4607815710,0.0044,0.0042,677.0188,391.1448,-2.3988685579227E-01
34.2574668465,0.0037,0.0035,677.0524,391.1448,-2.0606849275538E-01
35.0541521220,0.0031,0.0030,677.0789,391.1448,-1.7763714401365E-01
35.8508373975,0.0026,0.0025,677.1017,391.1448,-1.5365962736064E-01
36.6475226730,0.0023,0.0022,677.1193,391.1448,-1.3335204090867E-01
37.4442079485,0.0019,0.0019,677.1335,391.1448,-1.1608489105700E-01
38.2408932240,0.0017,0.0016,677.1453,391.1448,-1.0137474904782E-01
39.0375784995,0.0015,0.0014,677.1552,391.1448,-8.8794517514249E-02
