cell_length,CN_C,CN_A,C6_C,C6_A,Edis
11.9711299425,15.9671,13.8248,175.5616,153.4528,-3.0492904172876E+00
12.7692052720,13.9255,12.6473,175.5616,153.4528,-2.4184201686563E+00
13.5672806015,12.6739,11.6976,175.5616,153.4528,-1.9476531468387E+00
14.3653559310,11.6003,10.3501,175.5616,153.4528,-1.5812240973862E+00
15.1634312605,10.1603,8.2865,175.5616,153.4528,-1.2970178889974E+00
15.9615065900,8.1288,5.8226,175.5616,153.4528,-1.1045265263972E+00
16.7595819195,5.8062,3.6601,175.5616,153.4528,-1.0003852592835E+00
17.5576572490,3.7591,2.1651,175.5616,153.4528,-9.6163009559452E-01
18.3557325785,2.2967,1.2622,175.8203,154.9645,-9.5377752675973E-01
19.1538079080,1.3777,0.7455,337.1231,333.7315,-1.8391550400923E+00
19.9518832375,0.8329,0.4519,461.7659,340.4478,-2.2993907949264E+00
20.7499585670,0.5142,0.2823,546.2998,340.5160,-2.4388018240699E+00
21.5480338965,0.3261,0.1821,624.9242,340.5202,-2.4121589216784E+00
22.3461092260,0.2127,0.1209,654.8187,340.5209,-2.1653896846755E+00
23.1441845555,0.1426,0.0826,665.8428,340.5211,-1.8893189130831E+00
23.9422598850,0.0981,0.0578,670.6583,340.5211,-1.6384772535776E+00
24.7403352145,0.0691,0.0415,673.0895,340.5212,-1.4160927345154E+00
25.5384105440,0.0497,0.0303,674.4607,340.5212,-1.2174736568986E+00
26.3364858735,0.0366,0.0227,675.2912,340.5212,-1.0400880605061E+00
27.1345612030,0.0274,0.0172,675.8251,340.5212,-8.8365846406071E-01
27.9326365325,0.0209,0.0133,676.1841,340.5212,-7.4789349202219E-01
28.7307118620,0.0162,0.0105,676.4318,340.5212,-6.3185466138050E-01
29.5287871915,0.0127,0.0083,676.6095,340.5212,-5.3390308554824E-01
30.3268625210,0.0101,0.0067,676.7423,340.5212,-4.5175955064427E-01
31.1249378505,0.0081,0.0054,676.8399,340.5212,-3.8309884905490E-01
31.9230131800,0.0066,0.0045,676.9133,340.5212,-3.2581792465322E-01
32.7210885095,0.0054,0.0037,676.9698,340.5212,-2.7799182490129E-01
33.5191638390,0.0045,0.0031,677.0143,340.5212,-2.3798913643548E-01
34.3172391685,0.0037,0.0026,677.0490,340.5212,-2.0443912322077E-01
35.1153144980,0.0032,0.0022,677.0761,340.5212,-1.7623654450446E-01
35.9133898275,0.0027,0.0019,677.0998,340.5212,-1.5244972250147E-01
36.7114651570,0.0023,0.0016,677.1174,340.5212,-1.3230582898085E-01
37.5095404865,0.0020,0.0014,677.1319,340.5212,-1.1517519985393E-01
38.3076158160,0.0017,0.0013,677.1439,340.5212,-1.0058625675596E-01
39.1056911455,0.0015,0.0011,677.1539,340.5212,-8.8106278182001E-02
