cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.9638328225,16.2138,16.1845,175.5616,533.8810,-3.1199782733739E-01
4.2280883440,14.1662,13.9564,175.5616,533.8810,-2.4998929436901E-01
4.4923438655,12.5992,12.6013,175.5616,533.8810,-2.0229348375151E-01
4.7565993870,11.0717,11.4315,175.5616,533.8810,-1.6433330056646E-01
5.0208549085,9.1841,9.9737,175.5616,533.8810,-1.3569958998656E-01
5.2851104300,6.9669,8.0936,175.5616,533.8810,-1.1707849756077E-01
5.5493659515,4.8088,5.9956,175.5616,533.8810,-1.0725668293052E-01
5.8136214730,3.0767,4.0619,175.5621,533.8811,-1.0317536113547E-01
6.0778769945,1.8815,2.5749,182.2849,542.8619,-1.1171158695602E-01
6.3421325160,1.1340,1.5783,427.2375,574.4366,-1.5919025269367E-01
6.6063880375,0.6890,0.9626,485.9428,594.0968,-1.7441429153775E-01
6.8706435590,0.4274,0.5948,584.9595,601.1212,-1.7317382273196E-01
7.1348990805,0.2722,0.3760,641.2215,610.6594,-1.6191548903182E-01
7.3991546020,0.1782,0.2439,660.8452,614.5305,-1.4273470617123E-01
7.6634101235,0.1199,0.1624,668.4791,615.8462,-1.2331842645923E-01
7.9276656450,0.0828,0.1110,672.0055,616.3783,-1.0586362876545E-01
8.1919211665,0.0585,0.0776,673.8671,616.6336,-9.0522448177704E-02
8.4561766880,0.0423,0.0556,674.9414,616.7716,-7.7078682860221E-02
8.7204322095,0.0312,0.0407,675.6074,616.8530,-6.5356971752933E-02
8.9846877310,0.0235,0.0303,676.0434,616.9045,-5.5226748031462E-02
9.2489432525,0.0180,0.0230,676.3391,616.9386,-4.6573101194977E-02
9.5131987740,0.0139,0.0177,676.5495,616.9621,-3.9256989587262E-02
9.7774542955,0.0109,0.0138,676.7000,616.9789,-3.3115071286515E-02
10.0417098170,0.0087,0.0109,676.8092,616.9908,-2.7983144763934E-02
10.3059653385,0.0070,0.0087,676.8914,616.9997,-2.3707464687041E-02
10.5702208600,0.0057,0.0071,676.9551,617.0065,-2.0143420894567E-02
10.8344763815,0.0047,0.0058,677.0032,617.0116,-1.7169957259380E-02
11.0987319030,0.0039,0.0048,677.0420,617.0156,-1.4689420800638E-02
11.3629874245,0.0033,0.0040,677.0719,617.0187,-1.2610651415482E-02
11.6272429460,0.0028,0.0033,677.0952,617.0212,-1.0863371069533E-02
11.8914984675,0.0024,0.0028,677.1141,617.0232,-9.3900907466700E-03
12.1557539890,0.0020,0.0024,677.1295,617.0248,-8.1430663228237E-03
12.4200095105,0.0018,0.0021,677.1427,617.0261,-7.0850950312901E-03
12.6842650320,0.0015,0.0018,677.1531,617.0272,-6.1826114022184E-03
12.9485205535,0.0013,0.0016,677.1621,617.0281,-5.4120534692601E-03
