cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.0736446340,27.7528,9.7570,175.5616,28.0315,-4.3207986470024E-01
4.3452209429,23.9218,8.1749,175.5616,28.0315,-3.5532114358692E-01
4.6167972518,21.3989,7.3478,175.5616,28.0315,-2.9424405502246E-01
4.8883735608,19.3322,6.8012,175.5616,28.0315,-2.4481981250234E-01
5.1599498697,17.2176,6.3738,175.5616,28.0315,-2.0520894463394E-01
5.4315261786,14.9628,5.9693,175.5616,28.0315,-1.7459203334790E-01
5.7031024876,12.5520,5.4595,175.5616,28.0315,-1.5160210272158E-01
5.9746787965,10.0036,4.7415,175.5616,28.0315,-1.3422734594047E-01
6.2462551054,7.5263,3.8275,175.5616,28.8958,-1.3029541370878E-01
6.5178314144,5.3704,2.8556,175.5616,32.0874,-1.6762542088455E-01
6.7894077233,3.6625,1.9893,175.5616,52.6197,-2.1226798678878E-01
7.0609840322,2.4147,1.3207,175.6636,69.2853,-2.1518063813997E-01
7.3325603411,1.5644,0.8554,241.4659,76.6876,-2.2394049304537E-01
7.6041366501,1.0119,0.5514,444.4752,86.5420,-2.3627372900857E-01
7.8757129590,0.6613,0.3585,493.0058,97.9179,-2.2438329360949E-01
8.1472892679,0.4397,0.2369,579.5411,102.8017,-2.1006814649677E-01
8.4188655769,0.2983,0.1597,633.8193,104.6174,-1.9294041214106E-01
8.6904418858,0.2067,0.1099,655.9616,105.3922,-1.7488247966397E-01
8.9620181947,0.1463,0.0773,665.3805,105.7744,-1.5773339385271E-01
9.2335945037,0.1056,0.0555,669.9434,105.9851,-1.4232177188187E-01
9.5051708126,0.0777,0.0406,672.4201,106.1112,-1.2897298071027E-01
9.7767471215,0.0581,0.0302,673.8944,106.1911,-1.1766653562741E-01
10.0483234305,0.0442,0.0229,674.8198,106.2441,-1.0810020528314E-01
10.3198997394,0.0342,0.0176,675.4345,106.2806,-9.9802316623433E-02
10.5914760483,0.0268,0.0137,675.8592,106.3064,-9.2278613808583E-02
10.8630523573,0.0213,0.0108,676.1633,106.3251,-8.5153568936682E-02
11.1346286662,0.0171,0.0087,676.3851,106.3389,-7.8245955992162E-02
11.4062049751,0.0139,0.0070,676.5505,106.3494,-7.1556810801621E-02
11.6777812840,0.0114,0.0057,676.6761,106.3573,-6.5199291831287E-02
11.9493575930,0.0094,0.0047,676.7766,106.3635,-5.9304727372723E-02
12.2209339019,0.0078,0.0040,676.8517,106.3683,-5.3960717340441E-02
12.4925102108,0.0066,0.0033,676.9116,106.3722,-4.9187808440923E-02
12.7640865198,0.0056,0.0028,676.9590,106.3753,-4.4945740559572E-02
13.0356628287,0.0048,0.0024,676.9995,106.3778,-4.1161601475869E-02
13.3072391376,0.0041,0.0021,677.0319,106.3798,-3.7746701988303E-02
