cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.1540999175,14.4927,15.5996,175.5616,533.8810,-3.1861037095922E-01
4.4310399120,12.9331,13.6512,175.5616,533.8810,-2.5778446508261E-01
4.7079799065,11.7481,12.3118,175.5616,533.8810,-2.1018341969568E-01
4.9849199010,10.3979,11.0112,175.5616,533.8810,-1.7174293536765E-01
5.2618598955,8.7506,9.4075,175.5616,533.8810,-1.4301914963362E-01
5.5387998900,6.9981,7.4855,175.5616,533.8810,-1.2442320819371E-01
5.8157398845,5.3160,5.4799,175.5616,533.8810,-1.1399613407015E-01
6.0926798790,3.7970,3.7019,175.5616,533.8827,-1.0831358473446E-01
6.3696198735,2.5426,2.3525,175.5988,556.1247,-1.2369851826477E-01
6.6465598680,1.6210,1.4473,221.3692,581.3480,-1.4329956505976E-01
6.9234998625,1.0095,0.8852,444.7245,594.7669,-1.5549065909658E-01
7.2004398570,0.6284,0.5481,502.6901,603.0667,-1.5006572048064E-01
7.4773798515,0.3968,0.3469,598.0815,611.7165,-1.3966312389265E-01
7.7543198460,0.2560,0.2252,645.3648,614.8942,-1.2371185957204E-01
8.0312598405,0.1693,0.1501,662.2097,615.9919,-1.0693873303058E-01
8.3081998350,0.1147,0.1026,669.0304,616.4485,-9.1514700070927E-02
8.5851398295,0.0796,0.0718,672.2649,616.6720,-7.7955794355407E-02
8.8620798240,0.0565,0.0515,674.0009,616.7949,-6.6237896458586E-02
9.1390198185,0.0410,0.0376,675.0203,616.8684,-5.6175538208730E-02
9.4159598130,0.0303,0.0281,675.6585,616.9151,-4.7561149136080E-02
9.6928998075,0.0228,0.0213,676.0791,616.9462,-4.0224167808141E-02
9.9698398020,0.0174,0.0164,676.3662,616.9677,-3.4001449686722E-02
10.2467797965,0.0135,0.0128,676.5681,616.9829,-2.8752959294643E-02
10.5237197910,0.0107,0.0101,676.7130,616.9941,-2.4344192015354E-02
10.8006597855,0.0085,0.0081,676.8193,617.0023,-2.0650874310702E-02
11.0775997800,0.0068,0.0065,676.9003,617.0085,-1.7563550261672E-02
11.3545397745,0.0056,0.0054,676.9615,617.0133,-1.4981979039878E-02
11.6314797690,0.0046,0.0044,677.0086,617.0169,-1.2819821421942E-02
11.9084197635,0.0038,0.0037,677.0457,617.0198,-1.1006476109082E-02
12.1853597580,0.0032,0.0031,677.0744,617.0220,-9.4804373130851E-03
12.4622997525,0.0027,0.0027,677.0977,617.0239,-8.1938037446624E-03
12.7392397470,0.0023,0.0023,677.1169,617.0254,-7.1043153201333E-03
13.0161797415,0.0020,0.0019,677.1320,617.0267,-6.1794163831339E-03
13.2931197360,0.0017,0.0017,677.1444,617.0277,-5.3921340019532E-03
13.5700597305,0.0015,0.0015,677.1552,617.0285,-4.7185827942237E-03
