cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.7325714100,16.6681,16.5616,175.5616,263.4508,-3.5873158129102E-01
3.9814095040,14.3668,14.3317,175.5616,263.4508,-2.8509034473507E-01
4.2302475980,12.9868,12.9415,175.5616,263.4508,-2.2929824230311E-01
4.4790856920,11.9602,11.8532,175.5616,263.4508,-1.8658075771531E-01
4.7279237860,10.7164,10.5022,175.5616,263.4508,-1.5273127881691E-01
4.9767618800,8.9044,8.5813,175.5616,263.4508,-1.2806273756878E-01
5.2255999740,6.6423,6.2857,175.5616,263.4508,-1.1301158130564E-01
5.4744380680,4.4597,4.1599,175.5616,263.4508,-1.0601398327037E-01
5.7232761620,2.7881,2.5784,175.5670,263.4508,-1.0391977700696E-01
5.9721142560,1.6905,1.5576,203.8104,263.4695,-1.0577805092774E-01
6.2209523500,1.0247,0.9434,443.1171,382.3897,-1.5870941658095E-01
6.4697904440,0.6314,0.5819,501.7335,467.6791,-1.8585584629050E-01
6.7186285380,0.3987,0.3681,597.2596,468.1719,-1.7485732632478E-01
6.9674666320,0.2587,0.2393,644.6895,468.1876,-1.5587951508318E-01
7.2163047260,0.1724,0.1599,661.7364,468.1893,-1.3541414333065E-01
7.4651428200,0.1179,0.1096,668.6892,468.1897,-1.1705426060851E-01
7.7139809140,0.0826,0.0769,672.0175,468.1898,-1.0118452851613E-01
7.9628190080,0.0592,0.0553,673.8161,468.1899,-8.7328009231325E-02
8.2116571020,0.0432,0.0405,674.8804,468.1899,-7.5071144131430E-02
8.4604951960,0.0322,0.0302,675.5495,468.1899,-6.4209922548792E-02
8.7093332900,0.0245,0.0230,675.9894,468.1899,-5.4678731048423E-02
8.9581713840,0.0188,0.0177,676.2928,468.1899,-4.6423154372320E-02
9.2070094780,0.0147,0.0139,676.5056,468.1899,-3.9364104111379E-02
9.4558475720,0.0117,0.0110,676.6611,468.1899,-3.3388000027948E-02
9.7046856660,0.0093,0.0088,676.7784,468.1899,-2.8360431668079E-02
9.9535237600,0.0076,0.0072,676.8652,468.1899,-2.4141752798219E-02
10.2023618540,0.0062,0.0059,676.9312,468.1899,-2.0609264269972E-02
10.4511999480,0.0051,0.0049,676.9833,468.1899,-1.7646613866706E-02
10.7000380420,0.0043,0.0040,677.0246,468.1899,-1.5157456344365E-02
10.9488761360,0.0036,0.0034,677.0566,468.1899,-1.3062934837181E-02
11.1977142300,0.0030,0.0029,677.0825,468.1899,-1.1295538968072E-02
11.4465523240,0.0026,0.0025,677.1040,468.1899,-9.7994074647864E-03
11.6953904180,0.0022,0.0021,677.1207,468.1899,-8.5285592815633E-03
11.9442285120,0.0019,0.0018,677.1344,468.1899,-7.4443823920878E-03
12.1930666060,0.0017,0.0016,677.1457,468.1899,-6.5172017546714E-03
