cell_length,CN_C,CN_A,C6_C,C6_A,Edis
7.3432624925,23.1589,5.5079,175.5616,10.3708,-1.1992965249916E+00
7.8328133253,20.0947,4.7239,175.5616,10.3708,-9.7789498941762E-01
8.3223641582,17.4263,4.3540,175.5616,10.3708,-8.0650883274922E-01
8.8119149910,14.9218,4.1763,175.5616,10.3708,-6.7494973599245E-01
9.3014658238,12.5764,4.0724,175.5616,10.3708,-5.7266514309063E-01
9.7910166567,10.3990,3.9737,175.5616,10.3708,-4.9187758034404E-01
10.2805674895,8.3844,3.8213,175.5616,10.3708,-4.2764362747329E-01
10.7701183223,6.5790,3.5518,175.5616,10.3708,-3.7638015225596E-01
11.2596691552,4.9962,3.1173,175.5616,10.3708,-3.3495915040993E-01
11.7492199880,3.6264,2.5336,175.5616,10.3714,-3.0068418899561E-01
12.2387708208,2.5018,1.8973,175.6129,10.4561,-2.7355593880161E-01
12.7283216537,1.6573,1.3260,211.2878,12.2697,-2.6399139918035E-01
13.2178724865,1.0752,0.8853,436.9040,12.9052,-3.7282588577295E-01
13.7074233193,0.6959,0.5786,484.3382,13.6966,-4.5543765045700E-01
14.1969741522,0.4549,0.3771,572.7189,14.7195,-4.6587475952598E-01
14.6865249850,0.3026,0.2480,632.4923,15.1588,-4.6958392597543E-01
15.1760758178,0.2055,0.1657,656.1857,15.3135,-4.4628840438576E-01
15.6656266507,0.1425,0.1128,665.8519,15.3763,-4.0855050686636E-01
16.1551774835,0.1010,0.0783,670.3853,15.4062,-3.6836368712951E-01
16.6447283163,0.0730,0.0554,672.7891,15.4223,-3.2968744734189E-01
17.1342791492,0.0538,0.0400,674.1892,15.4316,-2.9339542826071E-01
17.6238299820,0.0403,0.0294,675.0621,15.4375,-2.5979651044494E-01
18.1133808148,0.0307,0.0219,675.6358,15.4413,-2.2919070703983E-01
18.6029316477,0.0238,0.0166,676.0273,15.4439,-2.0180882985456E-01
19.0924824805,0.0186,0.0128,676.3032,15.4457,-1.7767699950469E-01
19.5820333133,0.0148,0.0100,676.5025,15.4470,-1.5660654412002E-01
20.0715841461,0.0119,0.0079,676.6501,15.4480,-1.3825441514700E-01
20.5611349790,0.0097,0.0063,676.7616,15.4487,-1.2222902542961E-01
21.0506858118,0.0079,0.0051,676.8467,15.4492,-1.0815925827149E-01
21.5402366446,0.0066,0.0042,676.9131,15.4496,-9.5738994362711E-02
22.0297874775,0.0055,0.0034,676.9649,15.4500,-8.4733624231339E-02
22.5193383103,0.0046,0.0029,677.0063,15.4502,-7.4969262475179E-02
23.0088891431,0.0039,0.0024,677.0392,15.4504,-6.6313128481014E-02
23.4984399760,0.0034,0.0020,677.0664,15.4506,-5.8654239470849E-02
23.9879908088,0.0029,0.0017,677.0885,15.4507,-5.1894553544768E-02
