cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.6023874077,15.7233,7.4082,175.5616,125.8109,-2.7162107369468E-02
2.7758799015,12.5496,5.5504,175.5616,125.8109,-2.3084021167447E-02
2.9493723954,9.3355,4.7409,175.5616,125.8109,-2.0650634150756E-02
3.1228648892,6.9341,4.3714,175.5616,125.8109,-1.8686901564341E-02
3.2963573830,5.5204,4.1764,175.5616,125.8109,-1.6637095960320E-02
3.4698498769,4.7370,4.0293,175.5616,125.8109,-1.4375893269183E-02
3.6433423707,4.2305,3.8455,175.5616,125.8109,-1.2096413522759E-02
3.8168348646,3.7657,3.5472,175.5616,125.8109,-1.0058960336956E-02
3.9903273584,3.2094,3.0800,175.5618,125.8109,-8.3596267976619E-03
4.1638198523,2.5429,2.4631,175.5987,125.8132,-6.9666631712030E-03
4.3373123461,1.8580,1.8069,183.6234,126.1992,-5.9781204953924E-03
4.5108048400,1.2710,1.2372,387.8753,130.3997,-8.0167165114435E-03
4.6842973338,0.8362,0.8132,461.3883,131.1982,-7.6649832799788E-03
4.8577898276,0.5427,0.5265,534.2056,132.3216,-7.3389857900175E-03
5.0312823215,0.3534,0.3418,615.2372,133.3265,-7.1534691743652E-03
5.2047748153,0.2331,0.2247,650.6414,133.6965,-6.7053953598645E-03
5.3782673092,0.1568,0.1505,663.9916,133.8266,-6.2249068984949E-03
5.5517598030,0.1076,0.1027,669.7513,133.8811,-5.7578438954301E-03
5.7252522969,0.0754,0.0716,672.6065,133.9077,-5.2790998840555E-03
5.8987447907,0.0539,0.0510,674.1830,133.9223,-4.7803262323260E-03
6.0722372846,0.0393,0.0369,675.1275,133.9310,-4.2829527073677E-03
6.2457297784,0.0291,0.0272,675.7294,133.9364,-3.8160409305072E-03
6.4192222722,0.0220,0.0205,676.1251,133.9401,-3.3978218761068E-03
6.5927147661,0.0168,0.0156,676.3997,133.9425,-3.0349123475298E-03
6.7662072599,0.0131,0.0120,676.5913,133.9443,-2.7203913716638E-03
6.9396997538,0.0103,0.0094,676.7317,133.9455,-2.4443842272977E-03
7.1131922476,0.0082,0.0075,676.8337,133.9464,-2.1965227233119E-03
7.2866847415,0.0066,0.0060,676.9103,133.9471,-1.9703874098812E-03
7.4601772353,0.0054,0.0049,676.9687,133.9477,-1.7620316360850E-03
7.6336697292,0.0044,0.0040,677.0155,133.9481,-1.5693176806502E-03
7.8071622230,0.0037,0.0033,677.0507,133.9484,-1.3939613032666E-03
7.9806547168,0.0030,0.0027,677.0822,133.9486,-1.2347720450322E-03
8.1541472107,0.0026,0.0023,677.1043,133.9488,-1.0922369069134E-03
8.3276397045,0.0022,0.0020,677.1221,133.9490,-9.6535161839401E-04
8.5011321984,0.0019,0.0017,677.1366,133.9491,-8.5336952008530E-04
