cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.1662001875,13.9578,8.2373,175.5616,210.5231,-7.6963015628164E-02
3.3772802000,10.2380,5.9904,175.5616,210.5231,-6.3939555355107E-02
3.5883602125,7.3801,4.9494,175.5616,210.5231,-5.4333507695129E-02
3.7994402250,5.7171,4.4680,175.5616,210.5231,-4.7269599529649E-02
4.0105202375,4.8504,4.2156,175.5616,210.5231,-4.0642385384225E-02
4.2216002500,4.3604,4.0275,175.5616,210.5231,-3.3830945500862E-02
4.4326802625,3.9795,3.7970,175.5616,210.5231,-2.7737798155035E-02
4.6437602750,3.5415,3.4367,175.5616,210.5231,-2.3015991721258E-02
4.8548402875,2.9656,2.9027,175.5629,210.5231,-1.9615652473245E-02
5.0659203000,2.2849,2.2456,175.8455,210.5309,-1.7251620221590E-02
5.2770003125,1.6220,1.5966,221.0464,211.4772,-1.7467349448030E-02
5.4880803250,1.0850,1.0680,435.5011,213.6710,-2.3153558175767E-02
5.6991603375,0.7040,0.6922,482.5103,213.7617,-2.3143191775726E-02
5.9102403500,0.4536,0.4453,573.3103,213.7186,-2.4065870003140E-02
6.1213203625,0.2947,0.2887,634.8945,213.6920,-2.3674419277592E-02
6.3324003750,0.1946,0.1901,658.1448,213.6830,-2.1907943122076E-02
6.5434803875,0.1311,0.1277,667.2333,213.6796,-1.9584965729187E-02
6.7545604000,0.0902,0.0876,671.3722,213.6781,-1.7199421727193E-02
6.9656404125,0.0634,0.0614,673.5158,213.6773,-1.5013156762109E-02
7.1767204250,0.0454,0.0439,674.7426,213.6769,-1.3116189133909E-02
7.3878004375,0.0332,0.0320,675.4909,213.6766,-1.1491447949553E-02
7.5988804500,0.0247,0.0237,675.9757,213.6764,-1.0085193324384E-02
7.8099604625,0.0187,0.0179,676.3003,213.6763,-8.8449077449866E-03
8.0210404750,0.0143,0.0137,676.5264,213.6762,-7.7374846295232E-03
8.2321204875,0.0112,0.0106,676.6860,213.6762,-6.7461796852826E-03
8.4432005000,0.0088,0.0083,676.8042,213.6761,-5.8643346808163E-03
8.6542805125,0.0070,0.0066,676.8909,213.6761,-5.0869484054021E-03
8.8653605250,0.0057,0.0054,676.9559,213.6761,-4.4075739673225E-03
9.0764405375,0.0047,0.0044,677.0054,213.6761,-3.8192054093021E-03
9.2875205500,0.0038,0.0036,677.0464,213.6760,-3.3117269711810E-03
9.4986005625,0.0032,0.0030,677.0763,213.6760,-2.8754328801196E-03
9.7096805750,0.0027,0.0025,677.1000,213.6760,-2.5016035363591E-03
9.9207605875,0.0023,0.0021,677.1193,213.6760,-2.1811351922723E-03
10.1318406000,0.0019,0.0018,677.1346,213.6760,-1.9057716206642E-03
10.3429206125,0.0016,0.0015,677.1479,213.6760,-1.6692209829885E-03
