cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.3155859700,10.9951,13.6975,175.5616,418.5789,-2.7072664911632E-01
5.6699583680,8.4208,9.9839,175.5616,418.5789,-2.2069733091568E-01
6.0243307660,7.1327,7.2442,175.5616,418.5789,-1.8445241337187E-01
6.3787031640,6.4604,5.6123,175.5616,418.5789,-1.5688628004880E-01
6.7330755620,5.9595,4.6759,175.5616,418.5789,-1.3559843195646E-01
7.0874479600,5.3459,4.0037,175.5616,418.5789,-1.1913773626574E-01
7.4418203580,4.4651,3.3304,175.5616,418.5789,-1.0546138397819E-01
7.7961927560,3.3730,2.5841,175.5617,418.5799,-9.3386269964306E-02
8.1505651540,2.3094,1.8483,175.7958,418.8999,-8.3229024515451E-02
8.5049375520,1.4774,1.2357,282.4595,424.2222,-8.6087752734314E-02
8.8593099500,0.9170,0.7923,453.3697,425.1095,-9.2099207727700E-02
9.2136823480,0.5677,0.5001,524.1203,425.3070,-9.0121993585206E-02
9.5680547460,0.3565,0.3168,614.0970,425.4459,-8.7394941627638E-02
9.9224271440,0.2287,0.2039,651.5873,425.4935,-7.9813674901382E-02
10.2767995420,0.1503,0.1340,664.8572,425.5102,-7.0441261177399E-02
10.6311719400,0.1014,0.0902,670.3486,425.5173,-6.1311483070613E-02
10.9855443380,0.0700,0.0622,673.0208,425.5207,-5.3194882056167E-02
11.3399167360,0.0495,0.0438,674.4784,425.5227,-4.6174428860387E-02
11.6942891340,0.0357,0.0316,675.3428,425.5238,-4.0074523914036E-02
12.0486615320,0.0263,0.0232,675.8856,425.5245,-3.4715683522899E-02
12.4030339300,0.0197,0.0174,676.2444,425.5250,-2.9986858375016E-02
12.7574063280,0.0150,0.0132,676.4905,425.5253,-2.5825216895300E-02
13.1117787260,0.0116,0.0103,676.6660,425.5256,-2.2200991287091E-02
13.4661511240,0.0091,0.0080,676.7911,425.5257,-1.9071670441487E-02
13.8205235220,0.0072,0.0064,676.8816,425.5259,-1.6384786570497E-02
14.1748959200,0.0058,0.0051,676.9493,425.5260,-1.4088945670153E-02
14.5292683180,0.0048,0.0042,677.0008,425.5260,-1.2127235669841E-02
14.8836407160,0.0039,0.0034,677.0423,425.5261,-1.0455559816341E-02
15.2380131140,0.0032,0.0029,677.0734,425.5261,-9.0304924531215E-03
15.5923855120,0.0027,0.0024,677.0978,425.5262,-7.8157083575836E-03
15.9467579100,0.0023,0.0020,677.1182,425.5262,-6.7801039957575E-03
16.3011303080,0.0019,0.0017,677.1356,425.5262,-5.8936812928116E-03
16.6555027060,0.0016,0.0015,677.1482,425.5262,-5.1374201084933E-03
17.0098751040,0.0014,0.0013,677.1594,425.5262,-4.4887240703723E-03
17.3642475020,0.0012,0.0011,677.1679,425.5262,-3.9322882177290E-03
