cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.7303193492,15.6032,14.8773,175.5616,418.5789,-4.8010953994309E-02
2.9123406392,12.0538,11.2940,175.5616,418.5789,-3.8766494160543E-02
3.0943619291,9.2619,8.7435,175.5616,418.5789,-3.1542455855891E-02
3.2763832191,7.5596,7.2747,175.5616,418.5789,-2.6586224994236E-02
3.4584045090,6.5106,6.3636,175.5616,418.5789,-2.3131179492952E-02
3.6404257990,5.6200,5.5433,175.5616,418.5789,-2.0369476205686E-02
3.8224470889,4.5956,4.5541,175.5616,418.5789,-1.7968736638627E-02
4.0044683789,3.4297,3.4063,175.5616,418.5789,-1.5945006865071E-02
4.1864896688,2.3326,2.3188,175.7565,418.5872,-1.4449515996363E-02
4.3685109588,1.4881,1.4796,276.8914,421.7385,-1.6363693537823E-02
4.5505322487,0.9234,0.9180,452.7894,425.0356,-1.9609724295694E-02
4.7325535387,0.5724,0.5689,522.3098,425.2487,-1.9821320680428E-02
4.9145748286,0.3603,0.3579,612.6483,425.4207,-1.9704474142879E-02
5.0965961186,0.2320,0.2303,650.8913,425.4850,-1.8045300965383E-02
5.2786174085,0.1530,0.1518,664.5013,425.5067,-1.5814512769611E-02
5.4606386985,0.1035,0.1026,670.1451,425.5155,-1.3620379267469E-02
5.6426599884,0.0718,0.0711,672.8850,425.5197,-1.1690733107321E-02
5.8246812784,0.0510,0.0505,674.3798,425.5220,-1.0055945869560E-02
6.0067025683,0.0369,0.0365,675.2713,425.5234,-8.6691107785820E-03
6.1887238582,0.0272,0.0269,675.8346,425.5242,-7.4729624151769E-03
6.3707451482,0.0205,0.0203,676.2033,425.5248,-6.4282854986244E-03
6.5527664381,0.0156,0.0154,676.4604,425.5252,-5.5134746896148E-03
6.7347877281,0.0122,0.0120,676.6377,425.5254,-4.7162935670489E-03
6.9168090180,0.0096,0.0094,676.7677,425.5256,-4.0286150006932E-03
7.0988303080,0.0076,0.0075,676.8619,425.5258,-3.4407487449458E-03
7.2808515979,0.0062,0.0061,676.9326,425.5259,-2.9397749184674E-03
7.4628728879,0.0051,0.0050,676.9864,425.5260,-2.5168930370080E-03
7.6448941778,0.0042,0.0041,677.0281,425.5260,-2.1584986130983E-03
7.8269154678,0.0035,0.0034,677.0608,425.5261,-1.8566755220103E-03
8.0089367577,0.0029,0.0028,677.0902,425.5261,-1.6016151330490E-03
8.1909580477,0.0024,0.0024,677.1106,425.5262,-1.3859535846136E-03
8.3729793376,0.0021,0.0021,677.1272,425.5262,-1.2026952327375E-03
8.5550006276,0.0018,0.0018,677.1407,425.5262,-1.0465677767024E-03
8.7370219175,0.0015,0.0015,677.1552,425.5262,-9.1356246561742E-04
8.9190432075,0.0013,0.0013,677.1642,425.5262,-8.0002445114070E-04
