-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  59 Pr       2.1067     2.2851     4.7480
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  59 Pr     1  0.0000 4342.2386   2  2.9425  647.0250
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   59 Pr         0.1401    4342.2386 1048704.9211
     2   12 Mg         0.0497     674.4670   60386.2306
     3   12 Mg         0.0496     674.4700   60386.5042
     4   12 Mg         0.0496     674.4700   60386.5046
     5   12 Mg         0.0556     674.0689   60350.5957
     6   12 Mg         0.0556     674.0690   60350.5966
     7   12 Mg         0.0497     674.4669   60386.2288
     8   12 Mg         0.0497     674.4670   60386.2299
     9   12 Mg         0.0502     674.4286   60382.7989
    10   12 Mg         0.0502     674.4286   60382.7981
    11   12 Mg         0.0509     674.3814   60378.5733
    12   12 Mg         0.0496     674.4700   60386.5045
    13   12 Mg         0.0502     674.4286   60382.7942
    14   12 Mg         0.0502     674.4286   60382.7964
    15   12 Mg         0.0505     674.4125   60381.3518
    16   12 Mg         0.0505     674.4124   60381.3481
    17   12 Mg         0.0556     674.0690   60350.5982
    18   12 Mg         0.0556     674.0690   60350.5987
    19   12 Mg         0.0509     674.3814   60378.5719
    20   12 Mg         0.0509     674.3814   60378.5692
    21   12 Mg         0.0505     674.4124   60381.3470
    22   12 Mg         0.0556     674.0690   60350.5990
    23   12 Mg         0.0556     674.0689   60350.5960
    24   12 Mg         0.0502     674.4286   60382.7932
    25   12 Mg         0.0502     674.4286   60382.7999
    26   12 Mg         0.0483     674.5532   60393.9498
    27   12 Mg         0.0483     674.5532   60393.9524
    28   12 Mg         0.0483     674.5532   60393.9515
    29   12 Mg         0.0486     674.5350   60392.3194
    30   12 Mg         0.0488     674.5248   60391.4062
    31   12 Mg         0.0488     674.5248   60391.4079
    32   12 Mg         0.0488     674.5248   60391.4063
    33   12 Mg         0.0488     674.5248   60391.4067
    34   12 Mg         0.0488     674.5248   60391.4057
    35   12 Mg         0.0488     674.5248   60391.4055
    36   12 Mg         0.0500     674.4412   60383.9281
    37   12 Mg         0.0500     674.4412   60383.9244
    38   12 Mg         0.0500     674.4412   60383.9263
    39   12 Mg         0.0508     674.3924   60379.5567
    40   12 Mg         0.0508     674.3924   60379.5537
    41   12 Mg         0.0508     674.3924   60379.5562
    42   12 Mg         0.0502     674.4310   60383.0139
    43   12 Mg         0.0502     674.4310   60383.0128
    44   12 Mg         0.0502     674.4310   60383.0122
    45   12 Mg         0.0502     674.4310   60383.0119
    46   12 Mg         0.0502     674.4310   60383.0150
    47   12 Mg         0.0502     674.4310   60383.0102
    48   12 Mg         0.0562     674.0268   60346.8211
    49   12 Mg         0.0562     674.0268   60346.8223
    50   12 Mg         0.0562     674.0268   60346.8226
    51   12 Mg         0.0490     674.5084   60389.9408
    52   12 Mg         0.0490     674.5084   60389.9415
    53   12 Mg         0.0490     674.5084   60389.9420
    54   12 Mg         0.0490     674.5087   60389.9708
    55   12 Mg         0.0490     674.5087   60389.9695
    56   12 Mg         0.0490     674.5087   60389.9702
    57   12 Mg         0.0499     674.4475   60384.4910
    58   12 Mg         0.0499     674.4475   60384.4891
    59   12 Mg         0.0499     674.4475   60384.4904
    60   12 Mg         0.0499     674.4475   60384.4909
    61   12 Mg         0.0499     674.4475   60384.4890
    62   12 Mg         0.0499     674.4475   60384.4904
    63   12 Mg         0.0498     674.4590   60385.5217
    64   12 Mg         0.0498     674.4590   60385.5195
    65   12 Mg         0.0498     674.4590   60385.5218
    66   12 Mg         0.0498     674.4590   60385.5217
    67   12 Mg         0.0498     674.4590   60385.5205
