-----------------------------------
 s i m p l e   D F T - D 3  v1.2.1
-----------------------------------

Zero (Chai-Head-Gordon) damping: pbe-D3(0)
--------------------
  s6         1.0000
  s8         0.7220
  s9         0.0000
 rs6         1.2170
 rs8         1.0000
 alp        14.0000
--------------------

Atomic radii (in Angstrom):
-------------------------------------------
   Z          R(cov)     R(vdw)      r4/r2
-------------------------------------------
  37 Rb       2.5200     2.3088     5.0561
  12 Mg       1.6667     1.7420     2.8909
-------------------------------------------

Atomic reference systems (in atomic units):
----------------------------------------------------------------------------
   Z        #      CN    C6(AA)   #      CN    C6(AA)   #      CN    C6(AA)
----------------------------------------------------------------------------
  37 Rb     1  0.0000 6138.7755   2  0.9738  476.2591
  12 Mg     1  0.0000  683.3758   2  0.9628  451.2708   3  1.9496  175.5616
----------------------------------------------------------------------------

Dispersion properties (in atomic units):
--------------------------------------------------------
     #    Z                CN       C6(AA)       C8(AA)
--------------------------------------------------------
     1   37 Rb         0.0060    5924.8557 1622652.8329
     2   12 Mg         0.0017     677.1449   60625.9870
     3   12 Mg         0.0017     677.1449   60625.9906
     4   12 Mg         0.0017     677.1449   60625.9905
     5   12 Mg         0.0019     677.1337   60624.9891
     6   12 Mg         0.0019     677.1337   60624.9891
     7   12 Mg         0.0017     677.1449   60625.9870
     8   12 Mg         0.0017     677.1449   60625.9871
     9   12 Mg         0.0017     677.1435   60625.8673
    10   12 Mg         0.0017     677.1435   60625.8673
    11   12 Mg         0.0017     677.1438   60625.8934
    12   12 Mg         0.0017     677.1435   60625.8672
    13   12 Mg         0.0017     677.1435   60625.8673
    14   12 Mg         0.0017     677.1449   60625.9905
    15   12 Mg         0.0017     677.1442   60625.9266
    16   12 Mg         0.0017     677.1442   60625.9266
    17   12 Mg         0.0019     677.1337   60624.9891
    18   12 Mg         0.0019     677.1337   60624.9891
    19   12 Mg         0.0017     677.1438   60625.8933
    20   12 Mg         0.0017     677.1438   60625.8934
    21   12 Mg         0.0017     677.1442   60625.9266
    22   12 Mg         0.0019     677.1337   60624.9891
    23   12 Mg         0.0019     677.1337   60624.9891
    24   12 Mg         0.0017     677.1435   60625.8673
    25   12 Mg         0.0017     677.1435   60625.8673
    26   12 Mg         0.0017     677.1463   60626.1131
    27   12 Mg         0.0017     677.1463   60626.1131
    28   12 Mg         0.0017     677.1463   60626.1131
    29   12 Mg         0.0017     677.1462   60626.1061
    30   12 Mg         0.0017     677.1465   60626.1340
