cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.8142424375,31.5638,16.4983,446.2314,113.8463,-3.3689637789788E-01
4.0685252666,24.5160,14.1456,446.2314,113.8463,-2.8123889536108E-01
4.3228080958,20.2608,12.9702,446.2314,113.8463,-2.4027433600188E-01
4.5770909250,17.9592,12.2730,446.2314,113.8463,-2.0683679923723E-01
4.8313737541,16.5239,11.5765,446.2314,113.8463,-1.7407215300246E-01
5.0856565833,15.1613,10.5274,446.2314,113.8463,-1.4206673485810E-01
5.3399394125,13.3948,8.9369,446.2314,113.8463,-1.1473150471669E-01
5.5942222416,11.1332,6.9327,446.2314,113.8463,-9.4046765505091E-02
5.8485050708,8.6601,4.9120,446.2314,239.5554,-1.2198750212906E-01
6.1027879000,6.3559,3.2420,446.2314,239.5554,-1.0740421982931E-01
6.3570707291,4.4478,2.0536,446.2314,239.5554,-9.9014667618048E-02
6.6113535583,2.9987,1.2835,446.2314,240.3829,-9.5531941072043E-02
6.8656363875,1.9736,0.8070,446.2381,495.7385,-1.4343505181453E-01
7.1199192166,1.2871,0.5160,2496.0243,788.9785,-3.8809422941093E-01
7.3742020458,0.8427,0.3373,2545.1698,801.4016,-3.8958484217527E-01
7.6284848750,0.5588,0.2257,2545.1713,802.4366,-3.7353411976299E-01
7.8827677041,0.3771,0.1546,2545.1713,802.6256,-3.4727599472067E-01
8.1370505333,0.2595,0.1084,2545.1713,802.6815,-3.1462672739626E-01
8.3913333625,0.1822,0.0776,2545.1713,802.7037,-2.7994493408221E-01
8.6456161916,0.1304,0.0566,2545.1713,802.7145,-2.4655486846330E-01
8.8998990208,0.0952,0.0421,2545.1713,802.7204,-2.1620119705554E-01
9.1541818499,0.0706,0.0319,2545.1713,802.7239,-1.8937523554191E-01
9.4084646791,0.0533,0.0244,2545.1713,802.7262,-1.6585422972605E-01
9.6627475083,0.0409,0.0190,2545.1713,802.7277,-1.4518591147879E-01
9.9170303374,0.0318,0.0150,2545.1713,802.7288,-1.2694026988809E-01
10.1713131666,0.0250,0.0120,2545.1713,802.7295,-1.1079684190293E-01
10.4255959958,0.0199,0.0097,2545.1713,802.7301,-9.6531159773252E-02
10.6798788249,0.0160,0.0079,2545.1713,802.7305,-8.3976031569051E-02
10.9341616541,0.0131,0.0065,2545.1713,802.7308,-7.2986352003097E-02
11.1884444833,0.0107,0.0054,2545.1713,802.7311,-6.3415361576178E-02
11.4427273124,0.0089,0.0046,2545.1713,802.7313,-5.5121482222348E-02
11.6970101416,0.0074,0.0039,2545.1713,802.7314,-4.7956272029678E-02
11.9512929708,0.0062,0.0033,2545.1713,802.7316,-4.1781791681872E-02
12.2055757999,0.0053,0.0028,2545.1713,802.7317,-3.6466177884937E-02
12.4598586291,0.0045,0.0024,2545.1713,802.7317,-3.1892429060431E-02
