cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.0859935356,15.2514,16.6253,113.8463,317.1561,-1.3617324392168E-01
2.2250597713,13.5562,14.4523,113.8463,317.1561,-1.0694901707347E-01
2.3641260070,12.4409,13.0029,113.8463,317.1561,-8.4964322092830E-02
2.5031922428,11.3346,11.8041,113.8463,317.1561,-6.9045773118755E-02
2.6422584785,9.7854,10.3016,113.8463,317.1561,-5.7156558563926E-02
2.7813247142,7.6976,8.2154,113.8463,317.1561,-4.8493984419955E-02
2.9203909499,5.4385,5.8345,239.5554,317.1561,-6.3900743381245E-02
3.0594571856,3.5091,3.7522,239.5554,317.1561,-5.9200810456292E-02
3.1985234213,2.1450,2.2812,239.5554,317.1561,-5.6911436583966E-02
3.3375896570,1.2886,1.3651,240.3294,317.1808,-5.5078069894726E-02
3.4766558927,0.7801,0.8248,546.7245,318.7865,-8.0855690932572E-02
3.6157221284,0.4824,0.5096,793.8217,328.5785,-9.4590697972714E-02
3.7547883641,0.3063,0.3236,801.8510,336.8665,-8.7690414445173E-02
3.8938545998,0.2000,0.2114,802.5257,339.7542,-7.9397236762675E-02
4.0329208356,0.1342,0.1419,802.6545,340.7808,-7.1083343780641E-02
4.1719870713,0.0925,0.0979,802.6941,341.2209,-6.2968509683080E-02
4.3110533070,0.0653,0.0691,802.7104,341.4423,-5.5169246935272E-02
4.4501195427,0.0471,0.0499,802.7185,341.5663,-4.7889011488064E-02
4.5891857784,0.0347,0.0367,802.7230,341.6412,-4.1318868197033E-02
4.7282520141,0.0260,0.0276,802.7257,341.6895,-3.5554137886333E-02
4.8673182498,0.0199,0.0211,802.7275,341.7219,-3.0580860529870E-02
5.0063844855,0.0154,0.0163,802.7287,341.7444,-2.6317116791788E-02
5.1454507212,0.0121,0.0129,802.7295,341.7604,-2.2656126764788E-02
5.2845169569,0.0097,0.0102,802.7301,341.7722,-1.9506333768881E-02
5.4235831926,0.0078,0.0083,802.7305,341.7810,-1.6790535659980E-02
5.5626494284,0.0064,0.0067,802.7309,341.7876,-1.4451814505263E-02
5.7017156641,0.0053,0.0056,802.7311,341.7927,-1.2441749720890E-02
5.8407818998,0.0044,0.0046,802.7313,341.7968,-1.0718686139982E-02
5.9798481355,0.0036,0.0039,802.7315,341.8000,-9.2453356660691E-03
6.1189143712,0.0031,0.0032,802.7316,341.8027,-7.9882629124903E-03
6.2579806069,0.0026,0.0028,802.7317,341.8046,-6.9160504870583E-03
6.3970468426,0.0022,0.0024,802.7318,341.8063,-6.0018892298903E-03
6.5361130783,0.0019,0.0021,802.7319,341.8077,-5.2214753495490E-03
6.6751793140,0.0017,0.0018,802.7319,341.8087,-4.5548282860187E-03
6.8142455497,0.0015,0.0016,802.7319,341.8097,-3.9836172839467E-03
