cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.0865103194,13.1645,3.3108,113.8463,7.1341,-9.8442835157440E-02
5.4256110073,10.5758,2.6493,113.8463,7.1341,-8.1982034208229E-02
5.7647116953,8.6201,2.3188,113.8463,7.1341,-6.9677470849633E-02
6.1038123833,7.1627,2.1481,113.8463,7.1341,-5.9865284240247E-02
6.4429130712,6.0061,2.0313,113.8463,7.1341,-5.1677335876012E-02
6.7820137592,4.9966,1.8974,239.5554,7.1341,-6.5871544709600E-02
7.1211144471,4.0159,1.6920,239.5554,7.1343,-5.7633019508813E-02
7.4602151351,3.0318,1.3930,239.5554,7.1359,-5.0400013675566E-02
7.7993158230,2.1226,1.0397,239.5554,7.1642,-4.4321828799750E-02
8.1384165110,1.3941,0.7105,239.7493,7.4965,-3.9503570254449E-02
8.4775171990,0.8824,0.4586,369.5539,8.5501,-4.5904036611807E-02
8.8166178869,0.5528,0.2890,780.7362,9.2521,-6.6752841546790E-02
9.1557185749,0.3493,0.1822,801.1731,9.4840,-5.9145016194251E-02
9.4948192628,0.2248,0.1165,802.4401,9.5646,-5.1806589817914E-02
9.8339199508,0.1481,0.0760,802.6357,9.5984,-4.5716982385469E-02
10.1730206388,0.1000,0.0508,802.6885,9.6149,-4.0652765116815E-02
10.5121213267,0.0692,0.0348,802.7084,9.6239,-3.6323123482065E-02
10.8512220147,0.0490,0.0244,802.7177,9.6291,-3.2467678121748E-02
11.1903227026,0.0354,0.0175,802.7227,9.6324,-2.8913638602765E-02
11.5294233906,0.0261,0.0128,802.7257,9.6345,-2.5607581558281E-02
11.8685240785,0.0196,0.0095,802.7275,9.6360,-2.2575996128551E-02
12.2076247665,0.0150,0.0072,802.7287,9.6370,-1.9865285288426E-02
12.5467254545,0.0117,0.0056,802.7296,9.6377,-1.7492648122432E-02
12.8858261424,0.0092,0.0044,802.7302,9.6382,-1.5439644233818E-02
13.2249268304,0.0073,0.0035,802.7306,9.6385,-1.3662229735542E-02
13.5640275183,0.0059,0.0028,802.7310,9.6388,-1.2109789375055E-02
13.9031282063,0.0049,0.0023,802.7312,9.6390,-1.0737790757902E-02
14.2422288943,0.0040,0.0019,802.7314,9.6392,-9.5137374841124E-03
14.5813295822,0.0034,0.0016,802.7315,9.6393,-8.4166084241944E-03
14.9204302702,0.0028,0.0013,802.7317,9.6394,-7.4338200128089E-03
15.2595309581,0.0024,0.0011,802.7318,9.6395,-6.5572391620064E-03
15.5986316461,0.0020,0.0010,802.7318,9.6396,-5.7791065371791E-03
15.9377323340,0.0018,0.0008,802.7319,9.6396,-5.0917720308131E-03
16.2768330220,0.0015,0.0007,802.7319,9.6397,-4.4878845606037E-03
16.6159337100,0.0013,0.0006,802.7320,9.6397,-3.9588890982909E-03
