cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.8163274425,15.6867,23.5960,113.8463,428.8962,-4.8975306393022E-01
4.0707492720,13.6720,19.5208,113.8463,428.8962,-4.1406636953504E-01
4.3251711015,12.7188,17.5489,113.8463,428.8962,-3.4325031208114E-01
4.5795929310,12.1005,16.3808,113.8463,428.8962,-2.7898747135051E-01
4.8340147605,11.3730,15.2012,113.8463,428.8962,-2.2694447962646E-01
5.0884365900,10.2064,13.4717,113.8463,428.8962,-1.8893962179881E-01
5.3428584195,8.4672,11.0169,113.8463,428.8962,-1.6420042587613E-01
5.5972802490,6.3782,8.1879,113.8463,428.8962,-1.5053592823896E-01
5.8517020785,4.3889,5.5885,239.5554,428.8962,-2.1790485295258E-01
6.1061239080,2.8310,3.5979,239.5554,428.9132,-2.1175687579710E-01
6.3605457375,1.7679,2.2505,239.5568,549.2529,-2.2827026853024E-01
6.6149675670,1.0978,1.4010,248.9229,581.3901,-2.2074307404197E-01
6.8693893965,0.6893,0.8817,691.2050,1274.7076,-4.9379279906254E-01
7.1238112260,0.4415,0.5659,797.4911,1473.4220,-5.1647604471362E-01
7.3782330555,0.2895,0.3717,802.0280,1475.1621,-4.6030732105167E-01
7.6326548850,0.1946,0.2502,802.5409,1475.2369,-4.0914607098210E-01
7.8870767145,0.1339,0.1724,802.6548,1475.2461,-3.6354200292453E-01
8.1414985440,0.0943,0.1215,802.6928,1475.2482,-3.2155628230743E-01
8.3959203735,0.0678,0.0875,802.7091,1475.2490,-2.8215728625109E-01
8.6503422030,0.0498,0.0643,802.7174,1475.2493,-2.4551782734285E-01
8.9047640325,0.0371,0.0480,802.7221,1475.2494,-2.1229559993649E-01
9.1591858620,0.0282,0.0365,802.7250,1475.2495,-1.8299224676601E-01
9.4136076915,0.0217,0.0281,802.7269,1475.2496,-1.5765736217251E-01
9.6680295210,0.0170,0.0220,802.7282,1475.2496,-1.3598491150966E-01
9.9224513505,0.0135,0.0175,802.7291,1475.2497,-1.1749670935965E-01
10.1768731800,0.0108,0.0141,802.7298,1475.2497,-1.0167976442129E-01
10.4312950095,0.0088,0.0114,802.7303,1475.2497,-8.8089903851076E-02
10.6857168390,0.0072,0.0093,802.7307,1475.2497,-7.6383335650719E-02
10.9401386685,0.0059,0.0077,802.7310,1475.2497,-6.6277669595287E-02
11.1945604980,0.0050,0.0065,802.7312,1475.2497,-5.7554242740058E-02
11.4489823275,0.0042,0.0054,802.7314,1475.2497,-5.0029055725634E-02
11.7034041570,0.0035,0.0046,802.7315,1475.2497,-4.3550937528358E-02
11.9578259865,0.0030,0.0039,802.7316,1475.2497,-3.7973537571346E-02
12.2122478160,0.0025,0.0033,802.7317,1475.2497,-3.3170631438577E-02
12.4666696455,0.0022,0.0029,802.7318,1475.2497,-2.9039682258692E-02
