cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.6239308000,15.2909,18.6330,113.8463,153.5945,-5.0721106582851E-01
5.9988595200,13.4823,15.2603,113.8463,153.5945,-4.2766203410394E-01
6.3737882400,12.6270,13.5466,113.8463,153.5945,-3.6213267528121E-01
6.7487169600,12.0514,12.6553,113.8463,153.5945,-3.0225965167001E-01
7.1236456800,11.3474,12.0097,113.8463,153.5945,-2.5000405841915E-01
7.4985744000,10.2216,11.2126,113.8463,153.5945,-2.0725038606851E-01
7.8735031200,8.5890,9.9706,113.8463,153.5945,-1.7290536293214E-01
8.2484318400,6.6773,8.2004,113.8463,153.5945,-1.4528654296892E-01
8.6233605600,4.8384,6.1492,239.5554,153.5945,-1.5555465816556E-01
8.9982892800,3.3064,4.2402,239.5554,153.5946,-1.7832824967320E-01
9.3732180000,2.1629,2.7601,239.5554,159.3702,-2.1723060311533E-01
9.7481467200,1.3813,1.7479,239.7848,270.1118,-2.3282630878917E-01
10.1230754400,0.8779,1.1030,375.6949,425.1673,-2.7936063992297E-01
10.4980041600,0.5631,0.7038,777.6724,452.1493,-3.6747115815189E-01
10.8729328800,0.3676,0.4577,800.7458,492.5375,-3.7249407684753E-01
11.2478616000,0.2450,0.3042,802.3464,518.8622,-3.6400113324446E-01
11.6227903200,0.1671,0.2068,802.6038,529.0397,-3.4632547022004E-01
11.9977190400,0.1165,0.1438,802.6740,533.1492,-3.2190343396072E-01
12.3726477600,0.0829,0.1021,802.7005,535.0773,-2.9350837577328E-01
12.7475764800,0.0603,0.0740,802.7128,536.0963,-2.6396403931923E-01
13.1225052000,0.0446,0.0546,802.7194,536.6924,-2.3545127102393E-01
13.4974339200,0.0335,0.0410,802.7233,537.0622,-2.0920410059631E-01
13.8723626400,0.0256,0.0313,802.7258,537.3060,-1.8562266240751E-01
14.2472913600,0.0199,0.0242,802.7275,537.4730,-1.6460735707480E-01
14.6222200800,0.0156,0.0190,802.7286,537.5902,-1.4585209202973E-01
14.9971488000,0.0125,0.0151,802.7294,537.6754,-1.2903543124854E-01
15.3720775200,0.0101,0.0121,802.7300,537.7388,-1.1390868174268E-01
15.7470062400,0.0082,0.0098,802.7304,537.7858,-1.0031777588429E-01
16.1219349600,0.0067,0.0081,802.7308,537.8221,-8.8154982616480E-02
16.4968636800,0.0056,0.0067,802.7310,537.8502,-7.7339493552821E-02
16.8717924000,0.0047,0.0056,802.7312,537.8722,-6.7779469631977E-02
17.2467211200,0.0040,0.0047,802.7314,537.8907,-5.9383411556984E-02
17.6216498400,0.0034,0.0040,802.7315,537.9046,-5.2042395926931E-02
17.9965785600,0.0029,0.0034,802.7316,537.9159,-4.5645793521489E-02
18.3715072800,0.0024,0.0029,802.7317,537.9256,-4.0084842900282E-02
