cell_length,CN_C,CN_A,C6_C,C6_A,Edis
8.6245027500,11.6478,4.2421,113.8463,10.3708,-1.8369917071510E-01
9.1994696000,10.3280,4.0273,113.8463,10.3708,-1.4846874067355E-01
9.7744364500,9.1421,3.8062,113.8463,10.3708,-1.2089346279890E-01
10.3494033000,7.8993,3.5268,113.8463,10.3708,-1.0047260957934E-01
10.9243701500,6.5418,3.2102,113.8463,10.3708,-8.5332360096572E-02
11.4993370000,5.1561,2.8564,239.5554,10.3708,-1.0129159696556E-01
12.0743038500,3.8387,2.4235,239.5554,10.3721,-1.0198174563352E-01
12.6492707000,2.6703,1.9074,239.5554,10.4498,-8.8820549068933E-02
13.2242375500,1.7413,1.3766,239.5574,12.0779,-8.0432191486597E-02
13.7992044000,1.0886,0.9218,250.1086,12.8714,-7.4749823072462E-02
14.3741712500,0.6709,0.5888,711.5118,13.6491,-9.7225579426185E-02
14.9491381000,0.4162,0.3694,798.9694,14.7530,-1.4853128576272E-01
15.5241049500,0.2631,0.2325,802.2391,15.1945,-1.5263190900393E-01
16.0990718000,0.1703,0.1485,802.5975,15.3364,-1.3990972152259E-01
16.6740386500,0.1132,0.0970,802.6771,15.3909,-1.2609973129908E-01
17.2490055000,0.0772,0.0648,802.7040,15.4160,-1.1295043298279E-01
17.8239723500,0.0539,0.0443,802.7157,15.4291,-1.0144147106722E-01
18.3989392000,0.0385,0.0310,802.7217,15.4366,-9.1789229904761E-02
18.9739060500,0.0281,0.0222,802.7251,15.4412,-8.3625460220498E-02
19.5488729000,0.0209,0.0162,802.7272,15.4441,-7.6389865182419E-02
20.1238397500,0.0158,0.0120,802.7285,15.4461,-6.9629242602395E-02
20.6988066000,0.0122,0.0091,802.7295,15.4474,-6.3125198237222E-02
21.2737734500,0.0095,0.0070,802.7301,15.4484,-5.6866816532195E-02
21.8487403000,0.0075,0.0054,802.7306,15.4491,-5.0961446942439E-02
22.4237071500,0.0060,0.0043,802.7309,15.4496,-4.5526391041982E-02
22.9986740000,0.0049,0.0034,802.7312,15.4500,-4.0638221719789E-02
23.5736408500,0.0040,0.0028,802.7314,15.4502,-3.6306296603478E-02
24.1486077000,0.0033,0.0023,802.7315,15.4505,-3.2485910802297E-02
24.7235745500,0.0028,0.0019,802.7317,15.4506,-2.9108554584535E-02
25.2985414000,0.0023,0.0016,802.7318,15.4508,-2.6101693230117E-02
25.8735082500,0.0020,0.0013,802.7318,15.4509,-2.3403454247610E-02
26.4484751000,0.0017,0.0011,802.7319,15.4510,-2.0967566516908E-02
27.0234419500,0.0015,0.0010,802.7320,15.4510,-1.8762302919477E-02
27.5984088000,0.0013,0.0008,802.7320,15.4511,-1.6766388242635E-02
28.1733756500,0.0011,0.0007,802.7320,15.4511,-1.4964403768220E-02
