cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.0778339250,16.8179,21.8342,113.8463,418.5789,-2.4222665375775E-01
4.3496895200,14.4603,18.6426,113.8463,418.5789,-2.0586323248664E-01
4.6215451150,13.0224,16.1730,113.8463,418.5789,-1.7345595023020E-01
4.8934007100,11.9613,14.2083,113.8463,418.5789,-1.4298470576572E-01
5.1652563050,10.8618,12.6540,113.8463,418.5789,-1.1685710962669E-01
5.4371119000,9.4897,11.1149,113.8463,418.5789,-9.6429977915844E-02
5.7089674950,7.7588,9.2124,113.8463,418.5789,-8.0870510007598E-02
5.9808230900,5.8073,6.9652,118.8428,418.5789,-7.0649162039206E-02
6.2526786850,3.9819,4.7906,239.5554,418.5789,-9.8134510916077E-02
6.5245342800,2.5627,3.0790,239.5554,418.5789,-8.7096750023440E-02
6.7963898750,1.5988,1.9165,239.5686,418.7705,-8.0183978277821E-02
7.0682454700,0.9929,1.1882,275.3508,424.4714,-8.4492673818092E-02
7.3401010650,0.6241,0.7462,749.6349,425.1330,-1.7155723980000E-01
7.6119566600,0.4004,0.4786,799.6742,425.3257,-1.7681797458398E-01
7.8838122550,0.2631,0.3145,802.2392,425.4472,-1.7223412819068E-01
8.1556678500,0.1772,0.2118,802.5834,425.4911,-1.6422202299830E-01
8.4275234450,0.1222,0.1461,802.6682,425.5079,-1.5293435608539E-01
8.6993790400,0.0862,0.1032,802.6984,425.5154,-1.3935986560871E-01
8.9712346350,0.0622,0.0744,802.7119,425.5193,-1.2489696641057E-01
9.2430902300,0.0457,0.0547,802.7190,425.5216,-1.1077568500374E-01
9.5149458250,0.0342,0.0409,802.7231,425.5229,-9.7748416728736E-02
9.7868014200,0.0260,0.0312,802.7257,425.5238,-8.6095594715659E-02
10.0586570150,0.0201,0.0241,802.7274,425.5245,-7.5789625473983E-02
10.3305126100,0.0158,0.0189,802.7286,425.5249,-6.6674994596872E-02
10.6023682050,0.0125,0.0150,802.7294,425.5252,-5.8579503854445E-02
10.8742238000,0.0101,0.0120,802.7300,425.5254,-5.1373188446443E-02
11.1460793950,0.0082,0.0098,802.7304,425.5256,-4.4958340949714E-02
11.4179349900,0.0067,0.0081,802.7308,425.5257,-3.9269940804211E-02
11.6897905850,0.0056,0.0067,802.7310,425.5258,-3.4252118278325E-02
11.9616461800,0.0047,0.0056,802.7312,425.5259,-2.9858456750071E-02
12.2335017750,0.0039,0.0047,802.7314,425.5260,-2.6027163592821E-02
12.5053573700,0.0033,0.0040,802.7315,425.5260,-2.2700811692072E-02
12.7772129650,0.0028,0.0034,802.7317,425.5261,-1.9823794919019E-02
13.0490685600,0.0024,0.0029,802.7317,425.5261,-1.7337856404548E-02
13.3209241550,0.0021,0.0025,802.7318,425.5261,-1.5190643590059E-02
