cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.9189103040,15.1300,19.2299,113.8463,224.2851,-3.7127606300071E-01
5.2468376576,12.3101,16.1345,113.8463,224.2851,-3.0952647391436E-01
5.5747650112,10.3116,13.1682,113.8463,224.2851,-2.6003933377766E-01
5.9026923648,8.9758,10.6368,113.8463,224.2851,-2.1503869531693E-01
6.2306197184,7.9913,8.8971,113.8463,224.2851,-1.7606977823319E-01
6.5585470720,7.0729,7.7619,113.8463,224.2851,-1.4608988299894E-01
6.8864744256,6.0705,6.8386,113.8463,224.2851,-1.2449948294585E-01
7.2144017792,4.9299,5.8225,239.5554,224.2851,-1.6254154042996E-01
7.5423291328,3.7112,4.6201,239.5554,224.2851,-1.4442277832446E-01
7.8702564864,2.5852,3.3695,239.5554,224.2988,-1.2897591289469E-01
8.1981838400,1.6994,2.2875,239.5589,238.0896,-1.1982565372409E-01
8.5261111936,1.0843,1.4861,250.7170,247.6154,-1.1779466300420E-01
8.8540385473,0.6877,0.9498,693.1449,254.2363,-2.0262051163032E-01
9.1819659009,0.4404,0.6088,797.5709,256.6866,-2.2827461447234E-01
9.5098932545,0.2871,0.3958,802.0504,260.1783,-2.2071831428040E-01
9.8378206081,0.1913,0.2624,802.5497,261.7341,-2.0836575672873E-01
10.1657479617,0.1304,0.1778,802.6590,262.2821,-1.9208310300467E-01
10.4936753153,0.0909,0.1232,802.6952,262.5047,-1.7323164754263E-01
10.8216026689,0.0648,0.0872,802.7106,262.6107,-1.5375643996645E-01
11.1495300225,0.0471,0.0629,802.7185,262.6680,-1.3528440798580E-01
11.4774573761,0.0349,0.0463,802.7229,262.7017,-1.1868460970927E-01
11.8053847297,0.0263,0.0347,802.7256,262.7229,-1.0414469987801E-01
12.1333120833,0.0201,0.0264,802.7274,262.7370,-9.1471483052823E-02
12.4612394369,0.0156,0.0204,802.7286,262.7466,-8.0345495979133E-02
12.7891667905,0.0123,0.0160,802.7294,262.7535,-7.0492116308324E-02
13.1170941441,0.0098,0.0127,802.7300,262.7584,-6.1721063000511E-02
13.4450214977,0.0079,0.0102,802.7305,262.7621,-5.3919869844657E-02
13.7729488513,0.0065,0.0083,802.7308,262.7648,-4.7014535588943E-02
14.1008762049,0.0053,0.0068,802.7311,262.7669,-4.0943630863596E-02
14.4288035585,0.0045,0.0056,802.7313,262.7686,-3.5641171484401E-02
14.7567309121,0.0037,0.0047,802.7315,262.7699,-3.1035269518114E-02
15.0846582657,0.0032,0.0040,802.7316,262.7709,-2.7049234804580E-02
15.4125856193,0.0027,0.0033,802.7317,262.7717,-2.3608641856765E-02
15.7405129729,0.0023,0.0029,802.7318,262.7724,-2.0642306940325E-02
16.0684403265,0.0020,0.0025,802.7318,262.7730,-1.8085727704830E-02
