cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.9887603050,16.4437,7.9624,113.8463,15.5817,-9.4818695038866E-02
3.1880109920,13.9560,6.9124,113.8463,15.5817,-7.9879518579270E-02
3.3872616790,12.4895,6.4343,113.8463,15.5817,-6.6123029854171E-02
3.5865123660,11.0972,6.1966,113.8463,15.5817,-5.4122166649205E-02
3.7857630530,9.1860,6.0264,113.8463,15.5817,-4.4768956760340E-02
3.9850137400,6.7693,5.8064,113.8463,15.5817,-3.7367983082256E-02
4.1842644270,4.4372,5.4216,239.5554,15.5817,-3.7894761933115E-02
4.3835151140,2.6942,4.7716,239.5554,15.5817,-5.1041080895147E-02
4.5827658010,1.5896,3.8569,239.5703,15.5818,-4.4061859282432E-02
4.7820164880,0.9422,2.8378,306.0475,15.8424,-4.2254304126261E-02
4.9812671750,0.5705,1.9312,775.2296,19.6975,-5.3387262163891E-02
5.1805178620,0.3555,1.2534,801.0392,21.8413,-9.2447672202713E-02
5.3797685490,0.2283,0.7986,802.4255,22.3678,-1.1540645422129E-01
5.5790192360,0.1511,0.5099,802.6312,23.5829,-1.1301909266144E-01
5.7782699230,0.1029,0.3301,802.6861,24.5884,-1.0633570507278E-01
5.9775206100,0.0719,0.2177,802.7070,24.9496,-9.6842814441839E-02
6.1767712970,0.0514,0.1467,802.7167,25.0789,-8.6379732490076E-02
6.3760219840,0.0375,0.1011,802.7220,25.1342,-7.6394852739370E-02
6.5752726710,0.0280,0.0711,802.7251,25.1617,-6.7511357049466E-02
6.7745233580,0.0213,0.0511,802.7271,25.1770,-5.9744430183239E-02
6.9737740450,0.0165,0.0373,802.7284,25.1862,-5.2858009454750E-02
7.1730247320,0.0129,0.0278,802.7293,25.1921,-4.6642721161496E-02
7.3722754190,0.0103,0.0210,802.7299,25.1960,-4.0989946273661E-02
7.5715261060,0.0082,0.0162,802.7304,25.1987,-3.5875133928786E-02
7.7707767930,0.0067,0.0125,802.7308,25.2006,-3.1306622424844E-02
7.9700274800,0.0055,0.0099,802.7311,25.2020,-2.7275359215832E-02
8.1692781670,0.0046,0.0079,802.7313,25.2030,-2.3751948683995E-02
8.3685288540,0.0039,0.0064,802.7314,25.2038,-2.0691728108158E-02
8.5677795410,0.0032,0.0052,802.7316,25.2044,-1.8037526947571E-02
8.7670302280,0.0028,0.0043,802.7317,25.2048,-1.5735942244458E-02
8.9662809150,0.0024,0.0036,802.7318,25.2052,-1.3743784529908E-02
9.1655316020,0.0021,0.0030,802.7318,25.2055,-1.2015469093846E-02
9.3647822890,0.0018,0.0026,802.7319,25.2057,-1.0518614068941E-02
9.5640329760,0.0016,0.0022,802.7319,25.2059,-9.2234456752142E-03
9.7632836630,0.0014,0.0019,802.7320,25.2060,-8.1006206016157E-03
