cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.3902686275,14.9481,15.9741,113.8463,317.1561,-1.7321884108265E-01
2.5496198693,13.3870,14.3656,113.8463,317.1561,-1.3854797790445E-01
2.7089711112,11.8946,12.9578,113.8463,317.1561,-1.0899794476836E-01
2.8683223530,10.4203,11.3727,113.8463,317.1561,-8.6663123266315E-02
3.0276735948,8.8234,9.5681,113.8463,317.1561,-7.1920288181999E-02
3.1870248367,6.9466,7.5155,113.8463,317.1561,-6.3379142000693E-02
3.3463760785,4.9500,5.3668,239.5554,317.1561,-7.1964318075420E-02
3.5057273203,3.2153,3.4967,239.5554,317.1561,-7.0229742895090E-02
3.6650785622,1.9716,2.1490,239.5555,317.1562,-6.9578306726570E-02
3.8244298040,1.1858,1.2941,242.5288,317.1993,-6.8421275425262E-02
3.9837810458,0.7183,0.7842,652.6576,319.3473,-9.0860810400505E-02
4.1431322877,0.4442,0.4850,797.3067,329.7982,-9.0838162308077E-02
4.3024835295,0.2821,0.3079,802.0948,337.3768,-8.0805278208125E-02
4.4618347713,0.1842,0.2011,802.5674,339.9375,-6.9456835090811E-02
4.6211860131,0.1237,0.1349,802.6666,340.8602,-5.9015436130999E-02
4.7805372550,0.0852,0.0929,802.6990,341.2624,-5.0046630540698E-02
4.9398884968,0.0602,0.0656,802.7129,341.4661,-4.2449434965218E-02
5.0992397386,0.0434,0.0473,802.7199,341.5815,-3.5975714922650E-02
5.2585909805,0.0320,0.0348,802.7238,341.6517,-3.0421696172806E-02
5.4179422223,0.0240,0.0261,802.7263,341.6969,-2.5657922597766E-02
5.5772934641,0.0183,0.0200,802.7279,341.7272,-2.1599367947946E-02
5.7366447060,0.0142,0.0155,802.7290,341.7484,-1.8169708055437E-02
5.8959959478,0.0112,0.0122,802.7297,341.7636,-1.5293519725979E-02
6.0553471896,0.0089,0.0097,802.7303,341.7746,-1.2894147776168E-02
6.2146984315,0.0072,0.0078,802.7307,341.7828,-1.0897419909406E-02
6.3740496733,0.0059,0.0064,802.7310,341.7892,-9.2375775105060E-03
6.5334009151,0.0049,0.0053,802.7312,341.7939,-7.8568019885173E-03
6.6927521570,0.0040,0.0044,802.7314,341.7979,-6.7054776165674E-03
6.8521033988,0.0034,0.0037,802.7315,341.8009,-5.7433381776626E-03
7.0114546406,0.0028,0.0031,802.7317,341.8033,-4.9371430898378E-03
7.1708058825,0.0024,0.0026,802.7317,341.8052,-4.2586353426720E-03
7.3301571243,0.0021,0.0022,802.7318,341.8069,-3.6855877695657E-03
7.4895083661,0.0018,0.0019,802.7319,341.8082,-3.2005175909304E-03
7.6488596080,0.0015,0.0017,802.7319,341.8093,-2.7882760075366E-03
7.8082108498,0.0014,0.0015,802.7320,341.8101,-2.4367262758996E-03
