cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.9312631193,9.4907,2.5229,113.8463,7.1341,-4.3843982368567E-02
4.1933473272,9.0165,2.2407,113.8463,7.1341,-3.6730545094110E-02
4.4554315352,8.4754,2.1043,113.8463,7.1341,-3.0675372936406E-02
4.7175157431,7.7329,2.0068,113.8463,7.1341,-2.5326005446642E-02
4.9795999511,6.8614,1.8865,113.8463,7.1341,-2.0775531594516E-02
5.2416841590,5.9601,1.7068,113.8465,7.1342,-1.7103153751439E-02
5.5037683670,5.0432,1.4698,239.5554,7.1351,-1.9218349606959E-02
5.7658525749,4.1046,1.2079,239.5554,7.1420,-1.6167134042133E-02
6.0279367829,3.1633,0.9464,239.5554,7.1966,-1.3911687805339E-02
6.2900209908,2.2840,0.6995,239.5554,7.5248,-1.2426700566622E-02
6.5521051988,1.5530,0.4861,239.5795,8.4098,-1.1690083011050E-02
6.8141894067,1.0140,0.3222,267.0064,9.1469,-1.1584817929148E-02
7.0762736147,0.6508,0.2086,730.0438,9.4401,-1.9567670538993E-02
7.3383578226,0.4182,0.1345,798.8687,9.5460,-1.8958213378266E-02
7.6004420306,0.2722,0.0877,802.1745,9.5897,-1.7365568055719E-02
7.8625262385,0.1805,0.0581,802.5761,9.6104,-1.6015094516603E-02
8.1246104465,0.1223,0.0393,802.6681,9.6214,-1.4890605673515E-02
8.3866946544,0.0846,0.0272,802.6994,9.6277,-1.3899450996635E-02
8.6487788624,0.0598,0.0192,802.7130,9.6316,-1.2952468602886E-02
8.9108630703,0.0431,0.0139,802.7200,9.6341,-1.1990743738133E-02
9.1729472783,0.0317,0.0102,802.7239,9.6357,-1.0995410874481E-02
9.4350314862,0.0237,0.0076,802.7264,9.6368,-9.9867578796158E-03
9.6971156942,0.0180,0.0058,802.7280,9.6376,-9.0037008462344E-03
9.9591999021,0.0139,0.0045,802.7290,9.6381,-8.0828541179488E-03
10.2212841101,0.0109,0.0035,802.7298,9.6385,-7.2455697948983E-03
10.4833683180,0.0086,0.0028,802.7303,9.6388,-6.4976866058833E-03
10.7454525260,0.0069,0.0023,802.7307,9.6390,-5.8319165548015E-03
11.0075367340,0.0056,0.0019,802.7310,9.6392,-5.2361211285984E-03
11.2696209419,0.0046,0.0015,802.7313,9.6393,-4.6986427606021E-03
11.5317051499,0.0038,0.0013,802.7314,9.6395,-4.2099953178874E-03
11.7937893578,0.0032,0.0011,802.7316,9.6395,-3.7640120853665E-03
12.0558735658,0.0027,0.0009,802.7317,9.6396,-3.3579330901322E-03
12.3179577737,0.0023,0.0008,802.7318,9.6397,-2.9895997339068E-03
12.5800419817,0.0019,0.0007,802.7319,9.6397,-2.6574969597354E-03
12.8421261896,0.0017,0.0006,802.7319,9.6397,-2.3600706698358E-03
