cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.5437522950,16.8650,17.7768,113.8463,180.2912,-2.2399805039757E-01
3.7800024480,14.7344,15.2092,113.8463,180.2912,-1.8512449105775E-01
4.0162526010,13.4467,13.7227,113.8463,180.2912,-1.5567823260314E-01
4.2525027540,12.2578,12.4932,113.8463,180.2912,-1.3105423637165E-01
4.4887529070,10.7589,11.0105,113.8463,180.2912,-1.0917209708591E-01
4.7250030600,8.9671,9.2040,113.8463,180.2912,-9.0239042135015E-02
4.9612532130,7.1141,7.2926,113.8463,180.2912,-7.4686843389305E-02
5.1975033660,5.3629,5.4784,239.5554,180.2912,-9.2627215213344E-02
5.4337535190,3.8161,3.8857,239.5554,181.3554,-7.9821011506928E-02
5.6700036720,2.5666,2.6080,239.5554,240.6920,-8.0860331392841E-02
5.9062538250,1.6567,1.6816,239.5616,290.3112,-8.1959125199673E-02
6.1425039780,1.0496,1.0649,257.0083,315.9257,-8.5264725963374E-02
6.3787541310,0.6655,0.6752,716.8345,324.7761,-1.5204172086534E-01
6.6150042840,0.4276,0.4340,798.3614,343.0219,-1.6280454583288E-01
6.8512544370,0.2804,0.2847,802.1091,354.0916,-1.5968686422798E-01
7.0875045900,0.1881,0.1911,802.5579,358.3500,-1.5173520842843E-01
7.3237547430,0.1292,0.1312,802.6605,360.0993,-1.4054159053512E-01
7.5600048960,0.0907,0.0922,802.6953,360.9301,-1.2748340200679E-01
7.7962550490,0.0651,0.0662,802.7105,361.3747,-1.1389012377320E-01
8.0325052020,0.0477,0.0485,802.7182,361.6357,-1.0080596781451E-01
8.2687553550,0.0355,0.0361,802.7227,361.7993,-8.8818223445359E-02
8.5050055080,0.0269,0.0274,802.7254,361.9067,-7.8108348876666E-02
8.7412556610,0.0207,0.0211,802.7272,361.9803,-6.8635619532923E-02
8.9775058140,0.0162,0.0165,802.7284,362.0319,-6.0247301928437E-02
9.2137559670,0.0129,0.0131,802.7293,362.0696,-5.2801390210922E-02
9.4500061200,0.0103,0.0105,802.7299,362.0971,-4.6184155930852E-02
9.6862562730,0.0084,0.0085,802.7304,362.1181,-4.0309930954660E-02
9.9225064260,0.0069,0.0070,802.7307,362.1342,-3.5124063321778E-02
10.1587565790,0.0057,0.0058,802.7310,362.1464,-3.0572195738570E-02
10.3950067320,0.0047,0.0048,802.7312,362.1561,-2.6600973903255E-02
10.6312568850,0.0040,0.0041,802.7314,362.1639,-2.3151561323962E-02
10.8675070380,0.0034,0.0035,802.7315,362.1700,-2.0169967693227E-02
11.1037571910,0.0029,0.0030,802.7316,362.1750,-1.7596843679565E-02
11.3400073440,0.0025,0.0025,802.7317,362.1794,-1.5378127012328E-02
11.5762574970,0.0021,0.0022,802.7318,362.1829,-1.3466887707741E-02
