cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.0277957225,17.8340,15.7518,113.8463,128.7820,-5.5475551165366E-02
2.1629821040,15.6231,13.8802,113.8463,128.7820,-4.6569378796104E-02
2.2981684855,13.9334,12.5517,113.8463,128.7820,-3.9386639667874E-02
2.4333548670,12.5164,11.2896,113.8463,128.7826,-3.2945857343959E-02
2.5685412485,11.0365,9.7090,113.8463,128.7972,-2.7120788564513E-02
2.7037276300,9.1864,7.7978,113.8463,129.4841,-2.2361861437198E-02
2.8389140115,7.0289,5.8297,113.8463,138.6833,-1.9323229669022E-02
2.9741003930,4.9338,4.0722,239.5554,150.6692,-2.4879709735287E-02
3.1092867745,3.2292,2.6774,239.5554,178.3311,-2.3320221958381E-02
3.2444731560,2.0231,1.6871,239.5555,178.3342,-2.0614054097825E-02
3.3796595375,1.2474,1.0446,240.8838,207.9176,-2.0268552504958E-02
3.5148459190,0.7731,0.6492,559.8196,560.0657,-4.7829653884858E-02
3.6500323005,0.4877,0.4103,793.1785,574.2509,-5.5747378339937E-02
3.7852186820,0.3151,0.2654,801.7414,574.6819,-5.4685685272782E-02
3.9204050635,0.2087,0.1760,802.4988,574.7265,-5.2943298039741E-02
4.0555914450,0.1418,0.1198,802.6446,574.7360,-5.0310512826173E-02
4.1907778265,0.0987,0.0835,802.6894,574.7391,-4.6797729064650E-02
4.3259642080,0.0704,0.0596,802.7078,574.7404,-4.2682474126573E-02
4.4611505895,0.0512,0.0434,802.7168,574.7411,-3.8329580802188E-02
4.5963369710,0.0380,0.0322,802.7219,574.7414,-3.4067134875032E-02
4.7315233525,0.0287,0.0244,802.7249,574.7417,-3.0110454086010E-02
4.8667097340,0.0220,0.0187,802.7269,574.7418,-2.6549500317146E-02
5.0018961155,0.0171,0.0146,802.7282,574.7419,-2.3387401199073E-02
5.1370824970,0.0135,0.0115,802.7291,574.7420,-2.0587164205893E-02
5.2722688785,0.0108,0.0093,802.7298,574.7420,-1.8101649097036E-02
5.4074552600,0.0088,0.0075,802.7303,574.7421,-1.5888662133302E-02
5.5426416415,0.0072,0.0062,802.7307,574.7421,-1.3919336167092E-02
5.6778280230,0.0059,0.0051,802.7310,574.7421,-1.2171404412718E-02
5.8130144045,0.0050,0.0043,802.7312,574.7421,-1.0627399566697E-02
5.9482007860,0.0041,0.0036,802.7314,574.7422,-9.2721659256005E-03
6.0833871675,0.0035,0.0030,802.7315,574.7422,-8.0892123006734E-03
6.2185735490,0.0030,0.0026,802.7316,574.7422,-7.0606131628969E-03
6.3537599305,0.0026,0.0022,802.7317,574.7422,-6.1689805472099E-03
6.4889463120,0.0022,0.0019,802.7318,574.7422,-5.3980217991170E-03
6.6241326935,0.0019,0.0017,802.7319,574.7422,-4.7316178110807E-03
