cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.8075871150,13.4633,3.2443,113.8463,10.3708,-2.9927389083416E-01
4.0614262560,12.2170,2.5721,113.8463,10.3712,-2.4372812472658E-01
4.3152653970,11.0471,2.2787,113.8463,10.3750,-1.9853733228218E-01
4.5691045380,9.9164,2.1409,113.8463,10.3834,-1.6515711484513E-01
4.8229436790,8.7533,2.0617,113.8463,10.3944,-1.5089701893530E-01
5.0767828200,7.5535,1.9905,113.8463,10.4122,-1.2987932899199E-01
5.3306219610,6.3530,1.8874,113.8463,10.4629,-1.1227036927061E-01
5.5844611020,5.1344,1.7148,239.5554,10.6990,-1.3328021618633E-01
5.8383002430,3.9089,1.4529,239.5554,11.7313,-1.1981173568904E-01
6.0921393840,2.7819,1.1274,239.5554,12.6953,-1.1185030212613E-01
6.3459785250,1.8697,0.8035,239.5558,13.0084,-1.0559459658948E-01
6.5998176660,1.2124,0.5385,241.6550,13.8954,-1.1024394528539E-01
6.8536568070,0.7758,0.3494,554.8508,14.8360,-1.7205270721499E-01
7.1074959480,0.4983,0.2250,791.7811,15.2105,-1.8131422614460E-01
7.3613350890,0.3247,0.1459,801.6070,15.3397,-1.6321169849245E-01
7.6151742300,0.2157,0.0962,802.4750,15.3917,-1.4521139830239E-01
7.8690133710,0.1464,0.0646,802.6382,15.4161,-1.2955283371012E-01
8.1228525120,0.1016,0.0444,802.6872,15.4291,-1.1674680076915E-01
8.3766916530,0.0720,0.0311,802.7069,15.4365,-1.0644133883593E-01
8.6305307940,0.0521,0.0223,802.7165,15.4411,-9.7859465984432E-02
8.8843699350,0.0384,0.0163,802.7217,15.4441,-9.0172331138188E-02
9.1382090760,0.0288,0.0121,802.7249,15.4461,-8.2778938553138E-02
9.3920482170,0.0219,0.0091,802.7269,15.4474,-7.5443238062735E-02
9.6458873580,0.0169,0.0070,802.7282,15.4484,-6.8220593780723E-02
9.8997264990,0.0133,0.0055,802.7292,15.4491,-6.1323585470256E-02
10.1535656400,0.0106,0.0043,802.7299,15.4496,-5.4968929090358E-02
10.4074047810,0.0085,0.0035,802.7304,15.4499,-4.9274844408665E-02
10.6612439220,0.0069,0.0028,802.7307,15.4502,-4.4258127063212E-02
10.9150830630,0.0057,0.0023,802.7310,15.4504,-3.9859026626516E-02
11.1689222040,0.0047,0.0019,802.7312,15.4506,-3.5973335786701E-02
11.4227613450,0.0039,0.0016,802.7314,15.4508,-3.2499542806232E-02
11.6766004860,0.0033,0.0013,802.7315,15.4509,-2.9351877608687E-02
11.9304396270,0.0028,0.0011,802.7317,15.4509,-2.6474040556024E-02
12.1842787680,0.0024,0.0010,802.7317,15.4510,-2.3832243312845E-02
12.4381179090,0.0021,0.0008,802.7318,15.4511,-2.1410022374261E-02
