cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.5653449925,15.4138,4.5090,113.8463,10.3708,-3.9297414514520E-02
2.7363679920,12.9507,4.2369,113.8463,10.3708,-3.2308019328105E-02
2.9073909915,9.9655,4.0893,113.8463,10.3708,-2.6925179458297E-02
3.0784139910,7.3613,3.9531,113.8463,10.3708,-2.2325633619358E-02
3.2494369905,5.5640,3.7307,239.5551,10.3708,-3.1459217330062E-02
3.4204599900,4.3035,3.3260,239.5554,10.3708,-2.7239441428625E-02
3.5914829895,3.2387,2.7035,239.5554,10.3709,-2.4755640106166E-02
3.7625059890,2.2730,1.9681,239.5554,10.4201,-2.3242984408555E-02
3.9335289885,1.4844,1.3032,239.6147,12.3440,-2.2473944103697E-02
4.1045519880,0.9273,0.8151,318.6617,12.9906,-2.6068287645338E-02
4.2755749875,0.5719,0.4998,774.7618,14.0990,-5.0998813224889E-02
4.4465979870,0.3558,0.3079,801.0320,14.9880,-4.5586409323121E-02
4.6176209865,0.2260,0.1931,802.4353,15.2707,-3.9079881938280E-02
4.7886439860,0.1473,0.1241,802.6370,15.3648,-3.3573276017936E-02
4.9596669855,0.0985,0.0818,802.6896,15.4035,-2.9100933590305E-02
5.1306899850,0.0677,0.0553,802.7092,15.4223,-2.5432527561624E-02
5.3017129845,0.0476,0.0383,802.7183,15.4326,-2.2348642891269E-02
5.4727359840,0.0343,0.0272,802.7231,15.4386,-1.9693038932996E-02
5.6437589835,0.0253,0.0197,802.7259,15.4424,-1.7354627736398E-02
5.8147819830,0.0190,0.0146,802.7277,15.4449,-1.5254424392693E-02
5.9858049825,0.0145,0.0109,802.7289,15.4466,-1.3355822687485E-02
6.1568279820,0.0112,0.0084,802.7297,15.4478,-1.1652415736034E-02
6.3278509815,0.0088,0.0065,802.7303,15.4486,-1.0152378376119E-02
6.4988739810,0.0071,0.0051,802.7307,15.4492,-8.8580956002245E-03
6.6698969805,0.0057,0.0041,802.7310,15.4497,-7.7554281307695E-03
6.8409199800,0.0047,0.0033,802.7312,15.4500,-6.8214425071077E-03
7.0119429795,0.0039,0.0027,802.7314,15.4503,-6.0250520962049E-03
7.1829659790,0.0032,0.0022,802.7316,15.4505,-5.3379967957412E-03
7.3539889785,0.0027,0.0019,802.7317,15.4506,-4.7361568374257E-03
7.5250119780,0.0023,0.0016,802.7318,15.4508,-4.2026921710858E-03
7.6960349775,0.0020,0.0013,802.7318,15.4509,-3.7272642576890E-03
7.8670579770,0.0017,0.0011,802.7319,15.4509,-3.3020076508217E-03
8.0380809765,0.0015,0.0010,802.7320,15.4510,-2.9233409135175E-03
8.2091039760,0.0013,0.0008,802.7320,15.4511,-2.5869157273682E-03
8.3801269755,0.0011,0.0007,802.7320,15.4511,-2.2890552986391E-03
