cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.8007495257,16.9288,18.8553,113.8463,151.6886,-6.5514167589250E-01
4.0541328274,12.3972,15.4524,113.8463,151.6886,-5.3455825924227E-01
4.3075161291,9.6460,12.5443,113.8463,151.6886,-4.4596720830387E-01
4.5608994308,8.1699,9.9248,113.8463,151.6886,-3.8051586702795E-01
4.8142827326,7.3195,7.7243,113.8463,151.6886,-3.2908073443831E-01
5.0676660343,6.7453,6.1570,113.8463,151.6886,-2.8468877703988E-01
5.3210493360,6.2915,5.1735,113.8463,151.6886,-2.4539490393354E-01
5.5744326377,5.8352,4.5544,114.6631,151.6886,-2.1288976523255E-01
5.8278159394,5.2533,4.0831,239.5554,151.6887,-2.2178780170895E-01
6.0811992411,4.4758,3.6030,239.5554,151.6927,-1.9433618056511E-01
6.3345825428,3.5472,3.0345,239.5554,152.0296,-1.7336306665741E-01
6.5879658445,2.6116,2.3920,239.5554,168.0734,-1.6579887859734E-01
6.8413491463,1.8125,1.7617,239.5562,176.0262,-1.4955071183654E-01
7.0947324480,1.2131,1.2302,241.6356,180.1487,-1.3566853922205E-01
7.3481157497,0.8002,0.8323,508.6608,181.3091,-1.4543083713159E-01
7.6014990514,0.5284,0.5566,786.6113,184.8313,-1.6209187174716E-01
7.8548823531,0.3527,0.3731,801.0998,188.6528,-1.5610460408405E-01
8.1082656548,0.2393,0.2529,802.3758,190.2859,-1.4905388221110E-01
8.3616489565,0.1653,0.1740,802.6072,190.8926,-1.4126549919251E-01
8.6150322583,0.1164,0.1219,802.6741,191.1498,-1.3221058385537E-01
8.8684155600,0.0834,0.0869,802.7002,191.2759,-1.2190111264371E-01
9.1217988617,0.0609,0.0631,802.7125,191.3450,-1.1088069076661E-01
9.3751821634,0.0452,0.0466,802.7192,191.3861,-9.9888372689775E-02
9.6285654651,0.0341,0.0349,802.7232,191.4122,-8.9535760921981E-02
9.8819487668,0.0261,0.0266,802.7257,191.4295,-8.0163762384032E-02
10.1353320685,0.0203,0.0206,802.7274,191.4414,-7.1847872650200E-02
10.3887153702,0.0159,0.0161,802.7285,191.4498,-6.4495451776342E-02
10.6420986720,0.0127,0.0128,802.7293,191.4560,-5.7948630144703E-02
10.8954819737,0.0102,0.0102,802.7300,191.4605,-5.2051351645784E-02
11.1488652754,0.0083,0.0083,802.7304,191.4639,-4.6687654657879E-02
11.4022485771,0.0068,0.0068,802.7308,191.4665,-4.1789037027606E-02
11.6556318788,0.0057,0.0056,802.7310,191.4686,-3.7316237615759E-02
11.9090151805,0.0047,0.0047,802.7312,191.4702,-3.3248561047670E-02
12.1623984822,0.0040,0.0039,802.7314,191.4715,-2.9573680092913E-02
12.4157817840,0.0034,0.0033,802.7315,191.4725,-2.6274294721045E-02
