cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.5045115175,17.8698,20.5395,113.8463,151.6886,-1.0111879415817E-01
2.6714789520,14.5506,17.5922,113.8463,151.6886,-8.2825611859799E-02
2.8384463865,12.0860,14.5383,113.8463,151.6886,-6.9777670446158E-02
3.0054138210,10.2410,11.4697,113.8463,151.6886,-5.9188802932761E-02
3.1723812555,8.9711,9.0988,113.8463,151.6886,-4.9612799114104E-02
3.3393486900,8.0183,7.5853,113.8463,151.6886,-4.1315022801682E-02
3.5063161245,7.1351,6.5998,113.8463,151.6886,-3.4904943562862E-02
3.6732835590,6.1953,5.7723,113.8463,151.6886,-3.0276490464834E-02
3.8402509935,5.1407,4.8626,239.5554,151.6886,-4.0106953103705E-02
4.0072184280,3.9902,3.8213,239.5554,151.6893,-3.5524836282902E-02
4.1741858625,2.8758,2.7756,239.5554,154.0418,-3.1634726764087E-02
4.3411532970,1.9509,1.8914,239.5555,175.5476,-2.9838360791459E-02
4.5081207315,1.2777,1.2417,240.4485,180.1015,-2.7546634654808E-02
4.6750881660,0.8272,0.8050,458.2153,181.4725,-3.7594712888175E-02
4.8420556005,0.5381,0.5241,784.4783,185.5245,-5.0908765417234E-02
5.0090230350,0.3551,0.3460,801.0483,189.1048,-4.9527662237764E-02
5.1759904695,0.2387,0.2327,802.3787,190.4710,-4.7114648161616E-02
5.3429579040,0.1638,0.1598,802.6099,190.9724,-4.4021945825843E-02
5.5099253385,0.1147,0.1120,802.6757,191.1887,-4.0316952068993E-02
5.6768927730,0.0820,0.0801,802.7010,191.2968,-3.6281163731607E-02
5.8438602075,0.0597,0.0584,802.7131,191.3570,-3.2269340364424E-02
6.0108276420,0.0443,0.0433,802.7195,191.3936,-2.8549759307603E-02
6.1777950765,0.0334,0.0327,802.7234,191.4169,-2.5245777056106E-02
6.3447625110,0.0256,0.0251,802.7258,191.4326,-2.2361815395731E-02
6.5117299455,0.0199,0.0195,802.7275,191.4435,-1.9841532041630E-02
6.6786973800,0.0156,0.0154,802.7286,191.4512,-1.7613747396670E-02
6.8456648145,0.0125,0.0122,802.7294,191.4569,-1.5619244055594E-02
7.0126322490,0.0101,0.0099,802.7300,191.4611,-1.3822914594458E-02
7.1795996835,0.0082,0.0081,802.7304,191.4644,-1.2202030231489E-02
7.3465671180,0.0068,0.0067,802.7308,191.4668,-1.0746546563529E-02
7.5135345525,0.0056,0.0055,802.7310,191.4687,-9.4492774525623E-03
7.6805019870,0.0047,0.0046,802.7312,191.4703,-8.2998571908427E-03
7.8474694215,0.0040,0.0039,802.7314,191.4715,-7.2895469162807E-03
8.0144368560,0.0034,0.0033,802.7315,191.4725,-6.4052391676712E-03
8.1814042905,0.0029,0.0028,802.7316,191.4733,-5.6333127148313E-03
