cell_length,CN_C,CN_A,C6_C,C6_A,Edis
1.9280544058,17.5171,18.1602,113.8463,336.8727,-1.1570986635663E-01
2.0565913661,14.9975,15.3037,113.8463,336.8727,-9.7654613280311E-02
2.1851283265,13.3963,13.5988,113.8463,336.8727,-8.0771424143964E-02
2.3136652869,12.3057,12.5603,113.8463,336.8727,-6.6335118139449E-02
2.4422022473,11.1755,11.6383,113.8463,336.8727,-5.4524664814099E-02
2.5707392077,9.5824,10.3723,113.8463,336.8727,-4.4730117858648E-02
2.6992761681,7.4743,8.5306,113.8463,336.8727,-3.6979235033410E-02
2.8278131284,5.2501,6.3177,239.5554,336.8727,-4.2754721187274E-02
2.9563500888,3.3947,4.2492,239.5554,344.8003,-3.8766457290965E-02
3.0848870492,2.0979,2.6860,239.5554,346.3610,-3.6616451905839E-02
3.2134240096,1.2813,1.6561,240.4075,346.3619,-3.5891764731393E-02
3.3419609700,0.7900,1.0225,527.9491,358.0462,-5.0749539048965E-02
3.4704979304,0.4973,0.6416,791.9275,390.7830,-6.3135749423589E-02
3.5990348908,0.3209,0.4117,801.6622,391.1341,-6.0066069865632E-02
3.7275718511,0.2126,0.2710,802.4859,391.1436,-5.5034075197372E-02
3.8561088115,0.1445,0.1829,802.6409,391.1445,-4.9121130979265E-02
3.9846457719,0.1006,0.1264,802.6880,391.1447,-4.3103525391338E-02
4.1131827323,0.0717,0.0895,802.7070,391.1447,-3.7492086625591E-02
4.2417196927,0.0522,0.0646,802.7164,391.1447,-3.2510997820776E-02
4.3702566531,0.0387,0.0476,802.7216,391.1448,-2.8179155948287E-02
4.4987936134,0.0292,0.0357,802.7247,391.1448,-2.4423029342791E-02
4.6273305738,0.0224,0.0272,802.7268,391.1448,-2.1152144150046E-02
4.7558675342,0.0175,0.0211,802.7281,391.1448,-1.8292263996884E-02
4.8844044946,0.0138,0.0165,802.7291,391.1448,-1.5791356606804E-02
5.0129414550,0.0110,0.0132,802.7298,391.1448,-1.3609605756544E-02
5.1414784154,0.0089,0.0106,802.7303,391.1448,-1.1715866848914E-02
5.2700153757,0.0073,0.0086,802.7307,391.1448,-1.0082306364467E-02
5.3985523361,0.0060,0.0071,802.7309,391.1448,-8.6794438424419E-03
5.5270892965,0.0050,0.0059,802.7312,391.1448,-7.4800258879115E-03
5.6556262569,0.0042,0.0050,802.7313,391.1448,-6.4573471926864E-03
5.7841632173,0.0035,0.0041,802.7315,391.1448,-5.5858320917464E-03
5.9127001777,0.0030,0.0035,802.7316,391.1448,-4.8427332874453E-03
6.0412371380,0.0026,0.0030,802.7317,391.1448,-4.2097504358754E-03
6.1697740984,0.0022,0.0026,802.7318,391.1448,-3.6687374143852E-03
6.2983110588,0.0020,0.0022,802.7318,391.1448,-3.2063630767492E-03
