cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.4435247500,15.4508,16.8295,113.8463,125.8109,-1.1382000336763E-01
2.6064264000,11.5039,13.5049,113.8463,125.8109,-9.2381586502428E-02
2.7693280500,9.1233,10.1941,113.8463,125.8109,-7.5839268072034E-02
2.9322297000,7.7170,7.5514,113.8463,125.8109,-6.3432036525415E-02
3.0951313500,6.8900,5.8690,113.8463,125.8109,-5.4517731050720E-02
3.2580330000,6.3696,4.8801,113.8463,125.8109,-4.8035873660611E-02
3.4209346500,5.9277,4.2137,113.8481,125.8109,-4.2967586413567E-02
3.5838363000,5.3799,3.6115,239.5554,125.8109,-5.0715024235209E-02
3.7467379500,4.6131,2.9562,239.5554,125.8109,-4.4793667405167E-02
3.9096396000,3.6503,2.2585,239.5554,125.8224,-3.9128022307176E-02
4.0725412500,2.6559,1.6064,239.5554,127.2914,-3.4107730990501E-02
4.2354429000,1.8089,1.0814,239.5562,130.8347,-2.9969121468755E-02
4.3983445500,1.1858,0.7062,242.5294,131.4651,-2.6233423179322E-02
4.5612462000,0.7672,0.4575,570.7265,132.7334,-3.2756164093484E-02
4.7241478500,0.4983,0.2985,791.7783,133.4911,-3.3866398022203E-02
4.8870495000,0.3281,0.1978,801.5539,133.7511,-3.0271365148988E-02
5.0499511500,0.2201,0.1337,802.4586,133.8478,-2.7273471389521E-02
5.2128528000,0.1507,0.0923,802.6319,133.8907,-2.4903436460025E-02
5.3757544500,0.1053,0.0651,802.6842,133.9126,-2.3005368928926E-02
5.5386561000,0.0751,0.0468,802.7052,133.9249,-2.1392323963173E-02
5.7015577500,0.0545,0.0344,802.7154,133.9325,-1.9883713440271E-02
5.8644594000,0.0403,0.0257,802.7210,133.9373,-1.8358897369148E-02
6.0273610500,0.0303,0.0195,802.7244,133.9405,-1.6786487769000E-02
6.1902627000,0.0232,0.0151,802.7265,133.9428,-1.5208296842230E-02
6.3531643500,0.0180,0.0118,802.7280,133.9444,-1.3695780762349E-02
6.5160660000,0.0141,0.0093,802.7290,133.9456,-1.2307489675020E-02
6.6789676500,0.0112,0.0075,802.7297,133.9464,-1.1068970231177E-02
6.8418693000,0.0090,0.0061,802.7302,133.9471,-9.9785966052294E-03
7.0047709500,0.0073,0.0050,802.7306,133.9476,-9.0154462455716E-03
7.1676726000,0.0060,0.0041,802.7309,133.9480,-8.1551234021589E-03
7.3305742500,0.0050,0.0035,802.7312,133.9483,-7.3748001306492E-03
7.4934759000,0.0042,0.0029,802.7314,133.9486,-6.6587765703962E-03
7.6563775500,0.0035,0.0025,802.7315,133.9488,-5.9972923761020E-03
7.8192792000,0.0030,0.0021,802.7316,133.9489,-5.3881068504214E-03
7.9821808500,0.0026,0.0018,802.7317,133.9490,-4.8288308672238E-03
