cell_length,CN_C,CN_A,C6_C,C6_A,Edis
2.6749865419,18.9968,25.8237,113.8463,269.3349,-1.6231169740569E-01
2.8533189781,16.2650,20.7376,113.8463,269.3349,-1.3757620025314E-01
3.0316514142,14.9594,17.4683,113.8463,269.3349,-1.1871527191868E-01
3.2099838503,14.1153,15.6271,113.8463,269.3349,-1.0076009100598E-01
3.3883162865,13.1921,14.4802,113.8463,269.3349,-8.4599456280906E-02
3.5666487226,11.9141,13.4238,113.8463,269.3349,-7.1064261339925E-02
3.7449811587,10.2937,12.0864,113.8463,269.3349,-5.9433742989157E-02
3.9233135948,8.4960,10.3736,113.8463,269.3349,-4.9440123582312E-02
4.1016460310,6.6375,8.4325,113.8463,269.3349,-4.1417823188633E-02
4.2799784671,4.8457,6.4802,239.5554,269.3349,-4.1804270839961E-02
4.4583109032,3.3149,4.7082,239.5554,269.3349,-3.7162671628113E-02
4.6366433394,2.1686,3.2537,239.5554,269.3591,-3.4216525147873E-02
4.8149757755,1.3914,2.1699,239.7562,287.4134,-3.3545333062371E-02
4.9933082116,0.8932,1.4225,355.4480,290.5496,-3.6502664715227E-02
5.1716406478,0.5804,0.9312,771.6171,708.9407,-6.9971415063737E-02
5.3499730839,0.3843,0.6155,800.2580,1110.0399,-1.1255766391368E-01
5.5283055200,0.2597,0.4133,802.2610,1115.8225,-1.0972496399342E-01
5.7066379561,0.1795,0.2829,802.5783,1116.0609,-1.0447215396047E-01
5.8849703923,0.1266,0.1975,802.6634,1116.0883,-9.7872060092654E-02
6.0633028284,0.0912,0.1406,802.6950,1116.0942,-9.0019227465285E-02
6.2416352645,0.0669,0.1020,802.7096,1116.0961,-8.1429600591031E-02
6.4199677007,0.0500,0.0753,802.7173,1116.0968,-7.2772959085113E-02
6.5983001368,0.0378,0.0564,802.7219,1116.0972,-6.4599359968330E-02
6.7766325729,0.0291,0.0430,802.7248,1116.0974,-5.7195351522696E-02
6.9549650090,0.0227,0.0333,802.7267,1116.0976,-5.0624528686734E-02
7.1332974452,0.0180,0.0261,802.7280,1116.0977,-4.4825362062251E-02
7.3116298813,0.0144,0.0207,802.7289,1116.0977,-3.9684616890065E-02
7.4899623174,0.0116,0.0166,802.7296,1116.0978,-3.5103024074957E-02
7.6682947536,0.0095,0.0135,802.7301,1116.0978,-3.0995740114579E-02
7.8466271897,0.0079,0.0111,802.7305,1116.0978,-2.7320197648566E-02
8.0249596258,0.0065,0.0091,802.7308,1116.0978,-2.4044721927337E-02
8.2032920620,0.0055,0.0076,802.7311,1116.0978,-2.1137132246110E-02
8.3816244981,0.0047,0.0064,802.7312,1116.0979,-1.8572560906525E-02
8.5599569342,0.0040,0.0055,802.7314,1116.0979,-1.6316478150731E-02
8.7382893703,0.0034,0.0046,802.7315,1116.0979,-1.4347179963602E-02
