cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.8419959075,19.8892,15.5091,321.5890,113.8463,-3.6438555248209E-01
4.0981289680,17.6811,13.5795,321.5890,113.8463,-3.0626081116868E-01
4.3542620285,16.4946,12.6168,321.5890,113.8463,-2.6093041034841E-01
4.6103950890,15.3820,11.9012,321.5890,113.8463,-2.2048410066735E-01
4.8665281495,13.7112,10.9826,321.5890,113.8463,-1.8201529265329E-01
5.1226612100,11.2104,9.6082,321.5890,113.8463,-1.4798563781210E-01
5.3787942705,8.2310,7.8224,321.5890,113.8463,-1.2093055038633E-01
5.6349273310,5.4885,5.9179,321.5890,113.8498,-1.0108994772842E-01
5.8910603915,3.4347,4.1918,321.5875,239.5554,-1.2924773309737E-01
6.1471934520,2.0902,2.8116,301.9989,239.5554,-1.1299300861278E-01
6.4033265125,1.2709,1.8156,305.3790,239.5562,-1.0543884690995E-01
6.6594595730,0.7849,1.1517,1174.9622,244.1999,-1.7192349930247E-01
6.9155926335,0.4962,0.7305,1358.6651,633.9424,-2.9694159229718E-01
7.1717256940,0.3221,0.4692,1361.6634,795.2194,-3.6052330313310E-01
7.4278587545,0.2147,0.3072,1361.8655,801.8406,-3.5004707100895E-01
7.6839918150,0.1469,0.2057,1361.8989,802.5086,-3.2724635560610E-01
7.9401248755,0.1030,0.1409,1361.9082,802.6459,-3.0122361695374E-01
8.1962579360,0.0738,0.0987,1361.9118,802.6895,-2.7410381859442E-01
8.4523909965,0.0540,0.0706,1361.9135,802.7076,-2.4703732703910E-01
8.7085240570,0.0403,0.0516,1361.9144,802.7167,-2.2074635337848E-01
8.9646571175,0.0305,0.0383,1361.9149,802.7217,-1.9581024386975E-01
9.2207901780,0.0235,0.0289,1361.9153,802.7248,-1.7272900244785E-01
9.4769232385,0.0184,0.0222,1361.9155,802.7268,-1.5180590256920E-01
9.7330562990,0.0146,0.0173,1361.9157,802.7281,-1.3311198777590E-01
9.9891893595,0.0117,0.0137,1361.9158,802.7291,-1.1656915667893E-01
10.2453224200,0.0095,0.0110,1361.9159,802.7298,-1.0198617093946E-01
10.5014554805,0.0078,0.0089,1361.9159,802.7303,-8.9154050183252E-02
10.7575885410,0.0064,0.0072,1361.9160,802.7307,-7.7884617520857E-02
11.0137216015,0.0054,0.0060,1361.9160,802.7309,-6.8002399106417E-02
11.2698546620,0.0045,0.0050,1361.9161,802.7312,-5.9353601989933E-02
11.5259877225,0.0038,0.0042,1361.9161,802.7314,-5.1805886899025E-02
11.7821207830,0.0033,0.0035,1361.9161,802.7315,-4.5244127532907E-02
12.0382538435,0.0028,0.0030,1361.9161,802.7316,-3.9548850904415E-02
12.2943869040,0.0024,0.0026,1361.9161,802.7317,-3.4616639264980E-02
12.5505199645,0.0021,0.0022,1361.9161,802.7318,-3.0351503348997E-02
