cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.6860492157,34.1595,18.0884,440.5228,113.8463,-3.4451668712678E-01
4.9984524967,27.5365,14.9127,440.5228,113.8463,-2.8646282936152E-01
5.3108557777,23.8259,13.3589,440.5228,113.8463,-2.4358404577281E-01
5.6232590588,21.6040,12.5362,440.5228,113.8463,-2.0937282825232E-01
5.9356623398,19.8184,11.8889,440.5228,113.8463,-1.7910350839388E-01
6.2480656209,17.6769,11.0573,440.5228,113.8463,-1.5032109654050E-01
6.5604689019,14.7585,9.8243,440.5228,113.8463,-1.2395960446243E-01
6.8728721830,11.2588,8.1852,440.5228,113.8463,-1.0210826401373E-01
7.1852754640,7.8450,6.3438,440.5228,113.8463,-1.3541733473966E-01
7.4976787451,5.1047,4.5790,440.5228,239.5554,-1.4299111591369E-01
7.8100820261,3.2033,3.1122,440.5228,239.5554,-1.2721260452888E-01
8.1224853071,1.9932,2.0324,440.5268,239.5554,-1.1727500550101E-01
8.4348885882,1.2524,1.3044,2415.5471,240.1848,-1.7131623671995E-01
8.7472918692,0.8023,0.8378,2437.4533,439.3340,-3.1657852503077E-01
9.0596951503,0.5260,0.5447,2437.4539,782.8904,-3.7056604581000E-01
9.3720984313,0.3532,0.3607,2437.4539,800.9187,-3.6156305007744E-01
9.6845017124,0.2429,0.2439,2437.4539,802.3525,-3.4584976893897E-01
9.9969049934,0.1709,0.1685,2437.4539,802.6011,-3.2543138153225E-01
10.3093082745,0.1229,0.1189,2437.4539,802.6716,-3.0122078396709E-01
10.6217115555,0.0901,0.0856,2437.4539,802.6988,-2.7470210888111E-01
10.9341148365,0.0672,0.0628,2437.4539,802.7116,-2.4752237137774E-01
11.2465181176,0.0510,0.0469,2437.4539,802.7186,-2.2111664025517E-01
11.5589213986,0.0391,0.0355,2437.4539,802.7227,-1.9646455734761E-01
11.8713246797,0.0306,0.0273,2437.4539,802.7253,-1.7406026379251E-01
12.1837279607,0.0242,0.0214,2437.4539,802.7270,-1.5399889652604E-01
12.4961312418,0.0194,0.0169,2437.4539,802.7283,-1.3613761688461E-01
12.8085345228,0.0158,0.0135,2437.4539,802.7291,-1.2024043880919E-01
13.1209378038,0.0130,0.0110,2437.4539,802.7298,-1.0608472819712E-01
13.4333410849,0.0107,0.0089,2437.4539,802.7303,-9.3471286953655E-02
13.7457443659,0.0089,0.0074,2437.4539,802.7306,-8.2254710718646E-02
14.0581476470,0.0075,0.0061,2437.4539,802.7309,-7.2307218231028E-02
14.3705509280,0.0063,0.0052,2437.4539,802.7311,-6.3520568306513E-02
14.6829542091,0.0054,0.0044,2437.4539,802.7313,-5.5788945168889E-02
14.9953574901,0.0045,0.0037,2437.4539,802.7315,-4.9008951499476E-02
15.3077607712,0.0039,0.0032,2437.4539,802.7316,-4.3086027206037E-02
