cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.3613526850,25.3336,14.4420,688.0353,153.4528,-5.2913275538240E-01
3.5854428640,21.9016,12.7818,688.0353,153.4528,-4.3874954675539E-01
3.8095330430,19.4679,11.6195,688.0353,153.4528,-3.6046701048078E-01
4.0336232220,17.3739,10.5145,688.0353,153.4528,-2.9288992846260E-01
4.2577134010,15.1872,9.2939,688.0353,153.4528,-2.3793376795617E-01
4.4818035800,12.6628,7.8581,688.0353,153.4528,-1.9569056277427E-01
4.7058937590,9.8509,6.2277,688.0353,153.4528,-1.6485191967526E-01
4.9299839380,7.0729,4.5680,688.0353,153.4528,-1.4358917594186E-01
5.1540741170,4.7146,3.1091,688.0353,153.4528,-1.3003648953894E-01
5.3781642960,2.9855,2.0022,688.0353,153.4528,-1.2233829207709E-01
5.6022544750,1.8493,1.2534,688.0353,155.1837,-1.1907639887171E-01
5.8263446540,1.1471,0.7811,688.0353,329.0023,-1.9480736385745E-01
6.0504348330,0.7226,0.4924,688.0353,340.3834,-1.9585547877295E-01
6.2745250120,0.4655,0.3166,688.0353,340.5123,-1.8525305304328E-01
6.4986151910,0.3074,0.2085,688.0353,340.5196,-1.7033216586375E-01
6.7227053700,0.2081,0.1406,688.0353,340.5207,-1.5272965043700E-01
6.9467955490,0.1443,0.0972,688.0353,340.5210,-1.3457250621557E-01
7.1708857280,0.1024,0.0687,688.0353,340.5211,-1.1749141746329E-01
7.3949759070,0.0741,0.0496,688.0353,340.5212,-1.0225321674346E-01
7.6190660860,0.0547,0.0365,688.0353,340.5212,-8.8946915713200E-02
7.8431562650,0.0412,0.0274,688.0353,340.5212,-7.7353191247245E-02
8.0672464440,0.0315,0.0209,688.0353,340.5212,-6.7188092966016E-02
8.2913366230,0.0244,0.0162,688.0353,340.5212,-5.8235642217576E-02
8.5154268020,0.0191,0.0127,688.0353,340.5212,-5.0349014281446E-02
8.7395169810,0.0152,0.0101,688.0353,340.5212,-4.3434303350573E-02
8.9636071600,0.0122,0.0081,688.0353,340.5212,-3.7416262779937E-02
9.1876973390,0.0100,0.0066,688.0353,340.5212,-3.2214696458294E-02
9.4117875180,0.0082,0.0054,688.0353,340.5212,-2.7746382452102E-02
9.6358776970,0.0068,0.0045,688.0353,340.5212,-2.3924981516975E-02
9.8599678760,0.0057,0.0038,688.0353,340.5212,-2.0666065844466E-02
10.0840580550,0.0048,0.0032,688.0353,340.5212,-1.7889961824185E-02
10.3081482340,0.0041,0.0027,688.0353,340.5212,-1.5521613314549E-02
10.5322384130,0.0035,0.0023,688.0353,340.5212,-1.3502092462718E-02
10.7563285920,0.0030,0.0020,688.0353,340.5212,-1.1776826443023E-02
10.9804187710,0.0026,0.0017,688.0353,340.5212,-1.0299687529021E-02
