cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.2546189250,27.2075,14.9223,544.4356,153.4528,-5.8845117804216E-01
3.4715935200,23.1453,13.2242,544.4356,153.4528,-4.8581765926732E-01
3.6885681150,20.4517,12.2118,544.4356,153.4528,-3.9553042805344E-01
3.9055427100,18.3265,11.2483,544.4356,153.4528,-3.1907747375001E-01
4.1225173050,16.2872,10.0340,544.4356,153.4528,-2.5920443102261E-01
4.3394919000,14.0259,8.5083,544.4356,153.4528,-2.1521673822157E-01
4.5564664950,11.4136,6.7512,544.4356,153.4528,-1.8461327046747E-01
4.7734410900,8.6226,4.9519,544.4356,153.4528,-1.6478891388535E-01
4.9904156850,6.0326,3.3608,544.4356,153.4528,-1.5325264715069E-01
5.2073902800,3.9650,2.1533,544.4356,153.4528,-1.4721860314967E-01
5.4243648750,2.5112,1.3414,544.4356,153.8965,-1.4358524427426E-01
5.6413394700,1.5722,0.8332,601.8594,316.4281,-1.9109143741454E-01
5.8583140650,0.9910,0.5244,2617.2526,340.2947,-3.7644549541418E-01
6.0752886600,0.6357,0.3370,2617.3310,340.5090,-3.4456330501423E-01
6.2922632550,0.4168,0.2219,2617.3310,340.5192,-3.0651341516698E-01
6.5092378500,0.2799,0.1497,2617.3310,340.5206,-2.6751281008300E-01
6.7262124450,0.1924,0.1035,2617.3310,340.5210,-2.3115189346665E-01
6.9431870400,0.1353,0.0732,2617.3310,340.5211,-1.9909758767472E-01
7.1601616350,0.0971,0.0529,2617.3310,340.5212,-1.7150882164857E-01
7.3771362300,0.0711,0.0389,2617.3310,340.5212,-1.4780583012081E-01
7.5941108250,0.0531,0.0292,2617.3310,340.5212,-1.2730666272674E-01
7.8110854200,0.0402,0.0223,2617.3310,340.5212,-1.0947299823285E-01
8.0280600150,0.0310,0.0172,2617.3310,340.5212,-9.3946564798393E-02
8.2450346100,0.0242,0.0135,2617.3310,340.5212,-8.0483577699398E-02
8.4620092050,0.0191,0.0107,2617.3310,340.5212,-6.8878932332452E-02
8.6789838000,0.0153,0.0086,2617.3310,340.5212,-5.8945144246336E-02
8.8959583950,0.0123,0.0070,2617.3310,340.5212,-5.0484163927452E-02
9.1129329900,0.0101,0.0058,2617.3310,340.5212,-4.3304354695882E-02
9.3299075850,0.0084,0.0048,2617.3310,340.5212,-3.7222828174117E-02
9.5468821800,0.0069,0.0040,2617.3310,340.5212,-3.2075394360373E-02
9.7638567750,0.0058,0.0034,2617.3310,340.5212,-2.7716375973750E-02
9.9808313700,0.0049,0.0029,2617.3310,340.5212,-2.4015742898748E-02
10.1978059650,0.0042,0.0025,2617.3310,340.5212,-2.0869389402674E-02
10.4147805600,0.0036,0.0021,2617.3310,340.5212,-1.8186481410118E-02
10.6317551550,0.0031,0.0018,2617.3310,340.5212,-1.5894986185965E-02
