cell_length,CN_C,CN_A,C6_C,C6_A,Edis
10.4808552750,25.8403,12.8822,472.7950,153.4528,-4.7112858756447E+00
11.1795789600,21.6335,11.8017,472.7950,153.4528,-3.8808194436617E+00
11.8783026450,18.3111,11.1825,472.7950,153.4528,-3.1602321450605E+00
12.5770263300,15.8170,10.5353,472.7950,153.4528,-2.5530138096139E+00
13.2757500150,13.8110,9.5438,472.7950,153.4528,-2.0695752735844E+00
13.9744737000,11.8660,8.0550,472.7950,153.4528,-1.7119485304574E+00
14.6731973850,9.8065,6.1725,472.7950,153.4528,-1.4642005451455E+00
15.3719210700,7.7109,4.2685,472.7950,153.4528,-1.3017826179224E+00
16.0706447550,5.7328,2.7272,472.7950,153.4528,-1.2025024098039E+00
16.7693684400,4.0145,1.6730,472.7950,153.4554,-1.1468584778037E+00
17.4680921250,2.6686,1.0182,472.7950,203.9233,-1.1450462626915E+00
18.1668158100,1.7188,0.6272,475.4519,339.4070,-2.6379093126814E+00
18.8655394950,1.0965,0.3950,2663.5288,340.4909,-2.8962374576125E+00
19.5642631800,0.7043,0.2553,2664.1667,340.5178,-2.6735932264833E+00
20.2629868650,0.4599,0.1694,2664.1668,340.5204,-2.3959243742116E+00
20.9617105500,0.3065,0.1153,2664.1668,340.5209,-2.1022017885682E+00
21.6604342350,0.2089,0.0804,2664.1668,340.5211,-1.8241530897155E+00
22.3591579200,0.1455,0.0574,2664.1668,340.5211,-1.5773896992583E+00
23.0578816050,0.1035,0.0418,2664.1668,340.5212,-1.3642223195701E+00
23.7566052900,0.0751,0.0310,2664.1668,340.5212,-1.1804020542259E+00
24.4553289750,0.0555,0.0234,2664.1668,340.5212,-1.0205666257928E+00
25.1540526600,0.0418,0.0180,2664.1668,340.5212,-8.8055049370245E-01
25.8527763450,0.0320,0.0140,2664.1668,340.5212,-7.5778536167421E-01
26.5515000300,0.0248,0.0111,2664.1668,340.5212,-6.5067528437332E-01
27.2502237150,0.0196,0.0089,2664.1668,340.5212,-5.5790457791468E-01
27.9489474000,0.0155,0.0072,2664.1668,340.5212,-4.7816768124116E-01
28.6476710850,0.0125,0.0059,2664.1668,340.5212,-4.1006472443327E-01
29.3463947700,0.0101,0.0048,2664.1668,340.5212,-3.5210969634678E-01
30.0451184550,0.0082,0.0040,2664.1668,340.5212,-3.0292600695934E-01
30.7438421400,0.0068,0.0034,2664.1668,340.5212,-2.6123393912229E-01
31.4425658250,0.0057,0.0029,2664.1668,340.5212,-2.2587156632863E-01
32.1412895100,0.0048,0.0024,2664.1668,340.5212,-1.9582815995855E-01
32.8400131950,0.0041,0.0021,2664.1668,340.5212,-1.7026488457255E-01
33.5387368800,0.0035,0.0018,2664.1668,340.5212,-1.4846696217029E-01
34.2374605650,0.0030,0.0016,2664.1668,340.5212,-1.2982598512849E-01
