cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.1792795425,26.5223,15.2271,411.5665,153.4528,-5.8419314997581E-01
3.3912315120,22.5522,13.4244,411.5665,153.4528,-4.8124380414122E-01
3.6031834815,19.9890,12.4260,411.5665,153.4528,-3.9077360194477E-01
3.8151354510,17.9838,11.5500,411.5665,153.4528,-3.1525291220954E-01
4.0270874205,16.0299,10.3983,411.5665,153.4528,-2.5671531962728E-01
4.2390393900,13.8113,8.8485,411.5665,153.4528,-2.1380123947886E-01
4.4509913595,11.2219,7.0128,411.5665,153.4528,-1.8383719568876E-01
4.6629433290,8.4613,5.1295,411.5665,153.4528,-1.6447633785911E-01
4.8748952985,5.9123,3.4734,411.5665,153.4528,-1.5339105137685E-01
5.0868472680,3.8845,2.2228,411.5665,153.4528,-1.4758035136934E-01
5.2987992375,2.4605,1.3841,411.5665,153.6816,-1.4366518012423E-01
5.5107512070,1.5408,0.8597,511.6087,306.3447,-1.8355061968821E-01
5.7227031765,0.9715,0.5410,1597.4614,340.2280,-3.4849237917295E-01
5.9346551460,0.6233,0.3477,1597.4796,340.5067,-3.1911998789651E-01
6.1466071155,0.4088,0.2290,1597.4796,340.5190,-2.8382474518045E-01
6.3585590850,0.2745,0.1545,1597.4796,340.5206,-2.4803131132141E-01
6.5705110545,0.1887,0.1068,1597.4796,340.5210,-2.1474173496583E-01
6.7824630240,0.1327,0.0755,1597.4796,340.5211,-1.8531668580410E-01
6.9944149935,0.0953,0.0546,1597.4796,340.5211,-1.5986267380105E-01
7.2063669630,0.0698,0.0402,1597.4796,340.5212,-1.3790546181373E-01
7.4183189325,0.0521,0.0302,1597.4796,340.5212,-1.1886523141691E-01
7.6302709020,0.0395,0.0230,1597.4796,340.5212,-1.0228299923543E-01
7.8422228715,0.0304,0.0178,1597.4796,340.5212,-8.7837999425576E-02
8.0541748410,0.0238,0.0139,1597.4796,340.5212,-7.5305758687919E-02
8.2661268105,0.0188,0.0111,1597.4796,340.5212,-6.4499079901064E-02
8.4780787800,0.0150,0.0089,1597.4796,340.5212,-5.5238487906735E-02
8.6900307495,0.0121,0.0073,1597.4796,340.5212,-4.7341403228178E-02
8.9019827190,0.0099,0.0060,1597.4796,340.5212,-4.0633810789914E-02
9.1139346885,0.0082,0.0049,1597.4796,340.5212,-3.4946776954689E-02
9.3258866580,0.0068,0.0041,1597.4796,340.5212,-3.0127865367800E-02
9.5378386275,0.0057,0.0035,1597.4796,340.5212,-2.6043278467683E-02
9.7497905970,0.0049,0.0030,1597.4796,340.5212,-2.2577093645174E-02
9.9617425665,0.0041,0.0026,1597.4796,340.5212,-1.9626577451344E-02
10.1736945360,0.0035,0.0022,1597.4796,340.5212,-1.7110141107119E-02
10.3856465055,0.0030,0.0019,1597.4796,340.5212,-1.4958077900793E-02
