cell_length,CN_C,CN_A,C6_C,C6_A,Edis
5.0307398885,30.1539,15.0337,620.5206,153.4528,-6.5810203406711E-01
5.3661225477,25.2001,13.3666,620.5206,153.4528,-5.5210103773679E-01
5.7015052070,22.3504,12.5121,620.5206,153.4528,-4.5455043380133E-01
6.0368878662,20.3573,11.8311,620.5206,153.4528,-3.6466690120805E-01
6.3722705254,18.2736,10.8898,620.5206,153.4528,-2.9124390582153E-01
6.7076531847,15.5235,9.4137,620.5206,153.4528,-2.3721163640270E-01
7.0430358439,12.1264,7.4396,620.5206,153.4528,-1.9997509781282E-01
7.3784185031,8.6384,5.3402,620.5206,153.4528,-1.7632993593119E-01
7.7138011624,5.6905,3.5371,620.5206,153.4528,-1.6352864590654E-01
8.0491838216,3.5692,2.2266,620.5206,153.4528,-1.5829030503362E-01
8.3845664808,2.1984,1.3737,620.5207,153.7215,-1.6151189959690E-01
8.7199491401,1.3604,0.8499,3596.8453,310.4039,-3.4732922127497E-01
9.0553317993,0.8564,0.5345,3924.4186,340.2562,-3.8432817584003E-01
9.3907144585,0.5518,0.3439,3924.4211,340.5076,-3.5540942253926E-01
9.7260971178,0.3647,0.2268,3924.4211,340.5191,-3.1897080563349E-01
10.0614797770,0.2472,0.1534,3924.4211,340.5206,-2.8068919050592E-01
10.3968624362,0.1717,0.1063,3924.4211,340.5210,-2.4461183464324E-01
10.7322450955,0.1219,0.0753,3924.4211,340.5211,-2.1257692856921E-01
11.0676277547,0.0885,0.0545,3924.4211,340.5211,-1.8473992073031E-01
11.4030104139,0.0653,0.0402,3924.4211,340.5212,-1.6051081039113E-01
11.7383930732,0.0491,0.0302,3924.4211,340.5212,-1.3922864062015E-01
12.0737757324,0.0375,0.0231,3924.4211,340.5212,-1.2042931830498E-01
12.4091583916,0.0291,0.0179,3924.4211,340.5212,-1.0384301912833E-01
12.7445410509,0.0230,0.0141,3924.4211,340.5212,-8.9295211642673E-02
13.0799237101,0.0183,0.0112,3924.4211,340.5212,-7.6655861204402E-02
13.4153063693,0.0147,0.0090,3924.4211,340.5212,-6.5758871939203E-02
13.7506890286,0.0120,0.0073,3924.4211,340.5212,-5.6432923421475E-02
14.0860716878,0.0099,0.0060,3924.4211,340.5212,-4.8493937972373E-02
14.4214543470,0.0082,0.0050,3924.4211,340.5212,-4.1749180553642E-02
14.7568370062,0.0068,0.0042,3924.4211,340.5212,-3.6023694256555E-02
15.0922196655,0.0057,0.0036,3924.4211,340.5212,-3.1160606494197E-02
15.4276023247,0.0049,0.0030,3924.4211,340.5212,-2.7031071039208E-02
15.7629849839,0.0041,0.0026,3924.4211,340.5212,-2.3511638904354E-02
16.0983676432,0.0035,0.0022,3924.4211,340.5212,-2.0509669754682E-02
16.4337503024,0.0031,0.0019,3924.4211,340.5212,-1.7941783962435E-02
