cell_length,CN_C,CN_A,C6_C,C6_A,Edis
4.6130587692,30.4948,15.7997,620.5206,153.4528,-8.3941440668597E-01
4.9205960205,25.9621,13.8480,620.5206,153.4528,-7.0320944286278E-01
5.2281332718,23.3852,12.7503,620.5206,153.4528,-5.7826055807942E-01
5.5356705231,21.3195,11.8931,620.5206,153.4528,-4.6505623503274E-01
5.8432077743,18.8047,10.8485,620.5206,153.4528,-3.7317204581934E-01
6.1507450256,15.4705,9.3762,620.5206,153.4528,-3.0530709680261E-01
6.4582822769,11.5913,7.4987,620.5206,153.4528,-2.5816113692961E-01
6.7658195282,7.8982,5.4823,620.5206,153.4528,-2.2781308372484E-01
7.0733567795,5.0134,3.6886,620.5206,153.4528,-2.1074645062330E-01
7.3808940307,3.0711,2.3440,620.5206,153.4528,-2.0278982567403E-01
7.6884312820,1.8710,1.4523,620.6495,153.5322,-2.1261220419538E-01
7.9959685333,1.1550,0.8996,3921.5797,285.4191,-4.1623986950430E-01
8.3035057846,0.7291,0.5655,3924.4210,340.0929,-4.7070574630305E-01
8.6110430359,0.4724,0.3633,3924.4211,340.5027,-4.3557979513757E-01
8.9185802871,0.3143,0.2393,3924.4211,340.5186,-3.9176046673540E-01
9.2261175384,0.2146,0.1616,3924.4211,340.5205,-3.4547537141630E-01
9.5336547897,0.1501,0.1117,3924.4211,340.5209,-3.0146221480812E-01
9.8411920410,0.1073,0.0790,3924.4211,340.5211,-2.6210436362180E-01
10.1487292923,0.0782,0.0571,3924.4211,340.5211,-2.2780130924448E-01
10.4562665436,0.0582,0.0421,3924.4211,340.5212,-1.9797309667742E-01
10.7638037948,0.0440,0.0316,3924.4211,340.5212,-1.7183438552458E-01
11.0713410461,0.0339,0.0241,3924.4211,340.5212,-1.4877342503138E-01
11.3788782974,0.0265,0.0187,3924.4211,340.5212,-1.2842534319896E-01
11.6864155487,0.0209,0.0146,3924.4211,340.5212,-1.1055443305285E-01
11.9939528000,0.0167,0.0116,3924.4211,340.5212,-9.4997609794598E-02
12.3014900512,0.0136,0.0094,3924.4211,340.5212,-8.1569051863753E-02
12.6090273025,0.0111,0.0076,3924.4211,340.5212,-7.0054505184583E-02
12.9165645538,0.0092,0.0063,3924.4211,340.5212,-6.0231046902636E-02
13.2241018051,0.0076,0.0052,3924.4211,340.5212,-5.1874650368104E-02
13.5316390564,0.0063,0.0043,3924.4211,340.5212,-4.4776921912050E-02
13.8391763076,0.0053,0.0037,3924.4211,340.5212,-3.8746196146754E-02
14.1467135589,0.0045,0.0031,3924.4211,340.5212,-3.3619705266763E-02
14.4542508102,0.0039,0.0027,3924.4211,340.5212,-2.9251139049156E-02
14.7617880615,0.0034,0.0023,3924.4211,340.5212,-2.5522971274416E-02
15.0693253128,0.0029,0.0020,3924.4211,340.5212,-2.2332667056521E-02
