cell_length,CN_C,CN_A,C6_C,C6_A,Edis
3.5170939328,23.6021,15.1991,313.9846,153.4528,-4.6408205961122E-01
3.7515668616,21.3413,13.3964,313.9846,153.4528,-3.8952904129462E-01
3.9860397905,19.7304,12.4678,313.9846,153.4528,-3.2005711976842E-01
4.2205127193,17.6706,11.7271,313.9846,153.4528,-2.5591834093288E-01
4.4549856482,14.6346,10.8253,313.9846,153.4528,-2.0449308089354E-01
4.6894585770,10.9023,9.6037,313.9846,153.4528,-1.6763104814344E-01
4.9239315059,7.3142,8.0107,313.9846,153.4528,-1.4270644207271E-01
5.1584044347,4.5443,6.1527,313.9846,153.4528,-1.2672583045197E-01
5.3928773636,2.7195,4.3302,314.5364,153.4528,-1.1725196880748E-01
5.6273502924,1.6203,2.8421,324.5095,153.4528,-1.1219426442131E-01
5.8618232213,0.9808,1.7931,597.3496,153.4532,-1.2501071633075E-01
6.0962961501,0.6090,1.1185,1508.4767,166.7298,-1.9509212252327E-01
6.3307690790,0.3893,0.7031,1521.9329,336.9457,-2.3826355096735E-01
6.5652420078,0.2559,0.4500,1522.3942,340.4499,-2.2101877261084E-01
6.7997149367,0.1730,0.2945,1522.4463,340.5149,-1.9959974733206E-01
7.0341878655,0.1200,0.1975,1522.4579,340.5199,-1.7694274335346E-01
7.2686607944,0.0853,0.1356,1522.4618,340.5208,-1.5506661756495E-01
7.5031337232,0.0619,0.0952,1522.4635,340.5210,-1.3517664997392E-01
7.7376066521,0.0459,0.0683,1522.4644,340.5211,-1.1763713866255E-01
7.9720795809,0.0346,0.0500,1522.4649,340.5212,-1.0230005088638E-01
8.2065525098,0.0265,0.0373,1522.4652,340.5212,-8.8850747028076E-02
8.4410254386,0.0206,0.0282,1522.4654,340.5212,-7.7001762125382E-02
8.6754983675,0.0163,0.0217,1522.4655,340.5212,-6.6560735963551E-02
8.9099712963,0.0131,0.0170,1522.4656,340.5212,-5.7390896109659E-02
9.1444442252,0.0106,0.0134,1522.4657,340.5212,-4.9393765750925E-02
9.3789171540,0.0087,0.0108,1522.4658,340.5212,-4.2473174854991E-02
9.6133900829,0.0072,0.0087,1522.4658,340.5212,-3.6523368243012E-02
9.8478630117,0.0059,0.0071,1522.4658,340.5212,-3.1436104222057E-02
10.0823359406,0.0050,0.0059,1522.4659,340.5212,-2.7102171508577E-02
10.3168088694,0.0042,0.0049,1522.4659,340.5212,-2.3412937143371E-02
10.5512817983,0.0036,0.0042,1522.4659,340.5212,-2.0273728223699E-02
10.7857547271,0.0030,0.0035,1522.4659,340.5212,-1.7600060584367E-02
11.0202276560,0.0026,0.0030,1522.4659,340.5212,-1.5321920599542E-02
11.2547005848,0.0023,0.0025,1522.4659,340.5212,-1.3373315364816E-02
11.4891735137,0.0020,0.0022,1522.4659,340.5212,-1.1706106542022E-02
